"","Name_submitted","Accepted_name","Common.Name","Butterflies.and.Moths.Supported","Attracts.Wildlife","Plant.Type","Form","Height","Width","Growth.Rate","Seasonality","Flower.Color","Flowering.Season","Fragrance","Sun","Soil.Drainage","Water.Requirement","Summer.Irrigation","Ease.of.Care","Nursery.Availability","Companions","Special.Uses","Communities..simplified.","Communities","Hardiness","Sunset.Zones","Soil","Soil.Texture","Soil.pH","Soil.Toxicity","Mulch","Site.Type","Elevation..min.","Elevation..max.","Rainfall..min.","Rainfall..max.","Tips","Pests","Propagation","Height..min.","Height..max.","Width..min.","Width..max.","Other.Names","Alternative.Common.Names","Obsolete.Names","Rarity","Is.Cultivar","Jepson.Link","Plant.Url","QR.Codes..change.number.to.change.image.size.in.pixels."
"11","Abronia alpina","Abronia alpina","Ramshaw Meadows Abronia",0,"","Perennial herb","","","","","","Pink, White, Lavender","","","","","","","","Never or Almost Never Available","","","","","","","","","","","","",NA,NA,8.73,56.69,"","","",0,0,0,0,"","Ramshaw Meadows Sand Verbena","","","N","https://ucjeps.berkeley.edu/eflora/eflora_display.php?name=Abronia+alpina","https://calscape.org/Abronia-alpina-%28Ramshaw-Meadows-Abronia%29","https://calscape.org/storage/app/media/qr/Abronia-alpina-%28Ramshaw-Meadows-Abronia%29.png"
"12","Abronia latifolia","Abronia latifolia","Sand Verbena",4,"Bats, Bees, Butterflies, Caterpillars","Perennial herb","Spreading","6 in","7 ft","Fast","Summer Deciduous","Yellow","Summer, Spring, Fall","","Full Sun","Fast","Very Low","Max 1x / week once established","","Rarely Available","<p>Coastal plants such as other Verbena species - Red Sand Verbena (Abronia maritima), Pink Sand Verbena (Abronia umbellata), Common Yarrow (Achillea millefolium), Silver Beachweed (Ambrosia chamissonis), Beach Sage (Artemisia pycnocephala), Saltbush species (<a href=""/search/?plant=Atriplex%20(Genus)"">Atriplex spp.</a>), Morning-glory species (<a href=""/search/?plant=Calystegia%20(Genus)"">Calystegia spp.</a>), Beach Evening Primrose (Camissoniopsis cheiranthifolia), Sandcarpet (Cardionema ramosissimum), Croton (Croton californicus), Seaside Daisy species (<a href=""/search/?plant=Erigeron%20(Genus)"">Erigeron spp.</a>), Buckwheat species (Eriogonum latifolium, Eriogonum parvifolium), Seaside Woolly Sunflower (Eriophyllum staechadifolium), Wallflower (<a href=""/search/?plant=Erysimum%20(Genus)"">Erysimum spp.</a>), Beach Strawberry (Fragaria chiloensis), Coastal Gumplant (Grindelia stricta), Silky Beach Pea (Lathyrus littoralis), Dunedelion (Malacothrix incana), Hummingbird Sage (Salvia spathacea), Penstemon species, Sand Dune Bluegrass (Poa douglasii). Emergent shrubs may be present at low cover including Coyote Bush (Baccharis pilularis), California Goldenbush (Ericameria ericoides), Lupine species (<a href=""/search/?plant=Lupinus%20(Genus)"">Lupinus spp.</a>).</p>","","Coastal Scrub","Coastal Sage Scrub, Coastal Strand","Tolerates cold to 20 °F","","Coarse to fine-textured sands; very loose and free of organic debris","Sand","5.0 - 7.0","Tolerates saline soil.","","Dunes, coastal strand",0,2029,13.03,110.94,"<p>Requires fast draining soil. Prefers sun. Likes sandy soils.</p>","","",6,6,84,84,"Verbena, Sand","Sand-verbena,Coastal Sand Verbena,Yellow Sand Verbena,Yellow Sand-verbena","","","N","https://ucjeps.berkeley.edu/eflora/eflora_display.php?name=Abronia+latifolia","https://calscape.org/Abronia-latifolia-%28Sand-Verbena%29","https://calscape.org/storage/app/media/qr/Abronia-latifolia-%28Sand-Verbena%29.png"
"13","Abronia maritima","Abronia maritima","Red Sand Verbena",4,"Bees, Butterflies, Caterpillars","Perennial herb","Spreading","5 in","2 - 6 ft","","Evergreen","Pink, Purple, Red","Winter, Spring, Summer, Fall","","Full Sun","Fast","Very Low","Max 1x / month once established","","Commonly Available","Plant with other dune wildflowers and shrubs such as Dune Bush Lupine (Lupinus chamissonis), Seaside Woolly Sunflower (Eriophyllum staechadifolium), Sand-loving Wallflower (Erysimum ammophilum), Sandcarpet (Cardionema ramosissimum), and Coastal Buckbrush (Ceanothus cuneatus var. ramulosus).","","Coastal Scrub","Coastal Strand","Tolerates cold to 30&deg; F","17*, 24*","Prefers beach sand","Loamy Sand, Sand","5 - 7","Tolerates saline soil.","","Sand dunes along the coast.",0,1397,7.69,41.28,"Requires fast draining soil. Prefers sun. Likes sandy soils.","","For propagating by seed: No treatment. (Emery and Frey 1971). Collect seeds from seed heads after they have dried on the plant. Sow directly in the sand after in Fall or after last frost.",5,5,24,72,"Verbena, Red Sand","Red Sand-verbena,Sticky Sand-verbena","","Rare","N","https://ucjeps.berkeley.edu/eflora/eflora_display.php?name=Abronia+maritima","https://calscape.org/Abronia-maritima-%28Red-Sand-Verbena%29","https://calscape.org/storage/app/media/qr/Abronia-maritima-%28Red-Sand-Verbena%29.png"
"14","Abronia nana","Abronia nana","Dwarf Sand Verbena",1,"Butterflies, Caterpillars","Perennial herb","","","","","","Pink","","","","","","","","Never or Almost Never Available","","","Desert, Forest, Woodland","Joshua Tree Woodland, Lodgepole Forest, Pinyon-Juniper Woodland, Red Fir Forest, Sagebrush Scrub","","","","","","","","",NA,NA,0,0,"","","",0,0,0,0,"","","","","N","https://ucjeps.berkeley.edu/eflora/eflora_display.php?name=Abronia+nana","https://calscape.org/Abronia-nana-%28Dwarf-Sand-Verbena%29","https://calscape.org/storage/app/media/qr/Abronia-nana-%28Dwarf-Sand-Verbena%29.png"
"15","Abronia nana var. covillei","Abronia nana var. covillei","Coville's Dwarf Abronia",1,"Butterflies, Caterpillars","Perennial herb","","","","","","Pink","","","","","","","","Never or Almost Never Available","","","","","","","","","","","","",NA,NA,4.24,52.11,"","","",NA,NA,NA,NA,"","Coville's Dwarf Sand Verbena","","","N","https://ucjeps.berkeley.edu/eflora/eflora_display.php?name=Abronia+nana+var.+covillei","https://calscape.org/Abronia-nana-var.-covillei-%28Coville%27s-Dwarf-Abronia%29","https://calscape.org/storage/app/media/qr/Abronia-nana-var.-covillei-%28Coville%27s-Dwarf-Abronia%29.png"
"16","Abronia pogonantha","Abronia pogonantha","Mojave Sand-verbena",4,"Butterflies, Caterpillars","Annual herb","","","","","","Pink, White","","","","","","","","Never or Almost Never Available","","","Desert, Woodland","Creosote Bush Scrub, Joshua Tree Woodland, Pinyon-Juniper Woodland","","","","","","","","",NA,NA,0,51.67,"","","",NA,NA,NA,NA,"","Mojave Sand Verbena","","","N","https://ucjeps.berkeley.edu/eflora/eflora_display.php?name=Abronia+pogonantha","https://calscape.org/Abronia-pogonantha-%28Mojave-Sand-verbena%29","https://calscape.org/storage/app/media/qr/Abronia-pogonantha-%28Mojave-Sand-verbena%29.png"
"17","Abronia turbinata","Abronia turbinata","Transmontane Sand-verbena",2,"Butterflies, Caterpillars","Annual herb","","2 ft","","","","White","","","","","","","","Never or Almost Never Available","","","Desert, Woodland","Creosote Bush Scrub, Pinyon-Juniper Woodland, Sagebrush Scrub","","","","","","","","",NA,NA,3.27,56.3,"","","",24,24,0,0,"","Transmontane Sand Verbena","","","N","https://ucjeps.berkeley.edu/eflora/eflora_display.php?name=Abronia+turbinata","https://calscape.org/Abronia-turbinata-%28Transmontane-Sand-verbena%29","https://calscape.org/storage/app/media/qr/Abronia-turbinata-%28Transmontane-Sand-verbena%29.png"
"18","Abronia umbellata","Abronia umbellata","Pink Sand Verbena",4,"Bees, Butterflies, Caterpillars","Perennial herb","","","","","Summer Semi-deciduous","Purple, Pink, White","Summer, Spring, Fall, Winter","","Full Sun","Fast","Extremely Low, Very Low","","","Sometimes Available","<p>Sand Verbena (Abronia latifolia), Artemisia pycnocephala, Beach Primrose (Camissoniopsis cheiranthifolia), Seaside Daisy (Erigeron glaucus), Seaside Woolly Sunflower (Eriophyllum staechadifolium), Beach Strawberry (Fragaria chiloensis)</p>","Groundcover","Coastal Scrub","Coastal Strand","","17, 17*, 24*","Sandy, well-drained soil","Sand","4.6 - 7.8","","","Undisturbed sandy places, dunes",0,1733,7.69,100.4,"<p>Prefers sun. Likes sandy soils.</p>","","For propagating by seed:  No treatment. Germination may be poor.",0,0,0,0,"Verbena, Pink Sand","Beach Sand Verbena,Beach Sand-verbena,Purple Sand Verbena","","","N","https://ucjeps.berkeley.edu/eflora/eflora_display.php?name=Abronia+umbellata","https://calscape.org/Abronia-umbellata-%28Pink-Sand-Verbena%29","https://calscape.org/storage/app/media/qr/Abronia-umbellata-%28Pink-Sand-Verbena%29.png"
"19","Abronia umbellata var. breviflora","Abronia umbellata subsp. breviflora","Pink Sand-verbena",3,"Bees, Butterflies, Caterpillars","Annual herb","","","","","","Pink","","","","","","","","Never or Almost Never Available","","","","","","","","","","","","",NA,NA,36.68,100.4,"","","",0,0,0,0,"","Pink Sand Verbena,Short-flowered Sand Verbena","","","N","https://ucjeps.berkeley.edu/eflora/eflora_display.php?name=Abronia+umbellata+var.+breviflora","https://calscape.org/Abronia-umbellata-var.-breviflora-%28Pink-Sand-verbena%29","https://calscape.org/storage/app/media/qr/Abronia-umbellata-var.-breviflora-%28Pink-Sand-verbena%29.png"
"20","Abronia umbellata var. umbellata","Abronia umbellata","Pink Sand Verbena",4,"Butterflies, Caterpillars","Annual herb","","","","","","Pink","","","","","","","","Never or Almost Never Available","","","","","","","","","","","","",NA,NA,9.4,45.3,"","","",0,0,0,0,"","Purple Sand Verbena","","","N","https://ucjeps.berkeley.edu/eflora/eflora_display.php?name=Abronia+umbellata+var.+umbellata","https://calscape.org/Abronia-umbellata-var.-umbellata-%28Pink-Sand-Verbena%29","https://calscape.org/storage/app/media/qr/Abronia-umbellata-var.-umbellata-%28Pink-Sand-Verbena%29.png"
"21","Abronia villosa","Abronia villosa","Hairy Sand Verbena",4,"Bees, Butterflies, Caterpillars","Annual herb","","","","","","Purple, Pink","Summer, Spring, Fall, Winter","","Full Sun","Fast","Extremely Low, Very Low","","","Sometimes Available","","","Desert","Creosote Bush Scrub","","","","","","","","Sandy places",-170,5619,0,33.21,"<p>Prefers sun. Likes sandy soils.</p>","","",NA,NA,NA,NA,"Verbena, Hairy Sand","Desert Sand Verbena,Desert Sandverbena,Desert Sand-verbena","","","N","https://ucjeps.berkeley.edu/eflora/eflora_display.php?name=Abronia+villosa","https://calscape.org/Abronia-villosa-%28Hairy-Sand-Verbena%29","https://calscape.org/storage/app/media/qr/Abronia-villosa-%28Hairy-Sand-Verbena%29.png"
"22","Abronia villosa var. aurita","Abronia villosa var. aurita","Chaparral Sand-verbena",3,"Bees, Butterflies, Caterpillars","Annual herb","","","","","","Pink","","","","","","","","Never or Almost Never Available","","","","","","","","","","","","",NA,NA,2.4,31.43,"","","",0,0,0,0,"","Desert Sand Verbena,Yellow Hairy Sand Verbena","","","N","https://ucjeps.berkeley.edu/eflora/eflora_display.php?name=Abronia+villosa+var.+aurita","https://calscape.org/Abronia-villosa-var.-aurita-%28Chaparral-Sand-verbena%29","https://calscape.org/storage/app/media/qr/Abronia-villosa-var.-aurita-%28Chaparral-Sand-verbena%29.png"
"23","Abronia villosa var. villosa","Abronia villosa var. villosa","Desert Sand Verbena",3,"Butterflies, Caterpillars","Annual herb","","","","","","Pink","","","","","","","","Never or Almost Never Available","","","","","","","","","","","","",NA,NA,0,22.17,"","","",0,0,0,0,"","Desert Sandverbena,Wooly Desert Sand Verbena","","","N","https://ucjeps.berkeley.edu/eflora/eflora_display.php?name=Abronia+villosa+var.+villosa","https://calscape.org/Abronia-villosa-var.-villosa-%28Desert-Sand-Verbena%29","https://calscape.org/storage/app/media/qr/Abronia-villosa-var.-villosa-%28Desert-Sand-Verbena%29.png"
"24","Abutilon palmeri","Abutilon palmeri","Palmer's Indian Mallow",8,"Bats, Butterflies, Caterpillars","Shrub","Rounded","3 - 8 ft","3 - 5 ft","Fast","Evergreen","Orange, Yellow","Spring","None, Slight","Full Sun","Fast","Low, Moderate","Max 1x / month once established","Easy","Commonly Available","<p>Trees - Palo Verde (<a href=""/search/?plant=Parkinsonia%20(Genus)"">Parkinsonia spp.</a>), Ironwood (Olneya tesota), Smoketree (Psorothamnus spinosus), California Fan Palm (Washingtonia filifera)</p><p><br></p><p>Other plants - Creosote Bush (Larrea tridentata), Desert Lavender (Condea emoryi), Desert Agave (Agave deserti), Ocotillo (Fouquieria splendens), Brittlebush (Encelia farinosa), Desert Scrub Oak (Quercus cornelius-mulleri), Yucca species, various cactus species</p>","Containers","Desert","Creosote Bush Scrub","Tolerates cold to 25° F","","Dry rocky, well draining soil","Loamy Sand, Sand, Sandy Clay, Sandy Clay Loam, Sandy Loam","6 - 8","","Inorganic","Dry slopes and canyons of the Peninsular Range, often east-facing, in conjunction with desert transition chaparral and creosote bush scrub",622,4692,3.42,33.42,"<p>Limited or no summer water once established, requires fast draining soil. Prefers sun. Likes dry east facing slopes. This plant is extremely drought tolerant. After established, it should survive the dry months with no supplementary water. It's moderately sensitive to pathogens that grow in warm moist soils. It can usually handle summer watering as much as once per month. If you do water during the summer, make sure you do it in the very early morning, and during a stretch of cooler days in the summer season.</p>","","Seeds. For propagating by seed: No treatment.",36,96,36,60,"Mallow, Palmer's Indian","","","Uncommon","N","https://ucjeps.berkeley.edu/eflora/eflora_display.php?name=Abutilon+palmeri","https://calscape.org/Abutilon-palmeri-%28Palmer%27s-Indian-Mallow%29","https://calscape.org/storage/app/media/qr/Abutilon-palmeri-%28Palmer%27s-Indian-Mallow%29.png"
"25","Abutilon parvulum","Abutilon parvulum","Dwarf Abutilon",1,"Butterflies, Caterpillars","Perennial herb","","4 - 16 in","","","","Orange, Red","","","","","","","","Never or Almost Never Available","","","","","","","","","","","","",NA,NA,5.84,12.9,"","","",4,16,NA,NA,"","Dwarf Indian Mallow","","","N","https://ucjeps.berkeley.edu/eflora/eflora_display.php?name=Abutilon+parvulum","https://calscape.org/Abutilon-parvulum-%28Dwarf-Abutilon%29","https://calscape.org/storage/app/media/qr/Abutilon-parvulum-%28Dwarf-Abutilon%29.png"
"26","Acaena californica","Acaena pinnatifida","California Sheepburr",0,"","Perennial herb","","4 - 24 in","","","","Red, Purple","","","Full Sun","","Moderate","","","Rarely Available","","Lawn alternative","Coastal Scrub","Coastal Strand, Northern Coastal Scrub","","4, 5, 14, 15*, 16*, 17*, 19, 20, 21, 22, 23, 24","","","","","","open grassy places, rocky slopes",0,822,14.43,60.51,"Requires fast draining soil. Prefers sun. Likes  rocky slopes.","","For propagating by seed:  4-6 wks. stratification (Emery and Frey 1971).",4,24,NA,NA,"Sheepburr, California","California Biddy-biddy","Acaena pinnatifida var. californica","","N","https://ucjeps.berkeley.edu/eflora/eflora_display.php?name=Acaena+californica","https://calscape.org/Acaena-californica-%28California-Sheepburr%29","https://calscape.org/storage/app/media/qr/Acaena-californica-%28California-Sheepburr%29.png"
"27","Acaena pinnatifida","Acaena pinnatifida","Argentinian Biddy Biddy",0,"","Perennial herb","","2 ft","","","","Red, Purple","","","Full Sun, Partial Shade, Deep Shade","","Very Low","","Moderate","Rarely Available","","","Coastal Scrub","Coastal Strand, Northern Coastal Scrub","","","","","","","","grassy places, open rocky slopes",0,2299,14,60.51,"<p>Requires fast draining soil. Grows well in sun, shade or part shade. Likes rocky slopes.</p>","","",24,24,0,0,"Biddy, Argentinian","Argentinian Biddy-biddy","","","N","https://ucjeps.berkeley.edu/eflora/eflora_display.php?name=Acaena+pinnatifida","https://calscape.org/Acaena-pinnatifida-%28Argentinian-Biddy-Biddy%29","https://calscape.org/storage/app/media/qr/Acaena-pinnatifida-%28Argentinian-Biddy-Biddy%29.png"
