"","Name_submitted","Accepted_name","paperid","inv_ctry","explicit_invdef","explicit_invdefdesc","implicit_invdef","implicit_invdefdesc","locdata","locdata_type","finding"
"14","spartina densiflora","Sporobolus montevidensis","CAST2016B","United States of America","N",NA,NA,NA,"Y","COORDS","our results showed that s. densiflora is able to adjust to widely variable climate (specifically; air temperature and the duration of the growing season) and sediment conditions (specifically; texture and hypoxia) through phenotypical plastic key functional tussock traits (e.g. shoot density; height; above- and belowground biomass allocation patterns)."
"15","spartina densiflora","Sporobolus montevidensis","CURA2010","Spain","N",NA,NA,NA,"Y","BOTH","it is unlikely for s. densiflora to colonize by seed barren riverbanks along the tinto river"
"16","spartina densiflora","Sporobolus montevidensis","DALE2009","Argentina","N",NA,NA,NA,"Y","COORDS","higher burrow densities correlate with plant root distributions becoming deeper and more vertically homogenous. it is concluced that burrowing crabs induce changes in root strategies"
"17","spartina densiflora","Sporobolus montevidensis","DANA2019","Spain","N",NA,NA,NA,"N",NA,"to our knowledge, the present checklist is the most comprehensive ever done to date, as it includes a broad range of items integrating an interdisciplinary scope, useful to evaluate management of biological invasions in different habitats, involving taxonomic groups, and specific objectives. therefore, the present checklist could be potentially used to detect weak points of ias management actions before implementation in different parts of the world."
"18","spartina densiflora","Sporobolus montevidensis","DOMI2010","Spain","N",NA,NA,NA,"N",NA,"the antioxidant system seems to be efficient to achieve a tolerance to cadmium toxicity, allowing normal plant development, even at the presence of highest cd concentration."
"19","spartina densiflora","Sporobolus montevidensis","FORT2008","United States of America","Y","modifies the physical environment and community structure",NA,NA,"N",NA,"the samples from california displayed similar multilocus patterns to the samples from chile, supporting the hypothesis that this species originated on the southeast american coast (argentina), from where it eventually spread to the west coast of south america (chile) first and to the northern hemisphere (california) later."
"20","spartina densiflora","Sporobolus montevidensis","GALL2018A","Spain","N",NA,NA,NA,"Y","COORDS","the greater tolerance of both spartina hybrids to salinity than their parental species highlights the relevance of heterosis in hybridization processes. these hybrids currently maintain limited distribution in the salt marshes of the southwest iberian peninsula due to their infertility...but if a chromosomal duplication occurs in the hybrids, the new allopolyploids could become fertile..."
"21","spartina densiflora","Sporobolus montevidensis","GALL2019B","Spain","N",NA,NA,NA,"Y","COORDS","as a consequence of the promotion of s. maritima x densiflora with climate change, the native and endangered species s. maritima would be threatened, as both taxa share the same habitat and the hybrid shows a remarkably higher competitive potential."
"22","spartina densiflora","Sporobolus montevidensis","GARC2015","Spain","N",NA,NA,NA,"N",NA,"ducks and geese evidently have the potential for long-distance transport of alien and native plant seeds, with maximal dispersal distances of well over 1000 km. the much greater potential of ludwigia than spartina for dispersal by waterfowl is consistent with its faster expansion across europe. contrary to previous studies, wetland plants with large seeds, such as ludwigia, can still show high potential for long-distnace dispersal. more attention should be paid to the role of waterbirds as vectors of alien plants and to the role of migratory geese as vectors of plants in general."
"23","spartina densiflora","Sporobolus montevidensis","GARC2015","Germany","N",NA,NA,NA,"N",NA,"ducks and geese evidently have the potential for long-distance transport of alien and native plant seeds, with maximal dispersal distances of well over 1000 km. the much greater potential of ludwigia than spartina for dispersal by waterfowl is consistent with its faster expansion across europe. contrary to previous studies, wetland plants with large seeds, such as ludwigia, can still show high potential for long-distnace dispersal. more attention should be paid to the role of waterbirds as vectors of alien plants and to the role of migratory geese as vectors of plants in general."
"24","spartina densiflora","Sporobolus montevidensis","GREW2016B","Canada","Y","globally; several species of spartina (cordgrasses) are highly successful invaders in estuarine wetlands where they significantly change the physical structure; reduce the biological diversity and affect the ecological function of tidal marshes and mudflats (thompson 1991; ayres et al. 2004; ainouche et al. 2009; strong and ayres 2013).",NA,NA,"Y","COORDS","phenotypic plasticity of leaf functional traits to salinity indicates the potential of s. densiflora to maintain invasive growth in response to rising estuarine salinity with climate change."
"25","spartina densiflora","Sporobolus montevidensis","GREW2016B","United States of America","Y","globally; several species of spartina (cordgrasses) are highly successful invaders in estuarine wetlands where they significantly change the physical structure; reduce the biological diversity and affect the ecological function of tidal marshes and mudflats (thompson 1991; ayres et al. 2004; ainouche et al. 2009; strong and ayres 2013).",NA,NA,"Y","COORDS","phenotypic plasticity of leaf functional traits to salinity indicates the potential of s. densiflora to maintain invasive growth in response to rising estuarine salinity with climate change."
"26","spartina densiflora","Sporobolus montevidensis","KALI2020",NA,"N",NA,NA,NA,"N",NA,"...our analysis shows that allelopathy is present in 72% of the 113 plant families surveyed, suggesting that this ubiquitous mechanism of invasion deserves more attention as invasion rates increase across the globe."
"27","spartina densiflora","Sporobolus montevidensis","LAMB2007B","United States of America","N",NA,NA,NA,"N",NA,"focus on the case history of the invasion of willapa bay, washingston, by spartina alterniflora."
"28","spartina densiflora","Sporobolus montevidensis","MATE2008A","Spain","N",NA,NA,NA,"N",NA,"excess levels of copper diminished water use efficiency, calcium, magnesium, phosphorus uptake, and declined other physiological abilities of s. densiflora (e.g. photosynthesis) "
"29","spartina densiflora","Sporobolus montevidensis","MATE2008B","Spain","N",NA,NA,NA,"N",NA,"although s. densiflora showed a 48% biomass reduction after addition of 100mmol zinc, this species has been shown to withstand high and continued exposure to zinc by lower translocation of zinc"
"30","spartina densiflora","Sporobolus montevidensis","MATE2009","Spain","Y","alters the composition of plant and animal communities; reducing their biological diversity",NA,NA,"Y","COORDS","glyphosate at high doses could be an appropriate method of control; since it has a negative effect over the photosynthetic apparatus and growth of s. densiflora. furthermore; glyphosate and its main metabolite; ampa; were not extracted from the soil; since they were retained by the very high iron and aluminum oxide content of this soil."
"31","spartina densiflora","Sporobolus montevidensis","MATE2010","Spain","N",NA,NA,NA,"Y","COORDS","elevated co2 stimulated growth of s. densiflora at 0 and 171 mm nacl external salinity after 90 d of treatment. this growth enhancement was associated with a greater leaf area and improved leaf water relations rather than with variations in net photosynthetic rate (a). despite the fact that stomatal conductance decreased in response to 700 ppm co2 after 30 d of treatment, a was not affected. this response of a to elevated co2 concentration might be explained by an enhanced pepc carboxylation capacity. on the whole, plant nutrient concentrations declined under elevated co2, which can be ascribed to the dilution effect caused by an increase in biomass and the higher water content found at 700 ppm co2. finally, co2 and salinity had a marked overall effect on the photochemical (psii) apparatus and the synthesis of photosynthetic pigments."
"32","spartina densiflora","Sporobolus montevidensis","MATE2011A","Spain","N",NA,NA,NA,"Y","MAP","the data presented suggest that if metal tolerance is considered to be manifested as a suite of physiological and uptake that these traits may be affected differently for odiel population when plants are grown in polluted and unpolluted substratum."
"33","spartina densiflora","Sporobolus montevidensis","MATE2013","Spain","Y","spartina densiflora is an invasive halophytic grass of south american origin that has colonized salt marshes as far apart as southern europe, north africa and north america",NA,NA,"Y","COORDS","si appears to play a significant role in salinity tolerance even in a halophyte, which has other, specific salt-tolerance mechanisms, through diverse protective effects on the photosynthetic apparatus, water-use efficiency and mineral nutrient balance."
"34","spartina densiflora","Sporobolus montevidensis","MATE2015A","Spain","N",NA,NA,NA,"Y","COORDS","selected rhizospheric bacteria appear to play a significant role in s. densiflora growth response and tolerance to the physicochemical properties of marshes soils."
"35","spartina densiflora","Sporobolus montevidensis","MATE2016","Spain","Y","many aspects of s. densiflora have hitherto been analyzed; a major conclusion being that its invasive potential derives from its prolific seed production and from its clonal growth (kittelson and boyd 1997; bortolus 2006; nieva et al. 2001).",NA,NA,"Y","MAP","salinity decreased seed germination and survival of all three s. densiflora populations but the population from the odiel marsh had the highest survival rate at 70% germination and 86% seedling survival."
"36","spartina densiflora","Sporobolus montevidensis","MORG2013","United States of America","Y","high stem densities and thick rhizome mats increase sediment accumulation, reduce shorebird foraging habitat, alter benthic communities, and might facilitate the establishment of other nonnative species",NA,NA,"Y","BOTH","the timing of seed production, combined with prevailing currents, puts bays currently uninfested by spartina at risk of repeated propagule loading by ocean currents."
"37","spartina densiflora","Sporobolus montevidensis","NEVE2010","Portugal","Y","invasion by exotic species has been recognized as a major threat to the conservation of ecosystems",NA,NA,"Y","COORDS","concentrations of k, ca and mg in photosynthetic tissues of sd were lower than in am. differences observed between study species suggest that s. densiflora has better ability to use resources and to compete with native species."
"38","spartina densiflora","Sporobolus montevidensis","REDO2011","Spain","Y","this species has proven to be a vigorous invader and ecosystem engineer that spreads by clonal growth and prolific seed production",NA,NA,"Y","COORDS","s. densiflora only showed symptom toms of toxicity (chlorosis) at 1000 mg kg tained enhanced growth even at the highest phenanthrene treatment after 30 days. it demonstrated remarkable tolerance of phenanthrene concentrations, maintaining nearly constant rgr even in 1000 mg kg 1 phe. this may be ascribed to the recovery of net photosynthetic rate in the long-term. finally, the major finding of the present study was that presence of s. densiflora significantly increases phenanthrene degradation in soils. in our study, planted soils with s. densiflora showed higher rates of disappearance of phe in shorter periods than previous studies with other species."
"39","malva parviflora","Malva parviflora","ABBA2020","Egypt","N",NA,NA,NA,"Y","COORDS","in view of our results, goat grazing can be applied as a useful method to control s. halepense and m. parviflora invasions. goats should be kept in corrals for at least 4 days after grazing to prevent transferring viable seeds to uninfected areas."
"40","malva parviflora","Malva parviflora","GAO2018","United States of America","N",NA,NA,NA,"N",NA,"...upon analysis of taxonomic, morphological, and other associated characteristics, some common factors are shared by the invasive plants in china and the usa."
"41","malva parviflora","Malva parviflora","HEBE2017",NA,"N",NA,"Y","for example, because plant invaders often show performance advantages over co-occurring native species...and successful invaders tend to have wider physiological niches...some researchers have suggested invaders may be 'pre-adapted' for superior competitiveness or tolerance of environmental conditions as a consequence of their evolutionary history...","Y","MAP","our analysis of the naturalized and invasive plant species pools of two climatically similar regions confirmed a strong role for origin effects...the nature of which varied by region, habitat type and their interaction."
"42","malva parviflora","Malva parviflora","MART2019A","Argentina","N",NA,NA,NA,"N",NA,"despite the negative features that have been widely advertised (for example, rivalry with native species, which damages either plants for cultivation or productivity), “invasive weeds” help enrich the local species reserve that are useful in rural areas and some urban communities. in this study, it has been shown that local populations value both non-native and invasive species due to their relevance."
"43","malva parviflora","Malva parviflora","STOT2020","Iran, Islamic Republic of","N",NA,NA,NA,"Y","MAP","the strong differences between the native (home) and non-native (away) range in species co-occurrence patterns are evidence that the way in which species associate with resident communities in their non-native range is not species dependent, but is instead a property of being away from their native range. these results thus highlight that species might undergo important ecological changes when introduced away from their native range. overall, we show origin-dependent associations that result in novel communities, in which alien-rich patches exist within a mosaic of native-dominated communities."
"44","malva parviflora","Malva parviflora","STOT2020","Iran, Islamic Republic of","N",NA,NA,NA,"Y","MAP","the strong differences between the native (home) and non-native (away) range in species co-occurrence patterns are evidence that the way in which species associate with resident communities in their non-native range is not species dependent, but is instead a property of being away from their native range. these results thus highlight that species might undergo important ecological changes when introduced away from their native range."
"45","sorghum halepense","Sorghum halepense","ABBA2020","Egypt","N",NA,NA,NA,"Y","COORDS","in view of our results, goat grazing can be applied as a useful method to control s. halepense and m. parviflora invasions. goats should be kept in corrals for at least 4 days after grazing to prevent transferring viable seeds to uninfected areas."
"46","sorghum halepense","Sorghum halepense","ANDU2012","Spain","Y","sorghum halepense (l.) pers. is an extremely wide-spread species and is considered one of the most troublesome weeds of the world because the interference of s. halepense with maize can greatly reduce crop yields.",NA,NA,"N",NA,"the results show that the patches expanded in the same direction of field traffic, with little or no displacement in all the other directions. apparently, tillage was the main mechanism for dispersal of s. halepense rhizomes, with seeds playing a minor role in dispersal. the spatial growth pattern was characterised by a compact spread of the original patch and by the appearance of small patches at various distances from the primary source, which tended to merge with each other and with the original source. this type of pattern indicates an infiltration invasion strategy."
"47","sorghum halepense","Sorghum halepense","ATWA2016","United States of America","N",NA,NA,NA,"Y","COORDS","adaptation to local habitat variation plays a crucial role in the ecology of this invader; its success relates to its ability to succeed on dual fronts; by responding simultaneously to habitat and climate variability and by capitalizing on differential responses to these factors during its range expansion."
"48","sorghum halepense","Sorghum halepense","CAMI2019","Cuba","Y","the term biological invasions refers to the process of introduction, establishment, and expansion of exotic species outside their native range of distribution...through human action, either intentionally or unintentionally...",NA,NA,"N",NA,"this is the first list of fungal records associated with invasive plants from cuba and this data provide information for future studies on control of these plant species through fungi. the invasive plant species associated with at least one fungus represent 30% of all reported for cuba."
"49","sorghum halepense","Sorghum halepense","CHAD2019","Russian Federation","N",NA,NA,NA,"Y","COORDS","a blacklist of the flora of kabardino-balkaria has been expanded. information about 47 species with a significant invasive potential has been added to the previously published data about 22 invasive plant species."
"50","sorghum halepense","Sorghum halepense","CHEN2017C","China","Y","they were considered 'invasive' when they had been labeled as such in at least one of the published sources and had environment impacts in a range of ecosystems...",NA,NA,"Y","MAP","human activities have played an important part in the introduction and distribution of alien plants in china, especially the intentional introduction that provided convenience for the dispersal and spread of alien plant species...regional conditions (precipitation, temperature) and socio-economic factors may facilitate or hinder the pattern and distribution of alien species, and the biological characteristics of alien plants have also affected naturalization and invasiveness."
"51","sorghum halepense","Sorghum halepense","COSS2019","Italy","N",NA,NA,NA,"N",NA,"our results showed that unregulated seed contaminants are associated with a high risk of non-native plants entry and their potential establishment in sardinia."
"52","sorghum halepense","Sorghum halepense","CRYS2020A",NA,"N",NA,NA,NA,"N",NA,"we found a clear decline in the cumulative mean effect of invasive species on local native species richness as published evidence accumulated between 1999 and 2016."
"53","sorghum halepense","Sorghum halepense","CRYS2020B",NA,"N",NA,NA,NA,"N",NA,"our results provide compelling evidence that there are a variety of 'known unknowns' in regards to the empirical evidence base that is available to inform impact hypotheses."
"54","sorghum halepense","Sorghum halepense","DANI2019A","United States of America","N",NA,NA,NA,"Y","MAP","we did not find general streams or roads to be good predictors of invadedness of forest protected areas by invasive plants."
"55","sorghum halepense","Sorghum halepense","DAR2020A","India","N",NA,NA,NA,"Y","COORDS","the present study supports the link between polyploidy and species invasiveness. stage-based characterization of alien flora as a function of ploidy level variations may potentially help biodiversity managers to identify alien plant species more likely to become future invaders, and to prioritize them for different management strategies."
"56","sorghum halepense","Sorghum halepense","DAR2020B","India","N",NA,NA,NA,"Y","BOTH","present study revealed that traits of alien plant species play an important role in determining the homogenization potential as invasives (in comparison to naturalized and casuals), perennials (in comparison to annual/biennials), herbaceous (in comparison to shrubs/sub-shrubs/lianas and trees) and submerged plants (in comparison to free floating, rooted floating and emergents) were found more homogenizing. these observations are crucial in understanding the homogenizing effects of alien species and in particular the underlying impact of taxonomic homogenization on functional stability of ecosystems."
"57","sorghum halepense","Sorghum halepense","DELG2018","Italy","Y","“invasive plants are a subset of naturalized plants that produce reproductive offspring, often in very large numbers, at considerable distances from the parent plants, and thus have the potential to spread over a large area”.",NA,NA,"N",NA,"trends in alien plants invasion throughout the investigated area are discussed. results are therefore compared with similar data from other italian regions and other european countries."
"58","sorghum halepense","Sorghum halepense","DYER2017","United States of America","N",NA,NA,NA,"N",NA,"although commercial soil producers claim their products have been properly composted to kill weed seeds, we found no support for that contention. if we assume that the least expensive products are subjected to minimal hygiene procedures to avoid increased production costs, then bagged soil products create a potential avenue for the movement of unwanted weed species across the regions in which those products are distributed."
"59","sorghum halepense","Sorghum halepense","ENTS2017","United States of America","N",NA,NA,NA,"Y","COORDS","our research demonstrates that reduced mowing increased native grasses and wildflower species along roadsides with a reduced mowing regimen...our results suggest that low-frequency mowing did not affect the predominant vegetation composition along roadside right-of-ways in mississippi."
"60","sorghum halepense","Sorghum halepense","ENTS2019","United States of America","N",NA,NA,NA,"Y","BOTH","overall, our results supported our first hypothesis: no differences among the three treatments for the herbaceous and woody vegetation."
"61","sorghum halepense","Sorghum halepense","FOLL2017","Austria","N",NA,NA,NA,"Y","BOTH","we found that the six study species spread markedly in crop fields since the 1980s...there is no doubt that yield losses by the study species can be significant."
"62","sorghum halepense","Sorghum halepense","GAO2018","China","N",NA,NA,NA,"N",NA,"...upon analysis of taxonomic, morphological, and other associated characteristics, some common factors are shared by the invasive plants in china and the usa."
"63","sorghum halepense","Sorghum halepense","HEBE2017","China","N",NA,"Y","for example, because plant invaders often show performance advantages over co-occurring native species...and successful invaders tend to have wider physiological niches...some researchers have suggested invaders may be 'pre-adapted' for superior competitiveness or tolerance of environmental conditions as a consequence of their evolutionary history...","Y","MAP","our analysis of the naturalized and invasive plant species pools of two climatically similar regions confirmed a strong role for origin effects...the nature of which varied by region, habitat type and their interaction."
"64","sorghum halepense","Sorghum halepense","HEBE2017","Korea, Republic of","N",NA,"Y","for example, because plant invaders often show performance advantages over co-occurring native species...and successful invaders tend to have wider physiological niches...some researchers have suggested invaders may be 'pre-adapted' for superior competitiveness or tolerance of environmental conditions as a consequence of their evolutionary history...","Y","MAP","our analysis of the naturalized and invasive plant species pools of two climatically similar regions confirmed a strong role for origin effects...the nature of which varied by region, habitat type and their interaction."
"65","sorghum halepense","Sorghum halepense","HEND2017","South Africa","N",NA,NA,NA,"N",NA,"this review has highlighted rapidly spreading taxa, which require urgent attention. some are already subjects of biological control programmes but should receive increased priority with the implementation of national species management programmes, for example, c. macrocephalum, p. hysterophorus, t. stans and o. engelmannii, whereas others should be considered for biological control, for example, c. grandiflora, g. triacanthos, p. setaceum and t. spachianus."
"66","sorghum halepense","Sorghum halepense","HENN2016","Hungary","N",NA,NA,NA,"Y","MAP","based on our results, we can conclude that arable weed vegetation in south-western hungary has changed significantly in the last 100–150 years. many of the weed species once abundant declined or even disappeared from the investigated area due to the changes in agricultural practices."
"67","sorghum halepense","Sorghum halepense","KALI2020",NA,"N",NA,NA,NA,"N",NA,"...our analysis shows that allelopathy is present in 72% of the 113 plant families surveyed, suggesting that this ubiquitous mechanism of invasion deserves more attention as invasion rates increase across the globe."
"68","sorghum halepense","Sorghum halepense","LAZA2020","United States of America","N",NA,NA,NA,"Y","MAP","as expected, we found that landscape heterogeneity and the presence of corridors for propagule dispersal significantly increased landscape susceptibility to invasion for most species. however, we also found a number of species for which the susceptibility to invasion increased in landscapes with large core areas and/or less-aggregated patches."
"69","sorghum halepense","Sorghum halepense","LAZZ2020","Italy","Y","we adopted the regulation (eu) no. 1143/2014 definition of ias as those “whose introduction or spread has been found to threaten or adversely impact upon biodiversity and related ecosystem services”.",NA,NA,"Y","MAP","our data indicate that 84 out of 132 natura 2000 habitats (64%) are subjected to some degree of impact by invasive alien plants...although not exhaustive, this research is the first example of nationwide evaluation of the ecological impacts of invasive alien plants on plant communities and natura 2000 habitats."
"70","sorghum halepense","Sorghum halepense","LU2018","China","Y","according to the definition of iucn, we considered invasive species as those alien species that established in natural ecosystems that threaten native biological diversity, natural environment, economic, and human well-being...",NA,NA,"Y","MAP","our study revealed that hong kong and taiwan contain the largest number of first detected top invasive species in china. therefore, these two areas are two important stepping-stones for invasive species to the mainland of china."
"71","sorghum halepense","Sorghum halepense","NAKA2020","United States of America","N",NA,NA,NA,"Y","COORDS","non-native invasive species are prevalent throughout the park: 51 species are listed on the virginia invasive plant species list, 21 of which carry a “high” invasiveness rank. four state-listed rare species were documented within the park, and seven other state-rare “watchlist” species were found."
"72","sorghum halepense","Sorghum halepense","NIKO2018","Serbia","N",NA,NA,NA,"Y","COORDS","this study was conducted in the winter wheat to determine the presence of different weed species in the same treatments of crop rotation for two study periods. based on the comparative analysis of the soil properties from 1991 and 2010 (table 1), the most significant change was recorded for the organic matter content..."
"73","sorghum halepense","Sorghum halepense","ORPA2017","American Samoa","N",NA,NA,NA,"Y","MAP","...the once-isolated pacific islands are now under increasing threat of invasion by many troublesome alien plant species...more effort is needed across the region to document the ecological and socio-economic impacts of invasive alien plants, and emphasizes the importance of ecosystem functioning, resilience and climate change on island communities."
"74","sorghum halepense","Sorghum halepense","PADA2017B","Argentina","N",NA,NA,NA,"Y","MAP","we found that the intentional introduction of alien species to cities is more prominent than unintentional introductions, but that the subsequent spread of alien species occurs through natural mechanisms. therefore, identifying and prioritising the pathways through which alien species are introduced to cities, and reducing the number of species introduced through the prioritised pathways, is pivotal for an effective response to biological invasions."
"75","sorghum halepense","Sorghum halepense","PROD2017","Serbia","Y","the most widely accepted definition of invasive species is the one advocated by the global environmental organisation iucn (international union for conservation of nature): ”an invasive alien species (ias) is a species that is established outside of its natural past or present distribution, whose introduction and/or spread threaten biological diversity” convention on biological diversity.",NA,NA,"Y","BOTH","a survey of ruderal plants was conducted in 2016 in the same location as one from 1995-1996. 386 species observed in the older survey were found in the new survey. in addition, 58 new species were found in the area, an increase of 13.06%. 38 of the total observed species are considered invasive."
"76","sorghum halepense","Sorghum halepense","PUDD2016","Italy","Y","there are many ways alien plants can directly and indirectly menace the preservation of native flora. as regards; among other effects on biodiversity; it is reported that they can change ecosystems through the alteration of soil stability; the promotion of erosion; being vector of parasites and diseases; the colonization of free spaces; the exploitation of natural resources; the accumulation of litter; the promotion or suppression of fire and; together with the more or less massive human intervention; the homogenization of the floras (vitousek; 1990; richardson et al.; 2000; winter et al.; 2009).",NA,NA,"Y","COORDS","nevertheless; in light of the high proportion of alien entities that characterizes the flora of sardinia and corsica; it is reasonable to speak of a full-scale invasion. in this sense; although it is possible to lead back at least part of the competitive success of some alien taxa -linked to their ability to settle down in anthropic environments; it is undeniable that other natural habitats; such as wetlands and coastal areas; are particularly sensitive to the entry of alien and in particular invasive entities."
"77","sorghum halepense","Sorghum halepense","PYSE2017",NA,"Y","to classify the species as invasive or not, we followed the definition used in environmental policy according to which invasive species exert negative impacts on the environment (cbd 2000, iucn 2000). this definition differs somewhat from the one widely used in ecology that considers invasive species as the subset of naturalized alien species which spread rapidly from the point of introduction regardless of their impact (richardson et al. 2000, 2011, blackburn et al. 2011).",NA,NA,"N",NA,"by reviewing the global naturalized alien flora data base, the authors describe the patterns of diversity and geographic distribution in naturalized and invasive alien plant species. the mainland regions with the highest number of alien species were asutralia and north america. england, japan, new zealand and the hawaiian archipelago harbour most naturalized plants among islands or island groups. the authors believe this data base could help fill gaps in invasive species data and help to allocate resources for management."
"78","sorghum halepense","Sorghum halepense","REIC2016","United States of America","Y","exotic plant species invasions affect terrestrial ecosystems in many ways. documented impacts include biodiversity loss; changes in nutrient pools and alteration of disturbance regimes",NA,NA,"N",NA,"as growth continued; johnsongrass more quickly produced larger and thicker leaves than the natives. investment in carbon gain. appears to be the best explanation for the early growth advantage of johnsongrass. in natives; growth was constrained by an apparent trade-off between allocation to root biomass; which reduced sla; and production of leaves with high n content; which increased carbon gain."
"79","sorghum halepense","Sorghum halepense","ROJA2017","Bahamas","Y","we only included alien spermatophyte species classified as “invasive” on the original sources consulted. these sources followed standardized criteria (e.g., beck et al., 2008; richardson et al., 2000) to classify species as invasive: (1) species are non-native, (2) they have established in new habitats without direct human assistance after their introduction, and (3) they are spreading over considerable areas causing negative (economic or environmental) impacts.",NA,NA,"N",NA,"evidence suggests that species behaving as invasive in one area have higher probability to become invasive in other areas...the dataset of invasive species presented here could thus be used as a blacklist of unwanted species to prevent their spread across the region and to avoid new introductions of likely invasive species."
"80","sorghum halepense","Sorghum halepense","ROUT2008","United States of America","Y","s. halepense is advancing as a distinct invasion wave and displacing the dominant native flora (rout 2005).",NA,NA,"Y","COORDS","invaded soils contained two to four times greater concentrations of alkaline metals, micronutrients, and essential plant nutrients than native prairie soils. the notable exception was ca+2, which was always significantly lower in invaded soils. the n-content of s. halepense aboveground biomass was 6.4 mg g−1 (320 mg n plant−1) and suggested a supplemental n source supporting plant growth. altered soil biogeochemistry in invaded areas coupled with high aboveground biomass in n-poor soils suggested n2-fixing activity associated with s. halepense. nitrogenase activity of plant tissues indicated that n2-fixation was occurring in, and largely restricted to, s. halepense rhizomes and roots."
"81","sorghum halepense","Sorghum halepense","ROUT2013","United States of America","Y","pose serious economic costs as weeds generally reduce native species diversity, and can alter broad scale ecosystem functioning",NA,NA,"N",NA,"in the manipulative field and greenhouse studies, native s. scoparium treated with invasive s. halepense leachate had significantly less biomass and fewer inflorescences than control plants; overall, leachates from invasive sorghum inhibited vegetative and sexual growth of the native grass, and this was most pronounced in plants growing in native soils"
"82","sorghum halepense","Sorghum halepense","SCAS2015","United States of America","N",NA,NA,NA,"Y","MAP","the overall effect of exotic forage invasion on native plant communities was negative (e-0.74; 95% confidence interval [ci]: -0.29 to -0.25). effect size differed among measures of plant community structure, with the greatest negative effect on plant biomass and the least negative effect on species evenness."
