"","plant_id","active_growth_period","bloat","c_n_ratio","coppice_potential","fall_conspicuous","fire_resistant","flower_color","flower_conspicuous","foliage_color","foliage_porosity_summer","foliage_porosity_winter","foliage_texture","fruit_seed_color","fruit_seed_conspicuous","growth_form","growth_rate","height_at_20_years_maximum_feet","height_mature_feet","known_allelopath","leaf_retention","lifespan","low_growing_grass","nitrogen_fixation","resprout_ability","shape_and_orientation","toxicity","adapted_to_coarse_textured_soils","adapted_to_fine_textured_soils","adapted_to_medium_textured_soils","anaerobic_tolerance","caco_3_tolerance","cold_stratification_required","drought_tolerance","fertility_requirement","fire_tolerance","frost_free_days_minimum","hedge_tolerance","moisture_use","ph_maximum","ph_minimum","planting_density_per_acre_maximum","planting_density_per_acre_minimum","precipitation_maximum","precipitation_minimum","root_depth_minimum","salinity_tolerance","shade_tolerance","temperature_minimum_f","bloom_period","commercial_availability","fruit_seed_abundance","fruit_seed_period_begin","fruit_seed_period_end","fruit_seed_persistence","propagated_by_bare_root","propagated_by_bulb","propagated_by_container","propagated_by_corm","propagated_by_cuttings","propagated_by_seed","propagated_by_sod","propagated_by_sprigs","propagated_by_tubers","seed_per_pound","seed_spread_rate","seedling_vigor","small_grain","vegetative_spread_rate","berry_nut_seed_product","christmas_tree_product","fodder_product","fuelwood_product","lumber_product","naval_store_product","nursery_stock_product","palatable_browse_animal","palatable_human","post_product","pulpwood_product","veneer_product","Name_submitted","Accepted_name","symbol"
"21",19939,"Spring, Summer, Fall","None","Medium","No","No","No","Yellow","No","Green","Moderate","Porous","Medium","Brown","No","Bunch","Moderate",NA,"2.0","No","No","Short","No","None","No","Erect","None","Yes","No","Yes","None","High","Yes","High","Low","High","90","None","Low",8.6,6.6,NA,NA,"16","8","18","Low","Intolerant","-43","Late Spring","Routinely Available","Medium","Spring","Summer","Yes","No","No","No","No","No","Yes","No","No","No","161920","Rapid","High","No","None","No","No","Yes",NA,"No","No","No","High","No","No","No","No","Achnatherum hymenoides","Eriocoma hymenoides","ACHY"
"22",76670,"Year Round","None","Low","No","No","No","Yellow","No","Green","Moderate","Moderate","Medium","Brown","No","Single Stem","Moderate","100","110.0","No","Yes","Long","No","High","Yes","Erect","None","Yes","Yes","Yes","None","Medium","No","Medium","Medium","Medium","365","Medium","Medium",7,5,"700","300","200","50","30","None","Intolerant","31","Spring","Routinely Available","Medium","Spring","Summer","Yes","Yes","No","Yes","No","Yes","Yes","No","No","No","4900","Moderate","Medium","No","None","No","No","No",NA,"Yes","Yes","Yes","High","No","No","No","Yes","Acacia koa","Acacia koa","ACKO"
"23",76675,"Year Round","None","Low","No","No","No","Yellow","Yes","Green","Dense","Dense","Fine","Yellow","Yes",NA,"Rapid","60","40.0","No","Yes","Long","No","High","No","Rounded","Slight","Yes","No","Yes","None","Medium","No","Low","Medium","Low","365","Low",NA,7.4,4,"640","320","200","33","36","None","Intolerant","25","Early Spring",NA,NA,"Year Round","Year Round","Yes","No","No","No","No","No","Yes","No","No","No","40824",NA,"Low","No",NA,"Yes","No","No","Low","Yes","No","No","Low","Yes","No","No","No","Acacia koaia","Acacia koaia","ACKO2"
"24",19954,"Spring, Summer, Fall","None","Medium","No","No","No","Yellow","No","Green","Moderate","Porous","Medium","Brown","No","Bunch","Slow",NA,"2.0","No","No","Moderate","Yes","None","No","Semi-Erect","None","Yes","No","Yes","None","Medium","No","High","Low","High","90","None","Low",7.6,6,NA,NA,"20","6","12","None","Intolerant","-28","Summer","Contracting Only","Low","Summer","Fall","No","No","No","No","No","No","Yes","No","No","No","225000","Moderate","High","No","None","No","No","Yes",NA,"No","No","No","High","No","No","No","No","Achnatherum lettermanii","Eriocoma lettermanii","ACLE9"
"25",19946,"Spring, Summer, Fall","None","Medium","No","No","No","Yellow","No","Green","Moderate","Porous","Medium","Brown","No","Bunch","Slow",NA,"3.0","No","No","Moderate","Yes","None","No","Semi-Erect","None","Yes","No","Yes","None","Medium","No","High","Low","High","90","None","Low",7.5,6,NA,NA,"20","10","12","None","Intolerant","-28","Summer","No Known Source","Low","Summer","Fall","No","No","No","No","No","No","Yes","No","No","No","239000","Moderate","Medium","No","None","No","No","Yes",NA,"No","No","No","Medium","No","No","No","No","Achnatherum lemmonii","Eriocoma lemmonii","ACLEL"
"26",76682,"Spring and Summer","None","High","Yes","No","No","Yellow","Yes","Green","Dense","Dense","Fine","Brown","Yes","Multiple Stem","Rapid","20","20.0","No","Yes","Short","No","Medium","Yes","Semi-Erect","None","Yes","Yes","Yes","None","Low","No","High","Low","Medium","180","High","Medium",8.3,6,"1200","700","40","16","24","Low","Intolerant","14","Summer","Routinely Available","High","Summer","Fall","Yes","Yes","No","Yes","No","Yes","Yes","No","No","No","33000","Slow","Medium","No","None","No","No","No",NA,"No","No","Yes","Low","No","No","No","No","Acacia longifolia","Acacia longifolia","ACLO"
"27",92813,"Spring and Summer","None","High","Yes","Yes","No","Yellow","No","Green","Dense","Porous","Medium","Brown","No","Single Stem","Rapid","30","60.0","No","No","Moderate","No","None","Yes","Erect","None","Yes","Yes","Yes","Medium","Low","Yes","Low","Medium","High","140","None","Medium",7.2,4.8,"700","300","260","22","24","None","Intermediate","-14","Mid Spring","Contracting Only","High","Summer","Fall","Yes","Yes","No","Yes","No","Yes","Yes","No","No","No","3120","Moderate","High","No","None","No","No","No","Medium","Yes","No","Yes","High","Yes","No","No","Yes","Acer macrophyllum","Acer macrophyllum","ACMA3"
"28",76690,"Spring and Summer","None","High","Yes","No","No","White","Yes","Dark Green","Moderate","Moderate","Fine","Brown","Yes","Multiple Stem","Rapid","40","40.0","No","Yes","Short","No","Medium","Yes","Erect","None","Yes","Yes","Yes","None","Low","No","High","Low","Medium","180","Medium","Medium",8.3,6,"1200","300","40","16","28","Low","Intolerant","14","Early Spring","No Known Source","High","Summer","Fall","Yes","Yes","No","Yes","No","Yes","Yes","No","No","No","31200","Slow","Medium","No","Moderate","No","No","No",NA,"No","No","Yes","Low","No","No","No","No","Acacia melanoxylon","Acacia melanoxylon","ACME"
"29",31206,"Spring","Low","Medium","No","No","No","White","Yes","Green","Porous","Porous","Fine","Brown","No","Rhizomatous","Moderate",NA,"3.0","No","No","Moderate","No","None","No","Erect","Slight","No","No","Yes","None","Medium","No","Medium","Medium","High","120","None","Medium",8,6,"19000","4800","60","8","8","Low","Intermediate","-38","Early Summer","Routinely Available","Medium","Summer","Summer","Yes","No","No","Yes","No","No","Yes","No","Yes","No","2852012","Slow","Low","No","Slow","No","No","No",NA,"No","No","Yes","Medium","No","No","No","No","Achillea millefolium","Achillea millefolium","ACMI2"
"30",31239,"Spring","None","Medium","No","No","No","White","Yes","Green","Porous","Porous","Fine","Brown","No","Rhizomatous","Moderate",NA,"3.0","No","No","Moderate","No","None","No","Erect","Slight","Yes","No","Yes","None","Medium","No","Medium","Low","High","100","None","Medium",8,6,"19000","4800","26","8","8","Low","Intermediate","-38","Late Spring","Routinely Available","Medium","Summer","Fall","No","No","No","No","No","No","Yes","No","Yes","No","3411818","Moderate","High","No","Rapid","No","No","No",NA,"No","No","No","Low","No","No","No","No","Achillea millefolium","Achillea millefolium","ACMIO"
"31",92814,"Spring and Summer","None","High","Yes","Yes","No","White","No","Green","Dense","Porous","Coarse","Brown","Yes","Multiple Stem","Rapid","35","60.0","No","No","Short","No","None","Yes","Erect","None","Yes","Yes","Yes","Medium","High","Yes","High","Medium","Low","100","None","Medium",7.8,5,"1200","300","75","15","40","Medium","Tolerant","-46","Early Spring","Routinely Available","High","Summer","Fall","No","Yes","No","Yes","No","Yes","Yes","No","No","No","11360","Slow","Low","No","Slow","No","No","No","Low","No","No","Yes","Low","Yes","No","Yes","No","Acer negundo","Acer negundo","ACNE2"
"32",19961,"Spring and Summer","None","Medium","No","No","No","Yellow","No","Green","Moderate","Porous","Fine","Brown","No","Bunch","Moderate",NA,"3.0","No","No","Short","No","None","No","Erect","None","No","No","Yes","None","Medium","No","High","Low","High","135","None","Low",8,6.8,NA,NA,"20","6","10","None","Intolerant","-28","Early Summer","No Known Source","Medium","Summer","Summer","No","No","No","No","No","No","Yes","No","No","No","213000","Slow","Low","No","None","No","No","Yes",NA,"No","No","No","Low","No","No","No","No","Achnatherum nelsonii","Eriocoma nelsonii","ACNED"
"33",92832,"Spring and Summer","None","High","No","Yes","No","Yellow","No","Green","Dense","Porous","Medium","Brown","No","Single Stem","Moderate","28","100.0","No","No","Moderate","No","None","Yes","Erect","None","Yes","Yes","Yes","Low","Medium","Yes","Medium","Medium","Low","130","None","Medium",7.3,4.5,"700","300","60","24","30","None","Tolerant","-47","Late Spring","No Known Source","Medium","Summer","Fall","No","Yes","No","Yes","No","No","Yes","No","No","No","7030","Moderate","Medium","No","None","No","No","No","High","Yes","Yes","Yes","Medium","Yes","No","No","Yes","Acer nigrum","Acer saccharum subsp. nigrum","ACNI5"
"34",19979,"Spring and Summer","None","Medium","No","No","No","Yellow","No","Green","Moderate","Porous","Fine","Brown","No","Bunch","Moderate",NA,"2.0","No","No","Moderate","No","None","No","Erect","None","Yes","No","Yes","None","Low","No","High","Low","High","110","None","Low",7.5,5.7,NA,NA,"14","8","16","Low","Intermediate","-28","Late Spring","No Known Source","Medium","Summer","Summer","No","No","No","No","No","No","Yes","No","No","No","285000","Moderate",NA,"No","Moderate","No","No","Yes",NA,"No","No","No","Medium","No","No","No","No","Achnatherum occidentale","Eriocoma occidentalis","ACOCO"
"35",31283,"Summer","None","Medium","No","No","Yes","Green","Yes","Green","Porous","Porous","Fine","Black","No","Stoloniferous","Rapid",NA,"0.7","No","No","Long","No","None","No","Prostrate","None","No","Yes","Yes","Low","Medium","No","Low","Low","Low","200","None","Medium",7.5,5,"19000","4800","50","30","6","None","Intolerant","-3","Late Summer","No Known Source","Medium","Summer","Fall","No","No","No","No","No","No","No","No","Yes","No",NA,"Slow","Medium","No","Slow","No","No","No",NA,"No","No","No",NA,"No","No","No","No","Acmella oppositifolia","Heliopsis buphthalmoides","ACOPR"
"36",92842,"Spring and Summer","None","High","No","Yes","Yes","Yellow","No","Green","Moderate","Porous","Medium","Brown","No","Single Stem","Slow","25","35.0","Yes","No","Short","No","None","Yes","Erect","None","Yes","No","Yes","None","Low","Yes","Low","Medium","Medium","90","None","Low",6.5,4.4,"1100","700","76","24","28","None","Tolerant","-47","Late Spring","No Known Source","Medium","Summer","Fall","No","Yes","No","Yes","No","No","Yes","No","No","No","11360","Slow","Low","No","None","No","No","No","Low","No","No","Yes","High","No","No","No","No","Acer pensylvanicum","Acer pensylvanicum","ACPE"
"37",92843,"Spring and Summer","None","High","Yes","Yes","No","Green","No","Red","Dense","Porous","Medium","Brown","Yes","Single Stem","Slow","35","50.0","No","No","Moderate","No","None","Yes","Rounded","None","No","No","Yes","None","Medium","Yes","Low","Medium","Low","130","None","Medium",7.2,4.8,"700","300","60","32","40","Medium","Intermediate","-33","Mid Spring","Routinely Available","High","Summer","Fall","No","Yes","No","Yes","No","Yes","Yes","No","No","No","2640","Slow","Low","No","None","No","No","No","Medium","Yes","No","Yes","Low","No","No","No","Yes","Acer platanoides","Acer platanoides","ACPL"
"38",92845,"Spring and Summer","None","High","No","No","No","Green","No","Yellow-Green","Dense","Porous","Coarse","Green","Yes","Single Stem","Moderate","60","70.0","No","No","Moderate","No","None","Yes","Erect","None","No","Yes","Yes","None","Low","Yes","Medium","Medium","Medium","140","Medium","Medium",7,5.8,"700","300","60","32","48","Medium","Intolerant","-23","Late Spring","No Known Source","High","Spring","Summer","No","Yes","No","Yes","No","Yes","Yes","No","No","No","5920","Moderate","Medium","No","None","No","No","No","Medium","No","No","Yes","Low","No","No","No","No","Acer pseudoplatanus","Acer pseudoplatanus","ACPS"
"39",92846,"Spring and Summer","None","High","Yes","Yes","No","Red","Yes","Green","Dense","Porous","Medium","Red","Yes","Single Stem","Rapid","35","68.0","No","No","Short","No","None","Yes","Rounded","Slight","Yes","Yes","Yes","Medium","High","No","Medium","Medium","Low","80","Low","High",7.3,4.7,"1200","170","80","25","30","None","Intermediate","-47","Early Spring","Routinely Available","High","Spring","Spring","No","Yes","No","Yes","No","No","Yes","No","No","No","22720","Moderate","Medium","No","None","No","No","No","Medium","Yes","No","Yes","Medium","Yes","No","Yes","Yes","Acer rubrum","Acer rubrum","ACRU"
"40",92860,"Spring and Summer","None","High","Yes","Yes","No","Yellow","Yes","Green","Dense","Porous","Medium","Brown","Yes","Single Stem","Rapid","45","90.0","No","No","Moderate","No","None","Yes","Rounded","None","Yes","Yes","Yes","High","Medium","No","Low","Low","Low","120","None","Medium",7.3,4,"700","170","70","20","32","Low","Intermediate","-47","Early Spring","Routinely Available","High","Summer","Fall","No","Yes","No","Yes","No","Yes","Yes","No","No","No","1610","Slow","Low","No","None","No","No","No","Medium","Yes","No","Yes","Low","Yes","No","No","Yes","Acer saccharinum","Acer saccharinum","ACSA2"
"41",92865,"Spring and Summer","None","High","No","Yes","No","Green","No","Green","Dense","Porous","Coarse","Brown","No","Single Stem","Slow","20","100.0","Yes","No","Long","No","None","Yes","Erect","None","Yes","No","Yes","None","Medium","Yes","Medium","Medium","Low","80","None","Medium",7.9,3.7,"700","300","80","22","40","None","Tolerant","-47","Mid Spring","Routinely Available","High","Summer","Fall","Yes","Yes","No","Yes","No","Yes","Yes","No","No","No","6540","Moderate","High","No","None","No","No","No","High","Yes","Yes","No","Medium","Yes","No","Yes","Yes","Acer saccharum","Acer saccharum","ACSA3"
"42",20002,"Spring and Summer","None","Medium","No","No","No","Yellow","No","Green","Moderate","Porous","Medium","Brown","No","Bunch","Moderate",NA,"2.0","No","No","Moderate","No","None","No","Erect","None","Yes","No","Yes","None","Medium","No","High","Low","High","120","None","Low",7.7,6,NA,NA,"14","6","10","Low","Intolerant","-13","Late Spring","No Known Source","Medium","Summer","Summer","No","No","No","No","No","No","Yes","No","No","No","225000","Moderate","Medium","No",NA,"No","No","Yes",NA,"No","No","No","Medium","No","No","No","No","Achnatherum speciosum","Pappostipa speciosa","ACSP12"
"43",92875,"Spring and Summer","None","High","Yes","Yes","No","Yellow","No","Green","Dense","Porous","Coarse","Brown","No","Multiple Stem","Moderate","25","25.0","No","No","Moderate","No","None","Yes","Erect","None","No","No","Yes","Low","Medium","Yes","Low","Medium","High","100","None","Medium",7,4.8,"1100","700","70","30","32","None","Tolerant","-47","Spring","No Known Source","High","Summer","Fall","Yes","Yes","No","Yes","No","No","Yes","No","No","No","22720","Moderate","Medium","No","None","No","No","No","Low","No","No","Yes","Medium","No","No","No","No","Acer spicatum","Acer spicatum","ACSP2"
