"","Name_submitted","Accepted_name","Accepted.Symbol","Synonym.Symbol","Symbol","PLANTS.Floristic.Area","State.and.Province","Category","Family","Duration","Growth.Habit","Native.Status","Characteristics.Data","Active.Growth.Period","After.Harvest.Regrowth.Rate","Bloat","C.N.Ratio","Coppice.Potential","Fall.Conspicuous","Fire.Resistance","Flower.Color","Flower.Conspicuous","Foliage.Color","Foliage.Porosity.Summer","Foliage.Porosity.Winter","Foliage.Texture","Fruit.Color","Fruit.Conspicuous","Growth.Form","Growth.Rate","Height.at.Base.Age..Maximum..feet.","Height..Mature..feet.","Known.Allelopath","Leaf.Retention","Lifespan","Low.Growing.Grass","Nitrogen.Fixation","Resprout.Ability","Shape.and.Orientation","Toxicity","Adapted.to.Coarse.Textured.Soils","Adapted.to.Medium.Textured.Soils","Adapted.to.Fine.Textured.Soils","Anaerobic.Tolerance","CaCO.SUB.3..SUB..Tolerance","Cold.Stratification.Required","Drought.Tolerance","Fertility.Requirement","Fire.Tolerance","Frost.Free.Days..Minimum","Hedge.Tolerance","Moisture.Use","pH..Minimum.","pH..Maximum.","Planting.Density.per.Acre..Minimum","Planting.Density.per.Acre..Maximum","Precipitation..Minimum.","Precipitation..Maximum.","Root.Depth..Minimum..inches.","Salinity.Tolerance","Shade.Tolerance","Temperature..Minimum..F.","Bloom.Period","Commercial.Availability","Fruit.Seed.Abundance","Fruit.Seed.Period.Begin","Fruit.Seed.Period.End","Fruit.Seed.Persistence","Propogated.by.Bare.Root","Propogated.by.Bulbs","Propogated.by.Container","Propogated.by.Corms","Propogated.by.Cuttings","Propogated.by.Seed","Propogated.by.Sod","Propogated.by.Sprigs","Propogated.by.Tubers","Seeds.per.Pound","Seed.Spread.Rate","Seedling.Vigor","Small.Grain","Vegetative.Spread.Rate","Berry.Nut.Seed.Product","Christmas.Tree.Product","Fodder.Product","Fuelwood.Product","Lumber.Product","Naval.Store.Product","Nursery.Stock.Product","Palatable.Browse.Animal","Palatable.Graze.Animal","Palatable.Human","Post.Product","Protein.Potential","Pulpwood.Product","Veneer.Product"
"11","Acacia koa","Acacia koa","ACKO",NA,"ACKO","HI","USA(HI)","Dicot","Fabaceae","Perennial","Tree","HI(N)","Yes","Year Round",NA,"None","Low","No","No","No","Yellow","No","Green","Moderate","Moderate","Medium","Brown","No","Single Stem","Moderate",100,110,"No","Yes","Long","No","High","Yes","Erect","None","Yes","Yes","Yes","None","Medium","No","Medium","Medium","Medium",365,"Medium","Medium",5,7,300,700,50,200,30,"None","Intolerant",31,"Spring","Routinely Available","Medium","Spring","Summer","Yes","Yes","No","Yes","No","Yes","Yes","No","No","No",4900,"Moderate","Medium","No","None","No","No","No",NA,"Yes","Yes","Yes","High",NA,"No","No",NA,"No","Yes"
"12","Acacia koaia","Acacia koaia","ACKO2",NA,"ACKO2","HI","USA(HI)","Dicot","Fabaceae","Perennial","Tree","HI(N)","Yes","Year Round",NA,"None","Low","No","No","No","Yellow","Yes","Green","Dense","Dense","Fine","Yellow","Yes",NA,"Rapid",60,40,"No","Yes","Long","No","High","No","Rounded","Slight","Yes","Yes","No","None","Medium","No","Low","Medium","Low",365,"Low",NA,4,7.4,320,640,33,200,36,"None","Intolerant",25,"Early Spring",NA,NA,"Year Round","Year Round","Yes","No","No","No","No","No","Yes","No","No","No",40824,NA,"Low","No",NA,"Yes","No","No","Low","Yes","No","No","Low","Low","Yes","No",NA,"No","No"
"13","Acacia longifolia","Acacia longifolia","ACLO",NA,"ACLO","NA (L48)","USA(CA)","Dicot","Fabaceae","Perennial","Tree, Shrub","L48(I)","Yes","Spring and Summer",NA,"None","High","Yes","No","No","Yellow","Yes","Green","Dense","Dense","Fine","Brown","Yes","Multiple Stem","Rapid",20,20,"No","Yes","Short","No","Medium","Yes","Semi-Erect","None","Yes","Yes","Yes","None","Low","No","High","Low","Medium",180,"High","Medium",6,8.3,700,1200,16,40,24,"Low","Intolerant",14,"Summer","Routinely Available","High","Summer","Fall","Yes","Yes","No","Yes","No","Yes","Yes","No","No","No",33000,"Slow","Medium","No","None","No","No","No",NA,"No","No","Yes","Low",NA,"No","No","Low","No","No"
"14","Acacia melanoxylon","Acacia melanoxylon","ACME",NA,"ACME","NA (L48), HI","USA(CA, HI)","Dicot","Fabaceae","Perennial","Tree","L48(I)HI(I)","Yes","Spring and Summer",NA,"None","High","Yes","No","No","White","Yes","Dark Green","Moderate","Moderate","Fine","Brown","Yes","Multiple Stem","Rapid",40,40,"No","Yes","Short","No","Medium","Yes","Erect","None","Yes","Yes","Yes","None","Low","No","High","Low","Medium",180,"Medium","Medium",6,8.3,300,1200,16,40,28,"Low","Intolerant",14,"Early Spring","No Known Source","High","Summer","Fall","Yes","Yes","No","Yes","No","Yes","Yes","No","No","No",31200,"Slow","Medium","No","Moderate","No","No","No",NA,"No","No","Yes","Low",NA,"No","No","Low","No","No"
"15","Acalypha virginica","Acalypha virginica","ACVI",NA,"ACVI","NA (L48)","USA(AL, AR, CT, DC, DE, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MO, MS, NC, NE, NH, NJ, NY, OH, OK, PA, RI, SC, SD, TN, TX, VA, VT, WV)","Dicot","Euphorbiaceae","Annual","Forb/herb","L48(N)","Yes","Spring, Summer, Fall","Slow","None","High","No","Yes","No","Red","Yes","Green","Moderate","Porous","Coarse","Red","No","Single Crown","Rapid",NA,3,"No","No",NA,"No","None","No","Erect","None","No","Yes","No","None","Low","No","Medium","Medium","None",80,"None","Medium",5.9,7,1100,4800,13,60,6,"None","Intermediate",33,"Early Summer","No Known Source","High","Summer","Fall","No","Yes","No","Yes","No","Yes","Yes","No","No","No",678000,"Slow","Medium","No","None","No","No","No",NA,"No","No","Yes","Low","Low","No","No","Low","No","No"
"16","Acer circinatum","Acer circinatum","ACCI",NA,"ACCI","NA (L48, AK, CAN)","CAN(BC), USA(AK, CA, OR, WA)","Dicot","Aceraceae","Perennial","Tree, Shrub, Vine","L48(N)AK(N?)CAN(N)","Yes","Spring and Summer",NA,"None","High","No","Yes","No","Green","Yes","Green","Moderate","Porous","Medium","Brown","No","Single Stem","Moderate",15,20,"No","No","Long","No","None","Yes","Erect","None","Yes","Yes","Yes","None","None","Yes","Low","Medium","Medium",200,"None","Medium",5.5,7.5,700,1100,24,80,24,"None","Tolerant",-13,"Spring","No Known Source","Medium","Summer","Fall","No","Yes","No","Yes","No","No","Yes","No","No","No",4620,"Slow","Medium","No","None","No","No","No","High","No","Yes","No","Medium",NA,"No","No",NA,"No","No"
"17","Acer ginnala","Acer tataricum subsp. ginnala","ACGI",NA,"ACGI","NA (L48, CAN)","CAN(MB, NB, ON, SK), USA(CT, IA, IL, KY, MA, ME, MI, MN, ND, NH, NJ, NY, OH, PA, VT, WI)","Dicot","Aceraceae","Perennial","Tree, Shrub","L48(I)CAN(I)","Yes","Spring and Summer",NA,"None","High","No","Yes","No","White","No","Green","Dense","Moderate","Medium","Brown","Yes","Multiple Stem","Rapid",15,20,"No","No","Moderate","No","None","Yes","Rounded","None","Yes","Yes","No","None","Medium","Yes","Low","Medium","High",130,"Medium","Medium",6.1,7.5,170,700,30,60,24,"Medium","Intermediate",-38,"Mid Spring","Routinely Available","High","Summer","Fall","No","Yes","No","Yes","No","No","Yes","No","No","No",15200,"Slow","Low","No","None","No","No","No","Medium","No","No","Yes","Low","Low","No","No",NA,"No","No"
"18","Acer glabrum","Acer glabrum","ACGL",NA,"ACGL","NA (L48, AK, CAN)","CAN(AB, BC), USA(AK, AZ, CA, CO, ID, MT, NE, NM, NV, OR, SD, UT, WA, WY)","Dicot","Aceraceae","Perennial","Shrub, Tree","L48(N)AK(I?)CAN(N)","Yes","Spring and Summer",NA,"None","High","No","Yes","No","Green","No","Green","Dense","Porous","Coarse","Brown","No","Multiple Stem","Rapid",15,30,"No","No","Moderate","No","None","Yes","Erect","None","Yes","Yes","No","Low","Medium","Yes","Medium","Medium","High",180,"Medium","Low",5.8,7.5,300,1200,9,60,24,"None","Intermediate",-43,"Late Spring","Routinely Available","High","Summer","Fall","No","Yes","No","Yes","No","Yes","Yes","No","No","No",13663,"Slow","Low","No","Moderate","No","No","No","Medium","No","No","Yes","Medium","Low","No","No",NA,"No","No"
"19","Acer glabrum var. douglasii","Acer glabrum var. douglasii","ACGLD4",NA,"ACGLD4","NA (L48, AK, CAN)","CAN(AB, BC), USA(AK, CA, ID, MT, NV, OR, WA, WY)","Dicot","Aceraceae","Perennial","Shrub, Tree","L48(N)AK(I?)CAN(N)","Yes","Spring and Summer",NA,"None","High","No","Yes","No","Green","No","Green","Moderate","Porous","Coarse","Brown","No","Single Stem","Moderate",20,30,"No","No","Moderate","No","None","Yes","Erect","None","Yes","Yes","No","None","Low","Yes","Low","Medium","Low",120,"None","Medium",5.5,7.5,700,2700,16,50,24,"None","Tolerant",-13,"Late Spring","Contracting Only","Medium","Summer","Fall","No","Yes","No","Yes","No","No","Yes","No","No","No",16000,"Slow","Medium","No","None","No","No","No","Low","No","No","Yes","Medium","Medium","No","No","Low","No","No"
"20","Acer grandidentatum","Acer grandidentatum","ACGR3",NA,"ACGR3","NA (L48)","USA(AZ, CO, ID, MT, NM, NV, TX, UT, WA, WY)","Dicot","Aceraceae","Perennial","Tree, Shrub","L48(N)","Yes","Spring and Summer",NA,"None","High","No","No","No","Yellow","Yes","Green","Moderate","Porous","Medium","Brown","No","Single Stem","Moderate",20,38,"No","No","Short","No","None","Yes","Erect","None","Yes","Yes","Yes","Low","None","Yes","Low","Medium","Medium",100,"None","Medium",6,8,700,1100,16,30,24,"None","Intermediate",-31,"Spring","Routinely Available","Medium","Summer","Summer","No","Yes","No","Yes","No","No","Yes","No","No","No",6350,"Slow","Low","No","None","No","No","No","High","No","No","No","Low",NA,"No","Yes",NA,"No","No"
"21","Acer macrophyllum","Acer macrophyllum","ACMA3",NA,"ACMA3","NA (L48, CAN)","CAN(BC), USA(CA, OR, WA)","Dicot","Aceraceae","Perennial","Tree","L48(N)CAN(N)","Yes","Spring and Summer",NA,"None","High","Yes","Yes","No","Yellow","No","Green","Dense","Porous","Medium","Brown","No","Single Stem","Rapid",30,60,"No","No","Moderate","No","None","Yes","Erect","None","Yes","Yes","Yes","Medium","Low","Yes","Low","Medium","High",140,"None","Medium",4.8,7.2,300,700,22,260,24,"None","Intermediate",-14,"Mid Spring","Contracting Only","High","Summer","Fall","Yes","Yes","No","Yes","No","Yes","Yes","No","No","No",3120,"Moderate","High","No","None","No","No","No","Medium","Yes","No","Yes","High","Low","Yes","No",NA,"No","Yes"
"22","Acer negundo","Acer negundo","ACNE2",NA,"ACNE2","NA (L48, CAN)","CAN(AB, BC, MB, NB, NS, NT, ON, PE, QC, SK), USA(AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY)","Dicot","Aceraceae","Perennial","Tree","L48(N)CAN(N)","Yes","Spring and Summer",NA,"None","High","Yes","Yes","No","White","No","Green","Dense","Porous","Coarse","Brown","Yes","Multiple Stem","Rapid",35,60,"No","No","Short","No","None","Yes","Erect","None","Yes","Yes","Yes","Medium","High","Yes","High","Medium","Low",100,"None","Medium",5,7.8,300,1200,15,75,40,"Medium","Tolerant",-46,"Early Spring","Routinely Available","High","Summer","Fall","No","Yes","No","Yes","No","Yes","Yes","No","No","No",11360,"Slow","Low","No","Slow","No","No","No","Low","No","No","Yes","Low","Low","Yes","No","Low","Yes","No"
"23","Acer nigrum","Acer saccharum subsp. nigrum","ACNI5",NA,"ACNI5","NA (L48, CAN)","CAN(ON, QC), USA(AL, AR, CT, DC, DE, GA, IA, IL, IN, KS, KY, MA, MD, MI, MN, MO, NC, NH, NJ, NY, OH, PA, SD, TN, VA, VT, WI, WV)","Dicot","Aceraceae","Perennial","Tree","L48(N)CAN(N)","Yes","Spring and Summer",NA,"None","High","No","Yes","No","Yellow","No","Green","Dense","Porous","Medium","Brown","No","Single Stem","Moderate",28,100,"No","No","Moderate","No","None","Yes","Erect","None","Yes","Yes","Yes","Low","Medium","Yes","Medium","Medium","Low",130,"None","Medium",4.5,7.3,300,700,24,60,30,"None","Tolerant",-47,"Late Spring","No Known Source","Medium","Summer","Fall","No","Yes","No","Yes","No","No","Yes","No","No","No",7030,"Moderate","Medium","No","None","No","No","No","High","Yes","Yes","Yes","Medium",NA,"Yes","No",NA,"No","Yes"
"24","Acer pensylvanicum","Acer pensylvanicum","ACPE",NA,"ACPE","NA (L48, CAN)","CAN(NB, NS, ON, PE, QC), USA(CT, GA, KY, MA, MD, ME, MI, MN, NC, NH, NJ, NY, OH, PA, RI, SC, TN, VA, VT, WI, WV)","Dicot","Aceraceae","Perennial","Tree, Shrub","L48(N)CAN(N)","Yes","Spring and Summer",NA,"None","High","No","Yes","Yes","Yellow","No","Green","Moderate","Porous","Medium","Brown","No","Single Stem","Slow",25,35,"Yes","No","Short","No","None","Yes","Erect","None","Yes","Yes","No","None","Low","Yes","Low","Medium","Medium",90,"None","Low",4.4,6.5,700,1100,24,76,28,"None","Tolerant",-47,"Late Spring","No Known Source","Medium","Summer","Fall","No","Yes","No","Yes","No","No","Yes","No","No","No",11360,"Slow","Low","No","None","No","No","No","Low","No","No","Yes","High","Medium","No","No",NA,"No","No"
"25","Acer platanoides","Acer platanoides","ACPL",NA,"ACPL","NA (L48, CAN)","CAN(BC, NB, NS, ON, PE, QC), USA(CT, DC, DE, ID, IL, IN, KY, MA, MD, ME, MI, MN, MT, NC, NH, NJ, NY, OH, OR, PA, RI, TN, VA, VT, WA, WI, WV)","Dicot","Aceraceae","Perennial","Tree","L48(I)CAN(I)","Yes","Spring and Summer",NA,"None","High","Yes","Yes","No","Green","No","Red","Dense","Porous","Coarse","Brown","Yes","Single Stem","Slow",35,50,"No","No","Moderate","No","None","Yes","Erect","None","No","Yes","No","None","Medium","Yes","Low","Medium","Low",100,"None","Medium",4.8,6.8,300,700,24,60,30,"Medium","Intermediate",-33,"Mid Spring","Routinely Available",NA,"Summer","Fall","No","Yes","No","Yes","No","Yes","No","No","No","No",NA,NA,NA,"No","None","No","No","No","Medium","No","No","Yes",NA,NA,"No","No",NA,"No","No"
"26","Acer pseudoplatanus","Acer pseudoplatanus","ACPS",NA,"ACPS","NA (L48, CAN)","CAN(BC, NB, NS, ON), USA(CT, DC, DE, IL, KY, MA, MD, ME, MI, NC, NJ, NY, PA, RI)","Dicot","Aceraceae","Perennial","Tree","L48(I)CAN(I)","Yes","Spring and Summer",NA,"None","High","No","No","No","Green","No","Yellow-Green","Dense","Porous","Coarse","Green","Yes","Single Stem","Moderate",60,70,"No","No","Moderate","No","None","Yes","Erect","None","No","Yes","Yes","None","Low","Yes","Medium","Medium","Medium",140,"Medium","Medium",5.8,7,300,700,32,60,48,"Medium","Intolerant",-23,"Late Spring","No Known Source","High","Spring","Summer","No","Yes","No","Yes","No","Yes","Yes","No","No","No",5920,"Moderate","Medium","No","None","No","No","No","Medium","No","No","Yes","Low","Low","No","No","Low","No","No"
"27","Acer rubrum","Acer rubrum","ACRU",NA,"ACRU","NA (L48, CAN)","CAN(NB, NF, NS, ON, PE, QC), USA(AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NH, NJ, NY, OH, OK, OR, PA, RI, SC, TN, TX, VA, VT, WI, WV)","Dicot","Aceraceae","Perennial","Tree","L48(N)CAN(N)","Yes","Spring and Summer",NA,"None","High","Yes","Yes","No","Red","Yes","Green","Dense","Porous","Medium","Red","Yes","Single Stem","Rapid",35,68,"No","No","Short","No","None","Yes","Rounded","Slight","Yes","Yes","Yes","Medium","High","No","Medium","Medium","Low",80,"Low","High",4.7,7.3,170,1200,25,80,30,"None","Intermediate",-47,"Early Spring","Routinely Available","High","Spring","Spring","No","Yes","No","Yes","No","No","Yes","No","No","No",22720,"Moderate","Medium","No","None","No","No","No","Medium","Yes","No","Yes","Medium","Low","Yes","No","Low","Yes","Yes"
"28","Acer saccharinum","Acer saccharinum","ACSA2",NA,"ACSA2","NA (L48, CAN)","CAN(NB, ON, QC, SK), USA(AL, AR, CA, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, ND, NE, NH, NJ, NM, NY, OH, OK, PA, RI, SC, SD, TN, TX, VA, VT, WA, WI, WV)","Dicot","Aceraceae","Perennial","Tree","L48(N)CAN(N)","Yes","Spring and Summer",NA,"None","High","Yes","Yes","No","Yellow","Yes","Green","Dense","Porous","Medium","Brown","Yes","Single Stem","Rapid",45,90,"No","No","Moderate","No","None","Yes","Rounded","None","Yes","Yes","Yes","High","Medium","No","Low","Low","Low",120,"None","Medium",4,7.3,170,700,20,70,32,"Low","Intermediate",-47,"Early Spring","Routinely Available","High","Summer","Fall","No","Yes","No","Yes","No","Yes","Yes","No","No","No",1610,"Slow","Low","No","None","No","No","No","Medium","Yes","No","Yes","Low","Low","Yes","No","Low","No","Yes"
"29","Acer saccharum","Acer saccharum","ACSA3",NA,"ACSA3","NA (L48, CAN)","CAN(NB, NS, ON, PE, QC), USA(AL, AR, CT, DE, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, ND, NH, NJ, NY, OH, OK, PA, RI, SD, TN, VA, VT, WI, WV)","Dicot","Aceraceae","Perennial","Tree, Shrub","L48(N)CAN(N)","Yes","Spring and Summer",NA,"None","High","No","Yes","No","Green","No","Green","Dense","Porous","Coarse","Brown","No","Single Stem","Slow",20,100,"Yes","No","Long","No","None","Yes","Erect","None","Yes","Yes","No","None","Medium","Yes","Medium","Medium","Low",80,"None","Medium",3.7,7.9,300,700,22,80,40,"None","Tolerant",-47,"Mid Spring","Routinely Available","High","Summer","Fall","Yes","Yes","No","Yes","No","Yes","Yes","No","No","No",6540,"Moderate","High","No","None","No","No","No","High","Yes","Yes","No","Medium",NA,"Yes","No",NA,"Yes","Yes"
