"","genus","ResolvedName","csr_c","csr_r","usda_habit","usda_growth","usda_allelo","usda_lifespan","usda_nitro","usda_toxic","hyb_prop","hyb_ratio","gpi_inv_cong","gpi_inv_else","will_rangesize","will_preciprange","will_phrange"
"38","Allium","Allium hyalinum",NA,NA,NA,NA,NA,NA,NA,NA,0,0,TRUE,FALSE,87365516608,1666.510033,5.719999552
"39","Allium","Allium praecox",NA,NA,NA,NA,NA,NA,NA,NA,0,0,TRUE,FALSE,1.01e+11,1134.089951,4.559999466
"40","Allium","Allium unifolium",NA,NA,NA,NA,NA,NA,NA,NA,0,0,TRUE,FALSE,65316202481,3888.730042,5.269999743
"41","Alnus","Alnus incana",40.1214095803772,24.5757383683875,"Tree, Shrub","Rapid","No","Short","Medium","None",0.865800866,0.090909091,TRUE,TRUE,NA,NA,NA
"42","Alnus","Alnus incana subsp. tenuifolia",NA,NA,"Shrub, Tree","Rapid","No","Moderate","Medium","None",0.865800866,0.090909091,TRUE,FALSE,NA,NA,NA
"43","Alnus","Alnus rhombifolia",NA,NA,"Tree","Rapid","No","Long","Low","None",0.865800866,0.090909091,TRUE,FALSE,6e+11,4606.559921,5.819999933
"44","Alnus","Alnus rubra",NA,NA,"Tree","Rapid","No","Short","High","None",0.865800866,0.090909091,TRUE,TRUE,NA,NA,NA
"45","Ambrosia","Ambrosia chamissonis",NA,NA,NA,NA,NA,NA,NA,NA,0.158562368,0.034090909,TRUE,FALSE,NA,NA,NA
"46","Ambrosia","Ambrosia chamissonis",NA,NA,NA,NA,NA,NA,NA,NA,50,0.25,TRUE,FALSE,NA,NA,NA
"47","Ambrosia","Ambrosia chenopodiifolia",NA,NA,NA,NA,NA,NA,NA,NA,0.158562368,0.034090909,TRUE,FALSE,10900649391,723.7700195,2.480000019
"48","Ambrosia","Ambrosia chenopodiifolia",NA,NA,NA,NA,NA,NA,NA,NA,50,0.25,TRUE,FALSE,10900649391,723.7700195,2.480000019
"49","Ambrosia","Ambrosia dumosa",NA,NA,"Subshrub, Shrub","Rapid","No","Short","None","None",0.158562368,0.034090909,TRUE,FALSE,4.44e+11,1662,7.460000396
"50","Ambrosia","Ambrosia dumosa",NA,NA,"Subshrub, Shrub","Rapid","No","Short","None","None",50,0.25,TRUE,FALSE,4.44e+11,1662,7.460000396
"51","Ambrosia","Ambrosia psilostachya",16.9808964166896,36.5688141553315,NA,NA,NA,NA,NA,NA,0.158562368,0.034090909,TRUE,TRUE,NA,NA,NA
"52","Ambrosia","Ambrosia psilostachya",16.9808964166896,36.5688141553315,NA,NA,NA,NA,NA,NA,50,0.25,TRUE,TRUE,NA,NA,NA
"53","Ambrosia","Ambrosia psilostachya",15.8954957412001,22.7645597387722,NA,NA,NA,NA,NA,NA,0.158562368,0.034090909,TRUE,TRUE,NA,NA,NA
"54","Ambrosia","Ambrosia psilostachya",15.8954957412001,22.7645597387722,NA,NA,NA,NA,NA,NA,50,0.25,TRUE,TRUE,NA,NA,NA
"55","Ambrosia","Ambrosia pumila",NA,NA,NA,NA,NA,NA,NA,NA,0.158562368,0.034090909,TRUE,FALSE,29565550842,763.989975,3.03000021
"56","Ambrosia","Ambrosia pumila",NA,NA,NA,NA,NA,NA,NA,NA,50,0.25,TRUE,FALSE,29565550842,763.989975,3.03000021
"57","Ambrosia","Ambrosia salsola",NA,NA,NA,NA,NA,NA,NA,NA,0.158562368,0.034090909,TRUE,FALSE,6.27e+11,1662,7.460000396
"58","Ambrosia","Ambrosia salsola",NA,NA,NA,NA,NA,NA,NA,NA,50,0.25,TRUE,FALSE,6.27e+11,1662,7.460000396
"59","Amelanchier","Amelanchier alnifolia",NA,NA,"Tree, Shrub","Moderate","No","Short","None","None",1.169590643,0.105263158,TRUE,FALSE,NA,NA,NA
"60","Amorpha","Amorpha californica",NA,NA,NA,NA,NA,NA,NA,NA,0,0,TRUE,FALSE,3.55e+11,3852.150009,7.360000014
"61","Amorpha","Amorpha fruticosa",40.3789092757635,20.5316799727593,"Shrub","Moderate","No","Moderate","Medium","Slight",0,0,TRUE,TRUE,NA,NA,NA
"62","Amsinckia","Amsinckia vernicosa",NA,NA,NA,NA,NA,NA,NA,NA,0.246305419,0.034482759,TRUE,FALSE,1.73e+11,1471.01001,5.719999552
"63","Anaphalis","Anaphalis margaritacea",31.3745692522165,17.0067614353366,"Forb/herb","Rapid","No","Short","None","None",NA,NA,FALSE,FALSE,NA,NA,NA
"64","Anemopsis","Anemopsis californica",NA,NA,"Forb/herb","Moderate","No","Long","None","None",NA,NA,FALSE,FALSE,NA,NA,NA
"65","Angelica","Angelica hendersonii",NA,NA,NA,NA,NA,NA,NA,NA,0,0,TRUE,FALSE,75676932330,5220.97995,3.900000095
"66","Anisocarpus","Anisocarpus madioides",NA,NA,NA,NA,NA,NA,NA,NA,0,0,FALSE,FALSE,1.15e+11,5814.670227,4.549999714
"67","Apocynum","Apocynum cannabinum",NA,NA,"Forb/herb","Moderate","No","Moderate","None","Severe",11.11111111,0.444444444,TRUE,TRUE,NA,NA,NA
"68","Apocynum","Apocynum cannabinum",NA,NA,"Forb/herb","Moderate","No","Moderate","None","Severe",0,0,TRUE,TRUE,NA,NA,NA
"69","Aquilegia","Aquilegia eximia",NA,NA,NA,NA,NA,NA,NA,NA,0.740055504,0.170212766,FALSE,FALSE,68966652139,2233.819885,5.269999743
"70","Aquilegia","Aquilegia formosa",NA,NA,"Forb/herb","Rapid","No","Short","None","None",0.740055504,0.170212766,FALSE,FALSE,NA,NA,NA
"71","Aquilegia","Aquilegia pubescens",NA,NA,NA,NA,NA,NA,NA,NA,0.740055504,0.170212766,FALSE,FALSE,NA,NA,NA
"72","Arabis","Arabis blepharophylla",NA,NA,NA,NA,NA,NA,NA,NA,0.035267149,0.018691589,TRUE,FALSE,NA,NA,NA
"73","Aralia","Aralia californica",NA,NA,NA,NA,NA,NA,NA,NA,0,0,TRUE,FALSE,2.51e+11,4485.899765,4.999999523
"74","Arbutus","Arbutus menziesii",NA,NA,"Tree","Slow","No","Long","None","None",100,0.5,FALSE,FALSE,NA,NA,NA
"75","Arceuthobium","Arceuthobium campylopodum",NA,NA,NA,NA,NA,NA,NA,NA,0,0,FALSE,FALSE,NA,NA,NA
"76","Arctostaphylos","Arctostaphylos andersonii",NA,NA,NA,NA,NA,NA,NA,NA,0.372960373,0.121212121,FALSE,FALSE,5658723405,1113.26004,3.760000229
"77","Arctostaphylos","Arctostaphylos auriculata",NA,NA,NA,NA,NA,NA,NA,NA,0.372960373,0.121212121,FALSE,FALSE,1857233047,460.5600281,3.699999809
"78","Arctostaphylos","Arctostaphylos bakeri",NA,NA,NA,NA,NA,NA,NA,NA,0.372960373,0.121212121,FALSE,FALSE,4081491107,1319.099976,2.199999809
"79","Arctostaphylos","Arctostaphylos columbiana",NA,NA,"Tree, Shrub","Slow","No","Moderate","None","None",0.372960373,0.121212121,FALSE,FALSE,NA,NA,NA
"80","Arctostaphylos","Arctostaphylos crustacea",NA,NA,NA,NA,NA,NA,NA,NA,0.372960373,0.121212121,FALSE,FALSE,NA,NA,NA
"81","Arctostaphylos","Arctostaphylos crustacea subsp. crustacea",NA,NA,NA,NA,NA,NA,NA,NA,0.372960373,0.121212121,FALSE,FALSE,NA,NA,NA
"82","Arctostaphylos","Arctostaphylos crustacea subsp. rosei",NA,NA,NA,NA,NA,NA,NA,NA,0.372960373,0.121212121,FALSE,FALSE,NA,NA,NA
"83","Arctostaphylos","Arctostaphylos crustacea subsp. subcordata",NA,NA,NA,NA,NA,NA,NA,NA,0.372960373,0.121212121,FALSE,FALSE,NA,NA,NA
"84","Arctostaphylos","Arctostaphylos cruzensis",NA,NA,NA,NA,NA,NA,NA,NA,0.372960373,0.121212121,FALSE,FALSE,17048228887,1208.100037,2.549999714
"85","Arctostaphylos","Arctostaphylos densiflora",NA,NA,NA,NA,NA,NA,NA,NA,0.372960373,0.121212121,FALSE,FALSE,4081491107,1319.099976,2.199999809
"86","Arctostaphylos","Arctostaphylos edmundsii",NA,NA,NA,NA,NA,NA,NA,NA,0.372960373,0.121212121,FALSE,FALSE,8499616962,1101.690033,1.869999886
"87","Arctostaphylos","Arctostaphylos franciscana",NA,NA,NA,NA,NA,NA,NA,NA,0.372960373,0.121212121,FALSE,FALSE,NA,NA,NA
"88","Arctostaphylos","Arctostaphylos glandulosa",NA,NA,NA,NA,NA,NA,NA,NA,0.372960373,0.121212121,FALSE,FALSE,2.71e+11,4485.899765,4.999999523
"89","Arctostaphylos","Arctostaphylos glandulosa subsp. crassifolia",NA,NA,NA,NA,NA,NA,NA,NA,0.372960373,0.121212121,FALSE,FALSE,NA,NA,NA
"90","Arctostaphylos","Arctostaphylos glandulosa subsp. glandulosa",NA,NA,NA,NA,NA,NA,NA,NA,0.372960373,0.121212121,FALSE,FALSE,NA,NA,NA
"91","Arctostaphylos","Arctostaphylos glauca",NA,NA,"Tree, Shrub","Slow","No","Long","None","None",0.372960373,0.121212121,FALSE,FALSE,1.71e+11,1377.60997,5.719999552
"92","Arctostaphylos","Arctostaphylos pungens",NA,NA,"Subshrub, Shrub","Slow","No","Long","None","None",0.372960373,0.121212121,FALSE,FALSE,5.59e+11,1418.550034,7.460000396
"93","Arctostaphylos","Arctostaphylos hookeri",NA,NA,NA,NA,NA,NA,NA,NA,0.372960373,0.121212121,FALSE,FALSE,19670447649,1315.090027,3.319999695
"94","Arctostaphylos","Arctostaphylos insularis",NA,NA,NA,NA,NA,NA,NA,NA,0.372960373,0.121212121,FALSE,FALSE,7083976828,987.9699707,2.550000191
"95","Arctostaphylos","Arctostaphylos manzanita",NA,NA,"Shrub","Slow","No","Long","None","None",0.372960373,0.121212121,FALSE,FALSE,1.1e+11,3837.469894,5.529999971
"96","Arctostaphylos","Arctostaphylos montaraensis",NA,NA,NA,NA,NA,NA,NA,NA,0.372960373,0.121212121,FALSE,FALSE,1161960635,622.960022,2.630000114
"97","Arctostaphylos","Arctostaphylos morroensis",NA,NA,NA,NA,NA,NA,NA,NA,0.372960373,0.121212121,FALSE,FALSE,8548611925,784.2600098,2.46999979
"98","Arctostaphylos","Arctostaphylos nevadensis",NA,NA,"Subshrub, Shrub","Slow","No","Long","None","None",0.372960373,0.121212121,FALSE,FALSE,4.72e+11,4456.609764,5.819999933
"99","Arctostaphylos","Arctostaphylos nummularia",NA,NA,NA,NA,NA,NA,NA,NA,0.372960373,0.121212121,FALSE,FALSE,20169617959,1978.299957,3.760000229
"100","Arctostaphylos","Arctostaphylos otayensis",NA,NA,NA,NA,NA,NA,NA,NA,0.372960373,0.121212121,FALSE,FALSE,10900649391,723.7700195,2.480000019
"101","Arctostaphylos","Arctostaphylos pacifica",NA,NA,NA,NA,NA,NA,NA,NA,0.372960373,0.121212121,FALSE,FALSE,1161960635,622.960022,2.630000114
"102","Arctostaphylos","Arctostaphylos pajaroensis",NA,NA,NA,NA,NA,NA,NA,NA,0.372960373,0.121212121,FALSE,FALSE,9652483255,1208.680023,1.869999886
"103","Arctostaphylos","Arctostaphylos parryana",NA,NA,NA,NA,NA,NA,NA,NA,0.372960373,0.121212121,FALSE,FALSE,1.14e+11,1233.060043,4.559999466
"104","Arctostaphylos","Arctostaphylos patula",NA,NA,"Shrub","Slow","Yes","Long","None","None",0.372960373,0.121212121,FALSE,FALSE,8.41e+11,4505.009766,7.460000396
"105","Arctostaphylos","Arctostaphylos pilosula",NA,NA,NA,NA,NA,NA,NA,NA,0.372960373,0.121212121,FALSE,FALSE,17048228887,1208.100037,2.549999714
"106","Arctostaphylos","Arctostaphylos pringlei",NA,NA,NA,NA,NA,NA,NA,NA,0.372960373,0.121212121,FALSE,FALSE,3.02e+11,1134.089951,7.399999976
"107","Arctostaphylos","Arctostaphylos pringlei subsp. drupacea",NA,NA,NA,NA,NA,NA,NA,NA,0.372960373,0.121212121,FALSE,FALSE,NA,NA,NA
"108","Arctostaphylos","Arctostaphylos pumila",NA,NA,NA,NA,NA,NA,NA,NA,0.372960373,0.121212121,FALSE,FALSE,8499616962,1101.690033,1.869999886
"109","Arctostaphylos","Arctostaphylos purissima",NA,NA,NA,NA,NA,NA,NA,NA,0.372960373,0.121212121,FALSE,FALSE,7083976828,987.9699707,2.550000191
"110","Arctostaphylos","Arctostaphylos rainbowensis",NA,NA,NA,NA,NA,NA,NA,NA,0.372960373,0.121212121,FALSE,FALSE,29565550842,763.989975,3.03000021
"111","Arctostaphylos","Arctostaphylos refugioensis",NA,NA,NA,NA,NA,NA,NA,NA,0.372960373,0.121212121,FALSE,FALSE,7083976828,987.9699707,2.550000191
"112","Arctostaphylos","Arctostaphylos rudis",NA,NA,NA,NA,NA,NA,NA,NA,0.372960373,0.121212121,FALSE,FALSE,15632588753,1007.899963,2.899999619
"113","Arctostaphylos","Arctostaphylos silvicola",NA,NA,NA,NA,NA,NA,NA,NA,0.372960373,0.121212121,FALSE,FALSE,1152866293,1013.100037,1.590000153
"114","Arctostaphylos","Arctostaphylos stanfordiana",NA,NA,NA,NA,NA,NA,NA,NA,0.372960373,0.121212121,FALSE,FALSE,21560606102,2026.109955,3.699999809
"115","Arctostaphylos","Arctostaphylos tomentosa",NA,NA,NA,NA,NA,NA,NA,NA,0.372960373,0.121212121,FALSE,FALSE,49724512818,1347.749969,4.999999523
"116","Arctostaphylos","Arctostaphylos uva-ursi",11.3436080573168,0,"Shrub","Rapid","No","Short","None","None",0.372960373,0.121212121,FALSE,FALSE,NA,NA,NA
"117","Arctostaphylos","Arctostaphylos uva-ursi",11.3436080573168,0,"Subshrub, Shrub","Moderate","Yes","Long","None","None",0.372960373,0.121212121,FALSE,FALSE,NA,NA,NA
"118","Arctostaphylos","Arctostaphylos viridissima",NA,NA,NA,NA,NA,NA,NA,NA,0.372960373,0.121212121,FALSE,FALSE,7083976828,987.9699707,2.550000191
"119","Arctostaphylos","Arctostaphylos viscida",NA,NA,NA,NA,NA,NA,NA,NA,0.372960373,0.121212121,FALSE,FALSE,2.26e+11,4456.609764,5.719999552
"120","Arctostaphylos","Arctostaphylos viscida subsp. viscida",NA,NA,NA,NA,NA,NA,NA,NA,0.372960373,0.121212121,FALSE,FALSE,NA,NA,NA
"121","Argemone","Argemone corymbosa",NA,NA,NA,NA,NA,NA,NA,NA,1.515151515,0.083333333,TRUE,FALSE,2.4e+11,1134.089951,7.460000396
"122","Argemone","Argemone munita",NA,NA,NA,NA,NA,NA,NA,NA,1.515151515,0.083333333,TRUE,FALSE,8.64e+11,3978.389893,7.460000396
"123","Aristida","Aristida purpurea",0,0,NA,NA,NA,NA,NA,NA,0,0,TRUE,FALSE,NA,NA,NA
"124","Aristolochia","Aristolochia californica",NA,NA,NA,NA,NA,NA,NA,NA,0,0,TRUE,FALSE,NA,NA,NA
"125","Armeria","Armeria maritima",15.6052500263413,54.4572579547848,"Subshrub, Forb/herb","Moderate","No","Moderate","None","None",0.606060606,0.133333333,FALSE,FALSE,NA,NA,NA
"126","Armeria","Armeria maritima subsp. californica",NA,NA,NA,NA,NA,NA,NA,NA,0.606060606,0.133333333,FALSE,FALSE,NA,NA,NA
"127","Arnica","Arnica chamissonis",NA,NA,"Forb/herb","Moderate","No","Short","None","None",0.158730159,0.027777778,TRUE,FALSE,NA,NA,NA
"128","Arnica","Arnica ovata",NA,NA,"Forb/herb","Moderate","No","Moderate","None","None",0.158730159,0.027777778,TRUE,FALSE,NA,NA,NA
"129","Artemisia","Artemisia arbuscula",NA,NA,"Shrub, Subshrub","Slow","No","Long","None","None",0.064350064,0.047297297,TRUE,FALSE,1.09e+12,4005.909912,7.460000396
"130","Artemisia","Artemisia campestris subsp. borealis",NA,NA,NA,NA,NA,NA,NA,NA,0.064350064,0.047297297,TRUE,FALSE,NA,NA,NA
"131","Artemisia","Artemisia californica",NA,NA,NA,NA,NA,NA,NA,NA,0.064350064,0.047297297,TRUE,FALSE,1.41e+11,2278.529953,5.719999552
"132","Artemisia","Artemisia douglasiana",NA,NA,NA,NA,NA,NA,NA,NA,0.064350064,0.047297297,TRUE,FALSE,NA,NA,NA
"133","Artemisia","Artemisia dracunculus",10.6334561573028,42.5039346895057,NA,NA,NA,NA,NA,NA,0.064350064,0.047297297,TRUE,FALSE,NA,NA,NA
"134","Artemisia","Artemisia ludoviciana",12.5353688075839,22.3724047431213,"Subshrub, Forb/herb","Rapid","Yes","Moderate","None","None",0.064350064,0.047297297,TRUE,FALSE,NA,NA,NA
"135","Artemisia","Artemisia vulgaris",39.0527676886099,11.2997322319496,NA,NA,NA,NA,NA,NA,0.064350064,0.047297297,TRUE,TRUE,NA,NA,NA
"136","Artemisia","Artemisia palmeri",NA,NA,NA,NA,NA,NA,NA,NA,0.064350064,0.047297297,TRUE,FALSE,10900649391,723.7700195,2.480000019
"137","Artemisia","Artemisia pycnocephala",NA,NA,NA,NA,NA,NA,NA,NA,0.064350064,0.047297297,TRUE,FALSE,47555160925,4276.029755,3.690000057
"138","Artemisia","Artemisia tridentata",NA,NA,"Tree, Shrub","Slow","No","Long","None","None",0.064350064,0.047297297,TRUE,FALSE,NA,NA,NA
"139","Artemisia","Artemisia tridentata subsp. vaseyana",NA,NA,"Tree, Shrub","Slow","No","Long","None","None",0.064350064,0.047297297,TRUE,FALSE,NA,NA,NA
"140","Arthrocnemum","Arthrocnemum subterminale",NA,NA,NA,NA,NA,NA,NA,NA,0,0,FALSE,FALSE,1.76e+11,1642.829941,5.719999552
"141","Aruncus","Aruncus dioicus",70.5838981322733,26.077321840023,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA
"142","Asarum","Asarum caudatum",NA,NA,NA,NA,NA,NA,NA,NA,0,0,FALSE,FALSE,NA,NA,NA
"143","Asarum","Asarum hartwegii",NA,NA,NA,NA,NA,NA,NA,NA,0,0,FALSE,FALSE,72546024027,3750.76001,5.529999971
"144","Asarum","Asarum lemmonii",NA,NA,NA,NA,NA,NA,NA,NA,0,0,FALSE,FALSE,32047676169,2695.029953,5.529999971
"145","Asclepias","Asclepias cordifolia",NA,NA,NA,NA,NA,NA,NA,NA,0.037023325,0.013513514,TRUE,FALSE,2.8e+11,4456.609764,5.819999933
"146","Asclepias","Asclepias cryptoceras",NA,NA,NA,NA,NA,NA,NA,NA,0.037023325,0.013513514,TRUE,FALSE,6.57e+11,1699.850014,7.460000396
"147","Asclepias","Asclepias eriocarpa",NA,NA,NA,NA,NA,NA,NA,NA,0.037023325,0.013513514,TRUE,FALSE,2.45e+11,3959.279892,5.719999552
"148","Asclepias","Asclepias erosa",NA,NA,NA,NA,NA,NA,NA,NA,0.037023325,0.013513514,TRUE,FALSE,4.51e+11,1662,7.460000396
"149","Asclepias","Asclepias fascicularis",NA,NA,NA,NA,NA,NA,NA,NA,0.037023325,0.013513514,TRUE,FALSE,8.02e+11,4505.009766,7.460000396
"150","Asclepias","Asclepias speciosa",NA,NA,"Forb/herb","Moderate","No","Long","None","Slight",0.037023325,0.013513514,TRUE,FALSE,NA,NA,NA
"151","Asclepias","Asclepias subulata",NA,NA,NA,NA,NA,NA,NA,NA,0.037023325,0.013513514,TRUE,FALSE,2.38e+11,1138.519951,5.75999999
"152","Astragalus","Astragalus pomonensis",NA,NA,NA,NA,NA,NA,NA,NA,0,0,TRUE,FALSE,97153035195,1134.089951,4.019999504
"153","Astragalus","Astragalus trichopodus",NA,NA,NA,NA,NA,NA,NA,NA,0,0,TRUE,FALSE,NA,NA,NA
"154","Astragalus","Astragalus trichopodus var. lonchus",NA,NA,NA,NA,NA,NA,NA,NA,0,0,TRUE,FALSE,NA,NA,NA
"155","Smithiastrum","Smithiastrum prenanthoides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,2.11e+11,4364.089767,5.529999971
"156","Athyrium","Athyrium filix-femina",NA,NA,"Forb/herb","Moderate","No","Long","None","None",NA,NA,FALSE,FALSE,NA,NA,NA
"157","Atriplex","Atriplex argentea var. expansa",NA,NA,NA,NA,NA,NA,NA,NA,0.158940397,0.119205298,TRUE,FALSE,NA,NA,NA
"158","Atriplex","Atriplex argentea var. expansa",NA,NA,NA,NA,NA,NA,NA,NA,0,0,TRUE,FALSE,NA,NA,NA
"159","Atriplex","Atriplex canescens",NA,NA,"Shrub","Rapid","No","Moderate","None","None",0.158940397,0.119205298,TRUE,FALSE,NA,NA,NA
"160","Atriplex","Atriplex canescens",NA,NA,"Shrub","Rapid","No","Moderate","None","None",0,0,TRUE,FALSE,NA,NA,NA
"161","Atriplex","Atriplex canescens var. linearis",NA,NA,NA,NA,NA,NA,NA,NA,0.158940397,0.119205298,TRUE,FALSE,NA,NA,NA
"162","Atriplex","Atriplex canescens var. linearis",NA,NA,NA,NA,NA,NA,NA,NA,0,0,TRUE,FALSE,NA,NA,NA
"163","Atriplex","Atriplex confertifolia",NA,NA,"Subshrub, Shrub","Slow","Yes","Moderate","None","None",0.158940397,0.119205298,TRUE,TRUE,NA,NA,NA
"164","Atriplex","Atriplex confertifolia",NA,NA,"Subshrub, Shrub","Slow","Yes","Moderate","None","None",0,0,TRUE,TRUE,NA,NA,NA
"165","Atriplex","Atriplex gardneri var. falcata",NA,NA,NA,NA,NA,NA,NA,NA,0.158940397,0.119205298,TRUE,FALSE,NA,NA,NA
"166","Atriplex","Atriplex gardneri var. falcata",NA,NA,NA,NA,NA,NA,NA,NA,0,0,TRUE,FALSE,NA,NA,NA
"167","Atriplex","Atriplex hymenelytra",NA,NA,NA,NA,NA,NA,NA,NA,0.158940397,0.119205298,TRUE,FALSE,2.98e+11,1282.420044,5.82000041
"168","Atriplex","Atriplex hymenelytra",NA,NA,NA,NA,NA,NA,NA,NA,0,0,TRUE,FALSE,2.98e+11,1282.420044,5.82000041
"169","Atriplex","Atriplex lentiformis",NA,NA,"Subshrub, Shrub","Moderate","No","Long","None","None",0.158940397,0.119205298,TRUE,FALSE,NA,NA,NA
