Accepted Symbol,Scientific Name,Air_Results,ports_Results,ghmi_Results,soc_Results,awc_Results,PropFP,TornArea,FRG,StormArea,Ag,Urb,SpeciesArea,Range_Size,Temp,Precip,pH,sand,silt,clay,Growth Habit,Status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,GH_Subshrub,GH_Graminoid,GH_Shrub,GH_Vine,GH_Forb,GH_Tree,FR - I,FR - II,FR - III,FR - IV,FR - V,85
SIST3,Sidalcea stipularis,67.74542236,93.23257446,0.209064677,5.204519749,8.866258621,0.018470493,0,1,0,0,0.051266337,5.72e-7,2480587324,25.76000094,1517.459961,2.170000076,56.60000324,23.5,21.5999999,Forb/herb,native,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
VIAU,Viburnum australe,62.08551407,717.3443604,0.064941078,2.601007938,6.942558765,0.066776464,1.88e-9,2,5.11e-10,0,0.004564119,1.8e-7,5865172230,22.28000069,374.0999756,2.180000305,34.69999981,18.5,32.5999999,Shrub,native,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
PEPA25,Penstemon parviflorus,58.89696884,875.4472046,0.112082914,3.582789183,8.870804787,0.0813881,0,1,0,4.27e-6,0.006934079,5.25e-8,14117193197,21.43000054,510.4100037,3.179999828,59.40000343,33.19999886,33.19999838,Forb/herb,native,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
HEPR5,Helianthus praetermissus,85.97117615,880.4043579,0.054965757,3.28685689,9.287684441,0.08552249,8.5e-11,1,8.5e-11,6.04e-6,0.005377373,4.44e-8,11758505178,23.92999983,663.8399963,3.71999979,36.69999981,32.89999962,34.50000143,Forb/herb,native,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
AGLI3,Ageratum littorale,61.44984055,37.30765533,0.062546588,10.49135399,16.12032318,0.995493612,1.57e-8,2,5.54e-8,9.85e-6,0.027587957,2.92e-7,2546027976,11.69000053,494.4000244,1.480000019,53.30000114,40.20000076,3.099999905,Forb/herb,native,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
ARFL,Aristida floridana,61.44984055,37.30765533,0.062546588,10.49135399,16.12032318,0.995493612,1.57e-8,2,5.54e-8,9.85e-6,0.027587957,2.92e-7,2546027976,11.69000053,494.4000244,1.480000019,53.30000114,40.20000076,3.099999905,Graminoid,native,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
CAPA34,Caesalpinia pauciflora,61.44984055,37.30765533,0.062546588,10.49135399,16.12032318,0.995493612,1.57e-8,2,5.54e-8,9.85e-6,0.027587957,2.92e-7,2546027976,11.69000053,494.4000244,1.480000019,53.30000114,40.20000076,3.099999905,Shrub,native,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
CHFR4,Chromolaena frustrata,61.44984055,37.30765533,0.062546588,10.49135399,16.12032318,0.995493612,1.57e-8,2,5.54e-8,9.85e-6,0.027587957,2.92e-7,2546027976,11.69000053,494.4000244,1.480000019,53.30000114,40.20000076,3.099999905,Forb/herb,native,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
CIYU,Cienfuegosia yucatanensis,61.44984055,37.30765533,0.062546588,10.49135399,16.12032318,0.995493612,1.57e-8,2,5.54e-8,9.85e-6,0.027587957,2.92e-7,2546027976,11.69000053,494.4000244,1.480000019,53.30000114,40.20000076,3.099999905,Forb/herb,native,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
COCO14,Consolea corallicola,61.44984055,37.30765533,0.062546588,10.49135399,16.12032318,0.995493612,1.57e-8,2,5.54e-8,9.85e-6,0.027587957,2.92e-7,2546027976,11.69000053,494.4000244,1.480000019,53.30000114,40.20000076,3.099999905,Shrub,native,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
CUGL,Cupania glabra,61.44984055,37.30765533,0.062546588,10.49135399,16.12032318,0.995493612,1.57e-8,2,5.54e-8,9.85e-6,0.027587957,2.92e-7,2546027976,11.69000053,494.4000244,1.480000019,53.30000114,40.20000076,3.099999905,Tree,native,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
ERPR7,Eragrostis prolifera,61.44984055,37.30765533,0.062546588,10.49135399,16.12032318,0.995493612,1.57e-8,2,5.54e-8,9.85e-6,0.027587957,2.92e-7,2546027976,11.69000053,494.4000244,1.480000019,53.30000114,40.20000076,3.099999905,Graminoid,established,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
INOX,Indigofera oxycarpa,61.44984055,37.30765533,0.062546588,10.49135399,16.12032318,0.995493612,1.57e-8,2,5.54e-8,9.85e-6,0.027587957,2.92e-7,2546027976,11.69000053,494.4000244,1.480000019,53.30000114,40.20000076,3.099999905,Forb/herb,native,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
PHRU,Phoradendron rubrum,61.44984055,37.30765533,0.062546588,10.49135399,16.12032318,0.995493612,1.57e-8,2,5.54e-8,9.85e-6,0.027587957,2.92e-7,2546027976,11.69000053,494.4000244,1.480000019,53.30000114,40.20000076,3.099999905,Shrub,native,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
PIBA5,Pithecellobium bahamense,61.44984055,37.30765533,0.062546588,10.49135399,16.12032318,0.995493612,1.57e-8,2,5.54e-8,9.85e-6,0.027587957,2.92e-7,2546027976,11.69000053,494.4000244,1.480000019,53.30000114,40.20000076,3.099999905,Shrub,native,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
PIFL6,Pisonia floridana,61.44984055,37.30765533,0.062546588,10.49135399,16.12032318,0.995493612,1.57e-8,2,5.54e-8,9.85e-6,0.027587957,2.92e-7,2546027976,11.69000053,494.4000244,1.480000019,53.30000114,40.20000076,3.099999905,Shrub,native,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
PIPO4,Pilosocereus polygonus,61.44984055,37.30765533,0.062546588,10.49135399,16.12032318,0.995493612,1.57e-8,2,5.54e-8,9.85e-6,0.027587957,2.92e-7,2546027976,11.69000053,494.4000244,1.480000019,53.30000114,40.20000076,3.099999905,Tree,native,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
PIRO3,Pisonia rotundata,61.44984055,37.30765533,0.062546588,10.49135399,16.12032318,0.995493612,1.57e-8,2,5.54e-8,9.85e-6,0.027587957,2.92e-7,2546027976,11.69000053,494.4000244,1.480000019,53.30000114,40.20000076,3.099999905,Shrub,native,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
POMI22,Portulaca minuta,61.44984055,37.30765533,0.062546588,10.49135399,16.12032318,0.995493612,1.57e-8,2,5.54e-8,9.85e-6,0.027587957,2.92e-7,2546027976,11.69000053,494.4000244,1.480000019,53.30000114,40.20000076,3.099999905,Forb/herb,native,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
SABA6,Savia bahamensis,61.44984055,37.30765533,0.062546588,10.49135399,16.12032318,0.995493612,1.57e-8,2,5.54e-8,9.85e-6,0.027587957,2.92e-7,2546027976,11.69000053,494.4000244,1.480000019,53.30000114,40.20000076,3.099999905,Shrub,native,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
VAAN3,Vallesia antillana,61.44984055,37.30765533,0.062546588,10.49135399,16.12032318,0.995493612,1.57e-8,2,5.54e-8,9.85e-6,0.027587957,2.92e-7,2546027976,11.69000053,494.4000244,1.480000019,53.30000114,40.20000076,3.099999905,Shrub,native,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
CORA7,Coryphantha ramillosa,103.3342896,577.848877,0.032647952,2.464673758,4.913155556,0.081242159,9.04e-10,2,9.49e-10,1.36e-5,0.003064897,9.05e-8,22123105280,24.72999954,287.5700073,1.019999504,35.89999962,36.4000001,33.9000001,Shrub,native,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
DABA2,Dalea bartonii,103.3342896,577.848877,0.032647952,2.464673758,4.913155556,0.081242159,9.04e-10,2,9.49e-10,1.36e-5,0.003064897,9.05e-8,22123105280,24.72999954,287.5700073,1.019999504,35.89999962,36.4000001,33.9000001,Forb/herb,native,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
PHER2,Phyllanthus ericoides,103.3342896,577.848877,0.032647952,2.464673758,4.913155556,0.081242159,9.04e-10,2,9.49e-10,1.36e-5,0.003064897,9.05e-8,22123105280,24.72999954,287.5700073,1.019999504,35.89999962,36.4000001,33.9000001,Subshrub,native,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
POMA17,Polygala maravillasensis,103.3342896,577.848877,0.032647952,2.464673758,4.913155556,0.081242159,9.04e-10,2,9.49e-10,1.36e-5,0.003064897,9.05e-8,22123105280,24.72999954,287.5700073,1.019999504,35.89999962,36.4000001,33.9000001,Subshrub,native,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
RORA2,Rorippa ramosa,103.3342896,577.848877,0.032647952,2.464673758,4.913155556,0.081242159,9.04e-10,2,9.49e-10,1.36e-5,0.003064897,9.05e-8,22123105280,24.72999954,287.5700073,1.019999504,35.89999962,36.4000001,33.9000001,Forb/herb,native,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
ACIN2,Aconitum infectum,51.92394638,596.9067993,0.039196834,3.574056864,7.870781422,0.044668857,4.98e-10,3,0,1.37e-5,0.007903074,3.69e-8,48222143094,32.24999952,953.6300049,6.910000205,68.39999676,36.30000019,45.00000072,Forb/herb,native,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
AGPH,Agave phillipsiana,51.92394638,596.9067993,0.039196834,3.574056864,7.870781422,0.044668857,4.98e-10,3,0,1.37e-5,0.007903074,3.69e-8,48222143094,32.24999952,953.6300049,6.910000205,68.39999676,36.30000019,45.00000072,Forb/herb,native,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
ASBE2,Astragalus beathii,51.92394638,596.9067993,0.039196834,3.574056864,7.870781422,0.044668857,4.98e-10,3,0,1.37e-5,0.007903074,3.69e-8,48222143094,32.24999952,953.6300049,6.910000205,68.39999676,36.30000019,45.00000072,Forb/herb,native,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
ASCR3,Astragalus cremnophylax,51.92394638,596.9067993,0.039196834,3.574056864,7.870781422,0.044668857,4.98e-10,3,0,1.37e-5,0.007903074,3.69e-8,48222143094,32.24999952,953.6300049,6.910000205,68.39999676,36.30000019,45.00000072,Forb/herb,native,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
