accepted_name,acc_name_rank,acc_name_source,acc_name_url,GPI_name,invdefdesc,usdaacceptedsymbol
Acacia implexa,species,COL,https://www.catalogueoflife.org/data/taxon/64BZY,acacia implexa,Invasive explicitly defined,ACIM5
Acacia iteaphylla,species,COL,https://www.catalogueoflife.org/data/taxon/8PFH,acacia iteaphylla,Invasive undefined,ACIT2
Acacia longifolia,species,COL,https://www.catalogueoflife.org/data/taxon/8PKQ,acacia longifolia,Invasive explicitly defined,ACLO
Acacia longifolia,species,COL,https://www.catalogueoflife.org/data/taxon/8PKQ,acacia longifolia (andrews) willd. fabaceae,Invasive explicitly defined,ACLO
Acacia longifolia,species,COL,https://www.catalogueoflife.org/data/taxon/8PKQ,racosperma longifolia,Invasive explicitly defined,ACLO
Acacia mangium,species,COL,https://www.catalogueoflife.org/data/taxon/8PM7,acacia mangium,Invasive explicitly defined,ACMA12
Acacia mearnsii,species,COL,https://www.catalogueoflife.org/data/taxon/8PMQ,acacia mearnsii,Invasive explicitly defined,ACME80
Acacia mearnsii,species,COL,https://www.catalogueoflife.org/data/taxon/8PMQ,acacia mearnsii de willd.,Invasive explicitly defined,ACME80
Acacia mearnsii,species,COL,https://www.catalogueoflife.org/data/taxon/8PMQ,acacia mearnsii de wild.,Invasive explicitly defined,ACME80
Acacia melanoxylon,species,COL,https://www.catalogueoflife.org/data/taxon/8PN2,acacia melanoxylon,Invasive explicitly defined,ACME
Acacia paradoxa,species,COL,https://www.catalogueoflife.org/data/taxon/8PSR,acacia paradoxa,Invasive explicitly defined,ACPA8
Acacia paradoxa,species,COL,https://www.catalogueoflife.org/data/taxon/8PSR,racosperma paradoxa,Invasive explicitly defined,ACPA8
Acacia podalyriifolia,species,COL,https://www.catalogueoflife.org/data/taxon/64C29,acacia podalyriifolia,Invasive explicitly defined,ACPO2
Acacia provincialis,species,COL,https://www.catalogueoflife.org/data/taxon/64C3G,acacia provincialis,Invasive explicitly defined,NA
Acacia pycnantha,species,COL,https://www.catalogueoflife.org/data/taxon/8PWT,acacia pycnantha,Invasive explicitly defined,ACPY3
Acacia pycnantha,species,COL,https://www.catalogueoflife.org/data/taxon/8PWT,acacia pycantha,Invasive explicitly defined,ACPY3
Acacia pycnantha,species,COL,https://www.catalogueoflife.org/data/taxon/8PWT,acacia pycnanth,Invasive explicitly defined,ACPY3
Acacia retinodes,species,COL,https://www.catalogueoflife.org/data/taxon/8PXT,acacia retinodes,Invasive explicitly defined,ACRE2
Acacia salicina,species,COL,https://www.catalogueoflife.org/data/taxon/8PZD,acacia salicina,Invasive explicitly defined,ACSA10
Acacia salicina,species,COL,https://www.catalogueoflife.org/data/taxon/8PZD,acacia saliicina,Invasive explicitly defined,ACSA10
Acacia saligna,species,COL,https://www.catalogueoflife.org/data/taxon/64BRL,acacia salignia,Invasive explicitly defined,ACSA
Acacia saligna,species,COL,https://www.catalogueoflife.org/data/taxon/64BRL,acacia cyanophylla,Invasive explicitly defined,ACSA
Acacia saligna,species,COL,https://www.catalogueoflife.org/data/taxon/64BRL,acacia saligna,Invasive explicitly defined,ACSA
Acacia saligna,species,COL,https://www.catalogueoflife.org/data/taxon/64BRL,acacia saligna (labill.) h.l. wendl.,Invasive explicitly defined,ACSA
Acacia stricta,species,COL,https://www.catalogueoflife.org/data/taxon/8Q4K,acacia stricta,Invasive explicitly defined,ACST6
Acacia verticillata,species,COL,https://www.catalogueoflife.org/data/taxon/8Q8Z,acacia verticillata,Invasive explicitly defined,ACVE2
Acacia victoriae,species,COL,https://www.catalogueoflife.org/data/taxon/8Q94,acacia victoriae,Invasive undefined,ACVI7
Acaciella angustissima,species,COL,https://www.catalogueoflife.org/data/taxon/8QBJextinct=false&facet=rank&facet=issue&facet=status&facet=nomStatus&facet=nameType&facet=field&fuzzy=true&limit=50&offset=0&q=Acacia%20angustissima&reverse=false&sortBy=taxonomic&type=EXACT,acacia angustissima,Invasive explicitly defined,ACAN11
Acaciella glauca,species,COL,https://www.catalogueoflife.org/data/taxon/8QBNextinct=false&facet=rank&facet=issue&facet=status&facet=nomStatus&facet=nameType&facet=field&fuzzy=true&limit=50&offset=0&q=Acacia%20glauca&reverse=false&sortBy=taxonomic&type=EXACT,acacia glauca,Invasive undefined,ACGL7
Acalypha australis,species,COL,https://www.catalogueoflife.org/data/taxon/8RQG,acalypha australis,Invasive explicitly defined,ACAU6
Acalypha virginica,species,COL,https://www.catalogueoflife.org/data/taxon/8SHX,acalypha virginica,Invasive explicitly defined,ACVI
Acanthocereus tetragonus,species,COL,https://www.catalogueoflife.org/data/taxon/64CN9,acanthocereus tetragonus,Invasive undefined,ACTE4
Acanthocereus tetragonus,species,COL,https://www.catalogueoflife.org/data/taxon/64CN9,acanthocereus pentagonus,Invasive undefined,ACTE4
Acanthospermum australe,species,COL,https://www.catalogueoflife.org/data/taxon/922L,acanthospermum australe,Invasive explicitly defined,ACAU2
Acanthospermum hispidum,species,COL,https://www.catalogueoflife.org/data/taxon/922T,acanthospermum hispidum,Invasive explicitly defined,ACHI
Acanthus mollis,species,COL,https://www.catalogueoflife.org/data/taxon/92T9,acanthus mollis,Invasive explicitly defined,ACMO8
Acer campestre,species,COL,https://www.catalogueoflife.org/data/taxon/946Z,acer campestre,Invasive undefined,ACCA5
Acer negundo,species,COL,https://www.catalogueoflife.org/data/taxon/94F5,acer negundo,Invasive explicitly defined,ACNE2
Acer negundo,species,COL,https://www.catalogueoflife.org/data/taxon/94F5,acer negundo l. aceraceae,Invasive explicitly defined,ACNE2
Acer negundo,species,COL,https://www.catalogueoflife.org/data/taxon/94F5,acer negundo l.,Invasive explicitly defined,ACNE2
Acer negundo ssp.  negundo,subspecies,COL,https://www.catalogueoflife.org/data/taxon/5FCZJ,negundo aceroides,Invasive explicitly defined,NA
Acer oblongum,species,COL,https://www.catalogueoflife.org/data/taxon/94FH,acer oblongum,Invasive explicitly defined,NA
Acer palmatum,species,COL,https://www.catalogueoflife.org/data/taxon/94G9,acer palmatum,Invasive implicitly defined,ACPA2
Acer platanoides,species,COL,https://www.catalogueoflife.org/data/taxon/94H3,acer platanoides,Invasive explicitly defined,ACPL
Acer platanoides,species,COL,https://www.catalogueoflife.org/data/taxon/94H3,acer platanoides l.,Invasive explicitly defined,ACPL
Acer pseudoplatanus,species,COL,https://www.catalogueoflife.org/data/taxon/94HF,acer pseudoplatanus,Invasive explicitly defined,ACPS
Acer rubrum,species,COL,https://www.catalogueoflife.org/data/taxon/94JD,acer rubrum,Invasive explicitly defined,ACRU
Acer tataricum ssp.  ginnala,subspecies,COL,https://www.catalogueoflife.org/data/search?extinct=false&facet=rank&facet=issue&facet=status&facet=nomStatus&facet=nameType&facet=field&fuzzy=true&limit=50&offset=0&q=Acer%20ginnala&sortBy=taxonomic,acer ginnala,Invasive explicitly defined,NA
Achillea millefolium,species,COL,https://www.catalogueoflife.org/data/taxon/97H4,achillea millefolium,Invasive explicitly defined,ACMI2
Achillea nobilis,species,COL,https://www.catalogueoflife.org/data/taxon/64H53,achillea nobilis,Invasive implicitly defined,ACNO
Achyranthes aspera,species,COL,https://www.catalogueoflife.org/data/taxon/9967,achyranthes aspera,Invasive explicitly defined,ACAS
Achyranthes bidentata,species,COL,https://www.catalogueoflife.org/data/taxon/996J,achyranthes bidentata blume,Invasive explicitly defined,ACBI9
Achyranthes japonica,species,COL,https://www.catalogueoflife.org/data/taxon/998Q,achyranthes japonica,Invasive implicitly defined,ACJA
Acmella uliginosa,species,COL,https://www.catalogueoflife.org/data/taxon/9FC6,acmella uliginosa,Invasive explicitly defined,ACUL
Aconitum laeve,species,COL,https://www.catalogueoflife.org/data/taxon/9GF2,aconitum laeve,Invasive undefined,NA
Acorus calamus,species,COL,https://www.catalogueoflife.org/data/taxon/64MF2,acorus calamus,Invasive explicitly defined,ACAM
Acorus calamus,species,COL,https://www.catalogueoflife.org/data/taxon/64MF2,acorus calamus l.,Invasive explicitly defined,ACAM
Acrostichum aureum,species,COL,https://www.catalogueoflife.org/data/taxon/9PYN,acrostichum aureum,Invasive explicitly defined,ACAU3
Actinidia arguta,species,COL,https://www.catalogueoflife.org/data/taxon/64Q3B,actinidia arguta,Invasive undefined,ACAR10
Actinolema macrolema,species,COL,https://www.catalogueoflife.org/data/taxon/64PTX,actinolema macrolema,Invasive undefined,NA
Adenanthera pavonina,species,COL,https://www.catalogueoflife.org/data/taxon/9YYL,adenanthera pavonina,Invasive explicitly defined,ADPA
Adiantum raddianum,species,COL,https://www.catalogueoflife.org/data/taxon/653M9,adiantum raddianum,Invasive explicitly defined,ADRA
Aegilops caudata,species,COL,https://www.catalogueoflife.org/data/taxon/659DG,aegilops caudata,Invasive implicitly defined,NA
Aegilops cylindrica,species,COL,https://www.catalogueoflife.org/data/taxon/64XCK,aegilops cylindrica,Invasive explicitly defined,AECY
Aegilops tauschii,species,COL,https://www.catalogueoflife.org/data/taxon/659DY,aegilops tauschii,Invasive implicitly defined,AECY
Aegilops triuncialis,species,COL,https://www.catalogueoflife.org/data/taxon/659FB,aegilops triuncialis,Invasive explicitly defined,AETR
Aegilops umbellulata,species,COL,https://www.catalogueoflife.org/data/taxon/659FG,aegilops umbellulata,Invasive undefined,AEUM
Aegopodium podagraria,species,COL,https://www.catalogueoflife.org/data/taxon/6594Z,aegopodium podagraria,Invasive explicitly defined,AEPO
Aeonium arboreum,species,COL,https://www.catalogueoflife.org/data/taxon/64XR5,aeonium arboreum,Invasive undefined,AEAR4
Aeonium haworthii,species,COL,https://www.catalogueoflife.org/data/taxon/64Y27,aeonium haworthii,Invasive undefined,AEHA2
Aerva javanica,species,COL,https://www.catalogueoflife.org/data/taxon/64ZNX,aerva javanica,Invasive explicitly defined,AEJA
Aeschynomene americana,species,COL,https://www.catalogueoflife.org/data/taxon/65BTK,aeschynomene americana,Invasive explicitly defined,AEAM
Aeschynomene indica,species,COL,https://www.catalogueoflife.org/data/taxon/65BW2,aeschynomene indica,Invasive explicitly defined,AEIN
Aethionema carneum,species,COL,https://www.catalogueoflife.org/data/taxon/65D2V,aethionema carneum,Invasive implicitly defined,NA
Agapanthus praecox,species,COL,https://www.catalogueoflife.org/data/taxon/65KRL,agapanthus praecox,Invasive undefined,AGPR5
Agapanthus praecox ssp. orientalis,subspecies,TNRS,http://plants.usda.gov/java/profile?symbol=AGPRO,agapanthus orientalis,Invasive undefined,AGPRO
Agapanthus praecox ssp. orientalis,subspecies,TNRS,http://plants.usda.gov/java/profile?symbol=AGPRO,agapanthus praecox willd. ssp. orientalis,Invasive undefined,AGPRO
Agave americana,species,COL,https://www.catalogueoflife.org/data/taxon/662XT,agave americana,Invasive explicitly defined,AGAM
Agave americana,species,COL,https://www.catalogueoflife.org/data/taxon/662XT,agave americana l.,Invasive explicitly defined,AGAM
Agave americana var. picta,variety,TNRS,http://www.tropicos.org/Name/1201929,agave ingens,Invasive explicitly defined,NA
Agave angustifolia,species,COL,https://www.catalogueoflife.org/data/taxon/5TQXR,agave angustifolia,Invasive explicitly defined,AGAN4
Agave fourcroydes,species,COL,https://www.catalogueoflife.org/data/taxon/662JG,agave fourcroydes,Invasive explicitly defined,AGFO2
Agave salmiana,species,COL,https://www.catalogueoflife.org/data/taxon/65QMY,agave salmiana,Invasive explicitly defined,NA
Agave sisalana,species,COL,https://www.catalogueoflife.org/data/taxon/65QMF,agave sisalana,Invasive explicitly defined,AGSI2
Agave sisalana,species,COL,https://www.catalogueoflife.org/data/taxon/65QMF,agave sisaliana,Invasive explicitly defined,AGSI2
Agdestis clematidea,species,COL,https://www.catalogueoflife.org/data/taxon/65QP2,agdestis clematidea,Invasive explicitly defined,AGCL3
Ageratina adenophora,species,COL,https://www.catalogueoflife.org/data/taxon/65RW9,ageratina adenophora,Invasive explicitly defined,AGAD2
Ageratina adenophora,species,COL,https://www.catalogueoflife.org/data/taxon/65RW9,eupatorium adenophorum,Invasive explicitly defined,AGAD2
Ageratina adenophora,species,COL,https://www.catalogueoflife.org/data/taxon/65RW9,eupatorium adenophorum spreng (compositae),Invasive explicitly defined,AGAD2
Ageratina adenophora,species,COL,https://www.catalogueoflife.org/data/taxon/65RW9,ageratina adenophorum,Invasive explicitly defined,AGAD2
Ageratina adenophora,species,COL,https://www.catalogueoflife.org/data/taxon/65RW9,ageratina adenophora (spreng.) r.m. king & h. rob.,Invasive explicitly defined,AGAD2
Ageratina adenophora,species,COL,https://www.catalogueoflife.org/data/taxon/65RW9,eupatorium adenophora,Invasive explicitly defined,AGAD2
Ageratina altissima,species,COL,https://www.catalogueoflife.org/data/taxon/5TRWB,eupatorium rugosum,Invasive explicitly defined,AGAL5
Ageratina altissima,species,COL,https://www.catalogueoflife.org/data/taxon/5TRWB,ageratina altissima (l.) r.m.king & h.rob.,Invasive explicitly defined,AGAL5
Ageratina liebmannii,species,COL,https://www.catalogueoflife.org/data/taxon/6648F,ageratina liebmannii,Invasive implicitly defined,NA
Ageratina riparia,species,COL,https://www.catalogueoflife.org/data/taxon/5TS9X,ageratina riparia,Invasive explicitly defined,AGRI2
Ageratina riparia,species,COL,https://www.catalogueoflife.org/data/taxon/5TS9X,eupatorium riparium,Invasive explicitly defined,AGRI2
Ageratum conyzoides,species,COL,https://www.catalogueoflife.org/data/taxon/663XR,ageratum conyzoides,Invasive explicitly defined,AGCO
Ageratum houstonianum,species,COL,https://www.catalogueoflife.org/data/taxon/65RYZ,ageratum houstonianum,Invasive explicitly defined,AGHO3
Ageratum houstonianum,species,COL,https://www.catalogueoflife.org/data/taxon/65RYZ,ageratum houstonianium,Invasive explicitly defined,AGHO3
Agrimonia pilosa,species,COL,https://www.catalogueoflife.org/data/taxon/B7HJ,agrimonia pilosa,Invasive implicitly defined,NA
Agropyron cristatum,species,COL,https://www.catalogueoflife.org/data/taxon/5TTSM,agropyron cristatum,Invasive explicitly defined,AGCR
Agropyron cristatum,species,COL,https://www.catalogueoflife.org/data/taxon/5TTSM,agropyron cristatum subsp. pectinatum,Invasive explicitly defined,AGCR
Agropyron cristatum,species,COL,https://www.catalogueoflife.org/data/taxon/5TTSM,agropyron cristatum subsp. pectinatum var. pectinatum,Invasive explicitly defined,AGCR
Agropyron cristatum,species,COL,https://www.catalogueoflife.org/data/taxon/5TTSM,agropyron cristatum sensu amplo,Invasive explicitly defined,AGCR
Agrostemma githago,species,COL,https://www.catalogueoflife.org/data/taxon/B99P,agrostemma githagoa,Invasive explicitly defined,AGGI
Agrostemma githago,species,COL,https://www.catalogueoflife.org/data/taxon/B99P,agrostemma githago,Invasive explicitly defined,AGGI
Agrostis capillaris,species,COL,https://www.catalogueoflife.org/data/taxon/B9G6,agrostis capillaris,Invasive explicitly defined,AGCA5
Agrostis castellana,species,COL,https://www.catalogueoflife.org/data/taxon/B9G9,agrostis castellana,Invasive explicitly defined,AGCA11
Agrostis gigantea,species,COL,https://www.catalogueoflife.org/data/taxon/B9NV,agrostis gigantea,Invasive explicitly defined,AGGI2
Agrostis stolonifera,species,COL,https://www.catalogueoflife.org/data/taxon/665HP,agrostis stolonifera,Invasive explicitly defined,AGST2
Agrostis stolonifera,species,COL,https://www.catalogueoflife.org/data/taxon/665HP,agrostis stolonifera l,Invasive explicitly defined,AGST2
Ailanthus altissima,species,COL,https://www.catalogueoflife.org/data/taxon/BCBF,ailanthus altissima,Invasive explicitly defined,AIAL
Ailanthus altissima,species,COL,https://www.catalogueoflife.org/data/taxon/BCBF,ailanthus altissima (mill.) swingle,Invasive explicitly defined,AIAL
Ailanthus altissima,species,COL,https://www.catalogueoflife.org/data/taxon/BCBF,alianthus altissima,Invasive explicitly defined,AIAL
Ailanthus altissima,species,COL,https://www.catalogueoflife.org/data/taxon/BCBF,ailanthus aitissima,Invasive explicitly defined,AIAL
Ailanthus altissima,species,COL,https://www.catalogueoflife.org/data/taxon/BCBF,ailanthus altissima mill.,Invasive explicitly defined,AIAL
Aira caryophyllea,species,COL,https://www.catalogueoflife.org/data/taxon/BCWZ,aira caryophyllea,Invasive explicitly defined,AICA
Aizoon pubescens,species,COL,https://www.catalogueoflife.org/data/taxon/BDG7,galenia pubescens,Invasive explicitly defined,NA
Akebia quinata,species,COL,https://www.catalogueoflife.org/data/taxon/BDYW,akebia quinata,Invasive explicitly defined,AKQU
Akebia quinata,species,COL,https://www.catalogueoflife.org/data/taxon/BDYW,akebia quinata (houtt.) decne,Invasive explicitly defined,AKQU
Albizia chinensis,species,COL,https://www.catalogueoflife.org/data/taxon/BG54,albizia chinensis,Invasive explicitly defined,ALCH2
Albizia julibrissin,species,COL,https://www.catalogueoflife.org/data/taxon/BG7G,albizia julibrissin,Invasive explicitly defined,ALJU
Albizia lebbeck,species,COL,https://www.catalogueoflife.org/data/taxon/BG7V,albizia lebbeck,Invasive explicitly defined,ALLE
Albizia procera,species,COL,https://www.catalogueoflife.org/data/taxon/5TW63,albizia procera,Invasive explicitly defined,ALPR
Albizia saman,species,COL,https://www.catalogueoflife.org/data/taxon/BGB6,samanea saman,Invasive explicitly defined,SASA10
Albizia saman,species,COL,https://www.catalogueoflife.org/data/taxon/BGB6,albizia saman,Invasive explicitly defined,SASA10
Alcea rosea,species,COL,https://www.catalogueoflife.org/data/taxon/BH8Y,alcea rosea,Invasive explicitly defined,ALRO3
Alcea rosea,species,COL,https://www.catalogueoflife.org/data/taxon/BH8Y,alceae rosea,Invasive explicitly defined,ALRO3
Aleurites moluccanus,species,COL,https://www.catalogueoflife.org/data/taxon/BPW8,aleurites moluccana,Invasive explicitly defined,ALMO
Aleurites moluccanus,species,COL,https://www.catalogueoflife.org/data/taxon/BPW8,aleurites moluccanus,Invasive explicitly defined,ALMO
Alhagi maurorum,species,COL,https://www.catalogueoflife.org/data/taxon/BRW5,alhagi pseudalhagi,Invasive implicitly defined,ALMA12
Alisma plantago-aquatica,species,COL,https://www.catalogueoflife.org/data/taxon/BSH4,alisma plantago-aquatica,Invasive explicitly defined,ALPL
Allamanda cathartica,species,COL,https://www.catalogueoflife.org/data/taxon/BSZX,allamanda cathartica,Invasive explicitly defined,ALCA7
Alliaria petiolata,species,COL,https://www.catalogueoflife.org/data/taxon/BTPF,alliaria petiolata,Invasive explicitly defined,ALPE4
Alliaria petiolata,species,COL,https://www.catalogueoflife.org/data/taxon/BTPF,alliaria petiolata m. bieb. cavara and grande,Invasive explicitly defined,ALPE4
Alliaria petiolata,species,COL,https://www.catalogueoflife.org/data/taxon/BTPF,alliaria petiolata (m. bieb.) cavara & grande,Invasive explicitly defined,ALPE4
Alliaria petiolata,species,COL,https://www.catalogueoflife.org/data/taxon/BTPF,alliaria petiolata (bieb.) cavara & grande,Invasive explicitly defined,ALPE4
Alliaria petiolata,species,COL,https://www.catalogueoflife.org/data/taxon/BTPF,alliara petiolata,Invasive explicitly defined,ALPE4
Allium paradoxum,species,COL,https://www.catalogueoflife.org/data/taxon/65X7P,allium paradoxum,Invasive undefined,NA
Allium sativum,species,COL,https://www.catalogueoflife.org/data/taxon/6697C,allium sativum,Invasive explicitly defined,ALSA2
Allium triquetrum,species,COL,https://www.catalogueoflife.org/data/taxon/5TWX9,allium triquetrum,Invasive explicitly defined,ALTR4
Allium triquetrum,species,COL,https://www.catalogueoflife.org/data/taxon/5TWX9,allium triquetum,Invasive explicitly defined,ALTR4
Allium vineale,species,COL,https://www.catalogueoflife.org/data/taxon/668WJ,allium vineale,Invasive explicitly defined,ALVI
Allocasuarina littoralis,species,COL,https://www.catalogueoflife.org/data/taxon/BVC9,allocasuarina littoralis,Invasive undefined,ALLI5
Alnus formosana,species,COL,https://www.catalogueoflife.org/data/taxon/C2PW,alnus formosana,Invasive explicitly defined,NA
Alnus glutinosa,species,COL,https://www.catalogueoflife.org/data/taxon/C2Q2,alnus glutinosa,Invasive explicitly defined,ALGL2
Alnus glutinosa,species,COL,https://www.catalogueoflife.org/data/taxon/C2Q2,alnus glutinosa (l.) gaertn.,Invasive explicitly defined,ALGL2
Alnus incana,species,COL,https://www.catalogueoflife.org/data/taxon/5TWTV,alnus incana,Invasive undefined,ALIN2
Alnus incana ssp.  rugosa,subspecies,COL,https://www.catalogueoflife.org/data/search?extinct=false&facet=rank&facet=issue&facet=status&facet=nomStatus&facet=nameType&facet=field&fuzzy=true&limit=50&offset=0&q=Alnus%20incana%20subsp.%20rugosa&sortBy=taxonomic&type=EXACT,alnus incana ssp. rugosa,Invasive explicitly defined,NA
Alnus rubra,species,COL,https://www.catalogueoflife.org/data/taxon/C2SR,alnus rubra,Invasive undefined,ALRU2
Alnus trabeculosa,species,COL,https://www.catalogueoflife.org/data/taxon/C2TJ,alnus trabeculosa,Invasive undefined,ALTR12
Alocasia macrorrhizos,species,COL,https://www.catalogueoflife.org/data/taxon/C2X8,alocasia macrorrhizos,Invasive explicitly defined,ALMA11
Alocasia macrorrhizos,species,COL,https://www.catalogueoflife.org/data/taxon/C2X8,alocasia plumbea,Invasive explicitly defined,ALMA11
Aloe arborescens,species,COL,https://www.catalogueoflife.org/data/taxon/C3DN,aloe arborescens,Invasive explicitly defined,ALAR8
Aloe maculata,species,COL,https://www.catalogueoflife.org/data/taxon/C3TJ,aloe maculata,Invasive explicitly defined,NA
Aloe vera,species,COL,https://www.catalogueoflife.org/data/taxon/C46V,aloe vera,Invasive explicitly defined,ALVE2
Alopecurus arundinaceus,species,COL,https://www.catalogueoflife.org/data/taxon/C52K,alopecurus arundinaceus,Invasive implicitly defined,ALAR
Alopecurus geniculatus,species,COL,https://www.catalogueoflife.org/data/taxon/C54D,alopecurus geniculatus,Invasive explicitly defined,ALGE2
Alopecurus myosuroides,species,COL,https://www.catalogueoflife.org/data/taxon/C55V,alopecurus myosuroides,Invasive explicitly defined,ALMY
Alopecurus pratensis,species,COL,https://www.catalogueoflife.org/data/taxon/C56N,alopecurus pratensis,Invasive implicitly defined,ALPR3
Alpinia nigra,species,COL,https://www.catalogueoflife.org/data/taxon/65YDH,alpinia allughas,Invasive undefined,NA
Alpinia purpurata,species,COL,https://www.catalogueoflife.org/data/taxon/C6W9,alpinia purpurata,Invasive explicitly defined,ALPU4
Alpinia zerumbet,species,COL,https://www.catalogueoflife.org/data/taxon/C6ZV,alpinia zerumbet,Invasive explicitly defined,ALZE
Alstonia macrophylla,species,COL,https://www.catalogueoflife.org/data/taxon/5TY8K,alstonia macrophylla,Invasive explicitly defined,ALMA16
Alternanthera brasiliana,species,COL,https://www.catalogueoflife.org/data/taxon/65XXH,alternanthera brasiliana,Invasive explicitly defined,ALBR5
Alternanthera caracasana,species,COL,https://www.catalogueoflife.org/data/taxon/669XM,alternanthera caracasana,Invasive undefined,ALCA5
Alternanthera ficoidea,species,COL,https://www.catalogueoflife.org/data/taxon/C9FH,alternanthera tenella,Invasive explicitly defined,ALFI8
Alternanthera filifolia ssp.  microcephala,subspecies,COL,https://www.catalogueoflife.org/data/search?extinct=false&facet=rank&facet=issue&facet=status&facet=nomStatus&facet=nameType&facet=field&fuzzy=true&limit=50&offset=0&q=Alternanthera%20microcephala&sortBy=taxonomic,alternanthera microcephala,Invasive explicitly defined,NA
Alternanthera halimifolia,species,COL,https://www.catalogueoflife.org/data/taxon/C9G5,alternanthera halimifolia,Invasive explicitly defined,NA
Alternanthera paronychioides,species,COL,https://www.catalogueoflife.org/data/taxon/C9J9,alternanthera paronychioides,Invasive explicitly defined,ALPA17
Alternanthera philoxeroides,species,COL,https://www.catalogueoflife.org/data/taxon/C9JF,alternanthera philoxeroides (mart.) griseb.,Invasive explicitly defined,ALPH
Alternanthera philoxeroides,species,COL,https://www.catalogueoflife.org/data/taxon/C9JF,alternanthera philoxeroides,Invasive explicitly defined,ALPH
