paperid,GPI_name,inv_ctry,explicit_invdef,explicit_invdefdesc,implicit_invdef,implicit_invdefdesc,locdata,locdata_type,finding
ABEL2012A,bromus rubens,United States of America,Y,bromus rubens l. in the mojave desert is considered a priority invasive species. the species threatens native mojave desert ecosystems by competing with native plants and increasing the amount and spatial continuity of fine fuels below and between native perennial plants.,NA,NA,Y,MAP,"bromus rubens occupied 55 of the 126 plots (44%) and was present on plots ranging in elevation from 356 m to the highest elevation sampled of 1,222 m. in point-biserial correlation, no independent variable exhibited an r . |0.38| with b. rubens presence/absence. the variables most strongly correlated (p < 0.001) with b. rubens were native perennial species richness (r = .38), mean october precipitation (r = .37), mean daily maximum february temperature (r = 0.34), and many of the other climatic variables, such as mean september through march precipitation (r = .33), elevation (r = .31), and soil p (r = .29). variables not significantly correlated (r , |0.16|; p > .05) with b. rubens included total n, c, and ph."
ABEL2012B,bromus rubens,United States of America,Y,"exotic grasses have increased fuel loads in the arid lands of the american west, facilitating fire spread in ecosystems that were historically fuel-limited before invasion",NA,NA,Y,COORDS,"this study provides experimental field evidence that native vegetation types exist that may reduce exotic grass establishment in the mojave desert, and that these candidates for restoration are not necessarily late-successional communities. more generally, results indicate the importance of careful native species selection when exotic species invasions must be constrained for restoration to be successful."
ABEL2012B,schismus arabicus,United States of America,Y,"exotic grasses have increased fuel loads in the arid lands of the american west, facilitating fire spread in ecosystems that were historically fuel-limited before invasion",NA,NA,Y,COORDS,"this study provides experimental field evidence that native vegetation types exist that may reduce exotic grass establishment in the mojave desert, and that these candidates for restoration are not necessarily late-successional communities. more generally, results indicate the importance of careful native species selection when exotic species invasions must be constrained for restoration to be successful."
ABEL2012B,schismus barbatus,United States of America,Y,"exotic grasses have increased fuel loads in the arid lands of the american west, facilitating fire spread in ecosystems that were historically fuel-limited before invasion",NA,NA,Y,COORDS,"this study provides experimental field evidence that native vegetation types exist that may reduce exotic grass establishment in the mojave desert, and that these candidates for restoration are not necessarily late-successional communities. more generally, results indicate the importance of careful native species selection when exotic species invasions must be constrained for restoration to be successful."
ABEL2012C,pennisetum ciliare,United States of America,Y,"plant invasions can alter soil properties, reduce native vegetation, altering habitat functions and decreasing propagules available for recolonization of sites by native vegetation. consequently, native soil seed banks can become depleted on sites invaded by exotic plants",NA,NA,Y,MAP,"results suggest that (1) soil nutrient status should not be unfavorable for native plant colonization at buffelgrass sites if buffelgrass is treated; (2) at least in the early stages of buffelgrass patch formation (studied patches were about 10 yr old), native vegetation species were not excluded, but rather, their cover was reduced; and (3) native soil seed banks were not reduced in buffelgrass patches."
ABEL2013A,pennisetum ciliare,United States of America,Y,"the species is highly invasive in these regions, competes with native plants, and increases fuel loads to create fire hazards in previously fuel-limited ecosystems considered poorly adapted to fire. compared to non-invaded sites, buffelgrass sites have exhibited lower native plant cover; reduced species richness in most cases; comparable native richness in rare cases; and extremely high fuel loads for arid lands that can exceed 2,400 kg/ha and represent a major fire hazard.",NA,NA,Y,MAP,"collectively, these previous studies combined with our results suggest several potential principles regarding efficacy of buffelgrass treatments: (1) buffelgrass can be reduced or even locally eradicated by various treatments (e.g., different herbicide protocols, manual pulling, strategic burning in certain ecosystems); (2) with the exception of certain cases where native species are susceptible to the same herbicide used to kill buffelgrass, native plants are not reduced by buffelgrass treatments, and in some instances, increase without subsequent management or with management such as fire depending on the ecosystem; (3) dominance by other exotic species simply replacing buffelgrass after treatment has not been reported to date, and daehler and goergen (2005) found that when other exotics surged following buffelgrass removal, they rapidly dissipated when supplemental irrigation was terminated; and (4) natives appear highly susceptible to competition from buffelgrass, but buffelgrass also appears susceptible to competition from established stands of natives in some ecosystems."
ABEL2013B,brassica tournefortii,United States of America,Y,"widespread exotic plant invasion of north american deserts has increased the amount and continuity of fuel, for example, and has correlated with a period of increasing fire extent in recent decades. north american deserts are renowned for native wildflower displays during favorable years, but unfortunately research has suggested that exotic annuals competitively reduce native annual plants.",NA,NA,N,NA,"results of physical treatments for reducing african mustard germination revealed that timing of treatment was important for all treatments, with some treatments most effective across a broader time window than other treatments. our results suggest that physical treatments should occur at or before the flowering stage, before seed production, to avoid maturation of the seed on plant material after treatment. our findings, combined with previous research, suggest that herbicide can be used effectively on african mustard in all stages of development (rosette, bolting, flowering, and early to mature fruiting) to prevent seed development and viability, and to reduce the future soil seed bank."
ABGR2019,acacia salignia,NA,N,NA,NA,NA,N,NA,"our findings support the conclusions of previous studies on the subject by demonstrating 1) that soil fauna abundance is impacted by biological invasions, 2) that initial habitat structure has a strong influence on the outcome and 3) that responses within the soil fauna differ between trophic levels with a stronger response of primary consumers."
ABGR2019,ageratina adenophora,NA,N,NA,NA,NA,N,NA,"our findings support the conclusions of previous studies on the subject by demonstrating 1) that soil fauna abundance is impacted by biological invasions, 2) that initial habitat structure has a strong influence on the outcome and 3) that responses within the soil fauna differ between trophic levels with a stronger response of primary consumers."
ABGR2019,agrostis stolonifera,NA,N,NA,NA,NA,N,NA,"our findings support the conclusions of previous studies on the subject by demonstrating 1) that soil fauna abundance is impacted by biological invasions, 2) that initial habitat structure has a strong influence on the outcome and 3) that responses within the soil fauna differ between trophic levels with a stronger response of primary consumers."
ABGR2019,ailanthus altissima,NA,N,NA,NA,NA,N,NA,"our findings support the conclusions of previous studies on the subject by demonstrating 1) that soil fauna abundance is impacted by biological invasions, 2) that initial habitat structure has a strong influence on the outcome and 3) that responses within the soil fauna differ between trophic levels with a stronger response of primary consumers."
ABGR2019,alternanthera philoxeroides,NA,N,NA,NA,NA,N,NA,"our findings support the conclusions of previous studies on the subject by demonstrating 1) that soil fauna abundance is impacted by biological invasions, 2) that initial habitat structure has a strong influence on the outcome and 3) that responses within the soil fauna differ between trophic levels with a stronger response of primary consumers."
ABGR2019,ambrosia trifida,NA,N,NA,NA,NA,N,NA,"our findings support the conclusions of previous studies on the subject by demonstrating 1) that soil fauna abundance is impacted by biological invasions, 2) that initial habitat structure has a strong influence on the outcome and 3) that responses within the soil fauna differ between trophic levels with a stronger response of primary consumers."
ABGR2019,arundo donax,NA,N,NA,NA,NA,N,NA,"our findings support the conclusions of previous studies on the subject by demonstrating 1) that soil fauna abundance is impacted by biological invasions, 2) that initial habitat structure has a strong influence on the outcome and 3) that responses within the soil fauna differ between trophic levels with a stronger response of primary consumers."
ABGR2019,asparagus scandens,NA,N,NA,NA,NA,N,NA,"our findings support the conclusions of previous studies on the subject by demonstrating 1) that soil fauna abundance is impacted by biological invasions, 2) that initial habitat structure has a strong influence on the outcome and 3) that responses within the soil fauna differ between trophic levels with a stronger response of primary consumers."
ABGR2019,bromus tectorum,NA,N,NA,NA,NA,N,NA,"our findings support the conclusions of previous studies on the subject by demonstrating 1) that soil fauna abundance is impacted by biological invasions, 2) that initial habitat structure has a strong influence on the outcome and 3) that responses within the soil fauna differ between trophic levels with a stronger response of primary consumers."
ABGR2019,buddleja davidii,NA,N,NA,NA,NA,N,NA,"our findings support the conclusions of previous studies on the subject by demonstrating 1) that soil fauna abundance is impacted by biological invasions, 2) that initial habitat structure has a strong influence on the outcome and 3) that responses within the soil fauna differ between trophic levels with a stronger response of primary consumers."
ABGR2019,campylopus introflexus,NA,N,NA,NA,NA,N,NA,"our findings support the conclusions of previous studies on the subject by demonstrating 1) that soil fauna abundance is impacted by biological invasions, 2) that initial habitat structure has a strong influence on the outcome and 3) that responses within the soil fauna differ between trophic levels with a stronger response of primary consumers."
ABGR2019,carpobrotus acinaciformis,NA,N,NA,NA,NA,N,NA,"our findings support the conclusions of previous studies on the subject by demonstrating 1) that soil fauna abundance is impacted by biological invasions, 2) that initial habitat structure has a strong influence on the outcome and 3) that responses within the soil fauna differ between trophic levels with a stronger response of primary consumers."
ABGR2019,chromolaena odorata,NA,N,NA,NA,NA,N,NA,"our findings support the conclusions of previous studies on the subject by demonstrating 1) that soil fauna abundance is impacted by biological invasions, 2) that initial habitat structure has a strong influence on the outcome and 3) that responses within the soil fauna differ between trophic levels with a stronger response of primary consumers."
ABGR2019,chrysanthemoides monilifera,NA,N,NA,NA,NA,N,NA,"our findings support the conclusions of previous studies on the subject by demonstrating 1) that soil fauna abundance is impacted by biological invasions, 2) that initial habitat structure has a strong influence on the outcome and 3) that responses within the soil fauna differ between trophic levels with a stronger response of primary consumers."
ABGR2019,eragrostis lehmanniana,NA,N,NA,NA,NA,N,NA,"our findings support the conclusions of previous studies on the subject by demonstrating 1) that soil fauna abundance is impacted by biological invasions, 2) that initial habitat structure has a strong influence on the outcome and 3) that responses within the soil fauna differ between trophic levels with a stronger response of primary consumers."
ABGR2019,fallopia japonica,NA,N,NA,NA,NA,N,NA,"our findings support the conclusions of previous studies on the subject by demonstrating 1) that soil fauna abundance is impacted by biological invasions, 2) that initial habitat structure has a strong influence on the outcome and 3) that responses within the soil fauna differ between trophic levels with a stronger response of primary consumers."
ABGR2019,fallopia sachalinensis,NA,N,NA,NA,NA,N,NA,"our findings support the conclusions of previous studies on the subject by demonstrating 1) that soil fauna abundance is impacted by biological invasions, 2) that initial habitat structure has a strong influence on the outcome and 3) that responses within the soil fauna differ between trophic levels with a stronger response of primary consumers."
ABGR2019,hedychium gardnerianum,NA,N,NA,NA,NA,N,NA,"our findings support the conclusions of previous studies on the subject by demonstrating 1) that soil fauna abundance is impacted by biological invasions, 2) that initial habitat structure has a strong influence on the outcome and 3) that responses within the soil fauna differ between trophic levels with a stronger response of primary consumers."
ABGR2019,heracleum sosnowskyi,NA,N,NA,NA,NA,N,NA,"our findings support the conclusions of previous studies on the subject by demonstrating 1) that soil fauna abundance is impacted by biological invasions, 2) that initial habitat structure has a strong influence on the outcome and 3) that responses within the soil fauna differ between trophic levels with a stronger response of primary consumers."
ABGR2019,impatiens glandulifera,NA,N,NA,NA,NA,N,NA,"our findings support the conclusions of previous studies on the subject by demonstrating 1) that soil fauna abundance is impacted by biological invasions, 2) that initial habitat structure has a strong influence on the outcome and 3) that responses within the soil fauna differ between trophic levels with a stronger response of primary consumers."
ABGR2019,ligustrum sinense,NA,N,NA,NA,NA,N,NA,"our findings support the conclusions of previous studies on the subject by demonstrating 1) that soil fauna abundance is impacted by biological invasions, 2) that initial habitat structure has a strong influence on the outcome and 3) that responses within the soil fauna differ between trophic levels with a stronger response of primary consumers."
ABGR2019,lonicera maackii,NA,N,NA,NA,NA,N,NA,"our findings support the conclusions of previous studies on the subject by demonstrating 1) that soil fauna abundance is impacted by biological invasions, 2) that initial habitat structure has a strong influence on the outcome and 3) that responses within the soil fauna differ between trophic levels with a stronger response of primary consumers."
ABGR2019,microstegium vimineum,NA,N,NA,NA,NA,N,NA,"our findings support the conclusions of previous studies on the subject by demonstrating 1) that soil fauna abundance is impacted by biological invasions, 2) that initial habitat structure has a strong influence on the outcome and 3) that responses within the soil fauna differ between trophic levels with a stronger response of primary consumers."
ABGR2019,mikania micrantha,NA,N,NA,NA,NA,N,NA,"our findings support the conclusions of previous studies on the subject by demonstrating 1) that soil fauna abundance is impacted by biological invasions, 2) that initial habitat structure has a strong influence on the outcome and 3) that responses within the soil fauna differ between trophic levels with a stronger response of primary consumers."
ABGR2019,onopordum acanthium,NA,N,NA,NA,NA,N,NA,"our findings support the conclusions of previous studies on the subject by demonstrating 1) that soil fauna abundance is impacted by biological invasions, 2) that initial habitat structure has a strong influence on the outcome and 3) that responses within the soil fauna differ between trophic levels with a stronger response of primary consumers."
ABGR2019,phoenix canariensis,NA,N,NA,NA,NA,N,NA,"our findings support the conclusions of previous studies on the subject by demonstrating 1) that soil fauna abundance is impacted by biological invasions, 2) that initial habitat structure has a strong influence on the outcome and 3) that responses within the soil fauna differ between trophic levels with a stronger response of primary consumers."
ABGR2019,phragmites australis,NA,N,NA,NA,NA,N,NA,"our findings support the conclusions of previous studies on the subject by demonstrating 1) that soil fauna abundance is impacted by biological invasions, 2) that initial habitat structure has a strong influence on the outcome and 3) that responses within the soil fauna differ between trophic levels with a stronger response of primary consumers."
ABGR2019,prosopis glandulosa,NA,N,NA,NA,NA,N,NA,"our findings support the conclusions of previous studies on the subject by demonstrating 1) that soil fauna abundance is impacted by biological invasions, 2) that initial habitat structure has a strong influence on the outcome and 3) that responses within the soil fauna differ between trophic levels with a stronger response of primary consumers."
ABGR2019,pseudotsuga menziesii,NA,N,NA,NA,NA,N,NA,"our findings support the conclusions of previous studies on the subject by demonstrating 1) that soil fauna abundance is impacted by biological invasions, 2) that initial habitat structure has a strong influence on the outcome and 3) that responses within the soil fauna differ between trophic levels with a stronger response of primary consumers."
ABGR2019,quercus rubra,NA,N,NA,NA,NA,N,NA,"our findings support the conclusions of previous studies on the subject by demonstrating 1) that soil fauna abundance is impacted by biological invasions, 2) that initial habitat structure has a strong influence on the outcome and 3) that responses within the soil fauna differ between trophic levels with a stronger response of primary consumers."
ABGR2019,raphanus sativus,NA,N,NA,NA,NA,N,NA,"our findings support the conclusions of previous studies on the subject by demonstrating 1) that soil fauna abundance is impacted by biological invasions, 2) that initial habitat structure has a strong influence on the outcome and 3) that responses within the soil fauna differ between trophic levels with a stronger response of primary consumers."
ABGR2019,rhamnus cathartica,NA,N,NA,NA,NA,N,NA,"our findings support the conclusions of previous studies on the subject by demonstrating 1) that soil fauna abundance is impacted by biological invasions, 2) that initial habitat structure has a strong influence on the outcome and 3) that responses within the soil fauna differ between trophic levels with a stronger response of primary consumers."
ABGR2019,salix cinereal,NA,N,NA,NA,NA,N,NA,"our findings support the conclusions of previous studies on the subject by demonstrating 1) that soil fauna abundance is impacted by biological invasions, 2) that initial habitat structure has a strong influence on the outcome and 3) that responses within the soil fauna differ between trophic levels with a stronger response of primary consumers."
ABGR2019,senecio jacobea,NA,N,NA,NA,NA,N,NA,"our findings support the conclusions of previous studies on the subject by demonstrating 1) that soil fauna abundance is impacted by biological invasions, 2) that initial habitat structure has a strong influence on the outcome and 3) that responses within the soil fauna differ between trophic levels with a stronger response of primary consumers."
ABGR2019,solidago canadensis,NA,N,NA,NA,NA,N,NA,"our findings support the conclusions of previous studies on the subject by demonstrating 1) that soil fauna abundance is impacted by biological invasions, 2) that initial habitat structure has a strong influence on the outcome and 3) that responses within the soil fauna differ between trophic levels with a stronger response of primary consumers."
ABGR2019,solidago gigantea,NA,N,NA,NA,NA,N,NA,"our findings support the conclusions of previous studies on the subject by demonstrating 1) that soil fauna abundance is impacted by biological invasions, 2) that initial habitat structure has a strong influence on the outcome and 3) that responses within the soil fauna differ between trophic levels with a stronger response of primary consumers."
ABGR2019,tradescantia fluminensis,NA,N,NA,NA,NA,N,NA,"our findings support the conclusions of previous studies on the subject by demonstrating 1) that soil fauna abundance is impacted by biological invasions, 2) that initial habitat structure has a strong influence on the outcome and 3) that responses within the soil fauna differ between trophic levels with a stronger response of primary consumers."
ABGR2019,ulex europaeus,NA,N,NA,NA,NA,N,NA,"our findings support the conclusions of previous studies on the subject by demonstrating 1) that soil fauna abundance is impacted by biological invasions, 2) that initial habitat structure has a strong influence on the outcome and 3) that responses within the soil fauna differ between trophic levels with a stronger response of primary consumers."
ABGR2019,vincetoxicum rossicum,NA,N,NA,NA,NA,N,NA,"our findings support the conclusions of previous studies on the subject by demonstrating 1) that soil fauna abundance is impacted by biological invasions, 2) that initial habitat structure has a strong influence on the outcome and 3) that responses within the soil fauna differ between trophic levels with a stronger response of primary consumers."
ABGR2019,andropogon gerardii,NA,N,NA,N,NA,N,NA,"our findings support the conclusions of previous studies on the subject by demonstrating 1) that soil fauna abundance is impacted by biological invasions, 2) that initial habitat structure has a strong influence on the outcome and 3) that responses within the soil fauna differ between trophic levels with a stronger response of primary consumers."
ABGR2019,carduus thoermeri,NA,N,NA,N,NA,N,NA,"our findings support the conclusions of previous studies on the subject by demonstrating 1) that soil fauna abundance is impacted by biological invasions, 2) that initial habitat structure has a strong influence on the outcome and 3) that responses within the soil fauna differ between trophic levels with a stronger response of primary consumers."
ABGR2019,carmichaelia odorata,NA,N,NA,N,NA,N,NA,"our findings support the conclusions of previous studies on the subject by demonstrating 1) that soil fauna abundance is impacted by biological invasions, 2) that initial habitat structure has a strong influence on the outcome and 3) that responses within the soil fauna differ between trophic levels with a stronger response of primary consumers."
ABGR2019,salix rubens,NA,N,NA,N,NA,N,NA,"our findings support the conclusions of previous studies on the subject by demonstrating 1) that soil fauna abundance is impacted by biological invasions, 2) that initial habitat structure has a strong influence on the outcome and 3) that responses within the soil fauna differ between trophic levels with a stronger response of primary consumers."
ABGR2019,schizachyrium scoparium,NA,N,NA,N,NA,N,NA,"our findings support the conclusions of previous studies on the subject by demonstrating 1) that soil fauna abundance is impacted by biological invasions, 2) that initial habitat structure has a strong influence on the outcome and 3) that responses within the soil fauna differ between trophic levels with a stronger response of primary consumers."
ABHI2008,solidago canadensis,Czechia,Y,reduces abundance of native vegetation,NA,NA,Y,COORDS,"the invasion success of s. canadensis in europe may in part be attributable to the release of allelopathic compounds and the subsequent effects this has on some of the competing flora in the new range, but the extent to which extent such allelopathic effects are influenced by the soil microbial flora and the reason why some species are able to persist in solidago stands, seemingly without influence from secondary metabolites excreted by solidago, needs to be further investigated."
ABHI2008,solidago canadensis,Germany,Y,reduces abundance of native vegetation,NA,NA,Y,COORDS,"the invasion success of s. canadensis in europe may in part be attributable to the release of allelopathic compounds and the subsequent effects this has on some of the competing flora in the new range, but the extent to which extent such allelopathic effects are influenced by the soil microbial flora and the reason why some species are able to persist in solidago stands, seemingly without influence from secondary metabolites excreted by solidago, needs to be further investigated."
ABHI2008,solidago canadensis,Switzerland,Y,reduces abundance of native vegetation,NA,NA,Y,COORDS,"the invasion success of s. canadensis in europe may in part be attributable to the release of allelopathic compounds and the subsequent effects this has on some of the competing flora in the new range, but the extent to which extent such allelopathic effects are influenced by the soil microbial flora and the reason why some species are able to persist in solidago stands, seemingly without influence from secondary metabolites excreted by solidago, needs to be further investigated."
ABHI2008,solidago canadensis,Austria,Y,reduces abundance of native vegetation,NA,NA,Y,COORDS,"the invasion success of s. canadensis in europe may in part be attributable to the release of allelopathic compounds and the subsequent effects this has on some of the competing flora in the new range, but the extent to which extent such allelopathic effects are influenced by the soil microbial flora and the reason why some species are able to persist in solidago stands, seemingly without influence from secondary metabolites excreted by solidago, needs to be further investigated."
ABHI2008,solidago canadensis,France,Y,reduces abundance of native vegetation,NA,NA,Y,COORDS,"the invasion success of s. canadensis in europe may in part be attributable to the release of allelopathic compounds and the subsequent effects this has on some of the competing flora in the new range, but the extent to which extent such allelopathic effects are influenced by the soil microbial flora and the reason why some species are able to persist in solidago stands, seemingly without influence from secondary metabolites excreted by solidago, needs to be further investigated."
ABHI2009,conyza canadensis,New Zealand,N,NA,NA,NA,Y,COORDS,the invasion success of c. canadensis in europe cannot be attributed to a single trait; but to a combination of factors. whereas in contrast to earlier in vitro studies; no allelopathic effects on the competing flora in the non-native range were detected and invasive plants benefited from an increased growth and above all reproduction (a key trait in an annual plant) and were less attacked by a co-migrated specialist enemy.
ABHI2009,conyza canadensis,Sweden,N,NA,NA,NA,Y,COORDS,the invasion success of c. canadensis in europe cannot be attributed to a single trait; but to a combination of factors. whereas in contrast to earlier in vitro studies; no allelopathic effects on the competing flora in the non-native range were detected and invasive plants benefited from an increased growth and above all reproduction (a key trait in an annual plant) and were less attacked by a co-migrated specialist enemy.
ABHI2009,conyza canadensis,Spain,N,NA,NA,NA,Y,COORDS,the invasion success of c. canadensis in europe cannot be attributed to a single trait; but to a combination of factors. whereas in contrast to earlier in vitro studies; no allelopathic effects on the competing flora in the non-native range were detected and invasive plants benefited from an increased growth and above all reproduction (a key trait in an annual plant) and were less attacked by a co-migrated specialist enemy.
ABHI2009,conyza canadensis,Germany,N,NA,NA,NA,Y,COORDS,the invasion success of c. canadensis in europe cannot be attributed to a single trait; but to a combination of factors. whereas in contrast to earlier in vitro studies; no allelopathic effects on the competing flora in the non-native range were detected and invasive plants benefited from an increased growth and above all reproduction (a key trait in an annual plant) and were less attacked by a co-migrated specialist enemy.
ABHI2009,conyza canadensis,Netherlands,N,NA,NA,NA,Y,COORDS,the invasion success of c. canadensis in europe cannot be attributed to a single trait; but to a combination of factors. whereas in contrast to earlier in vitro studies; no allelopathic effects on the competing flora in the non-native range were detected and invasive plants benefited from an increased growth and above all reproduction (a key trait in an annual plant) and were less attacked by a co-migrated specialist enemy.
ABHI2009,conyza canadensis,Czechia,N,NA,NA,NA,Y,COORDS,the invasion success of c. canadensis in europe cannot be attributed to a single trait; but to a combination of factors. whereas in contrast to earlier in vitro studies; no allelopathic effects on the competing flora in the non-native range were detected and invasive plants benefited from an increased growth and above all reproduction (a key trait in an annual plant) and were less attacked by a co-migrated specialist enemy.
ABHI2009,conyza canadensis,Switzerland,N,NA,NA,NA,Y,COORDS,the invasion success of c. canadensis in europe cannot be attributed to a single trait; but to a combination of factors. whereas in contrast to earlier in vitro studies; no allelopathic effects on the competing flora in the non-native range were detected and invasive plants benefited from an increased growth and above all reproduction (a key trait in an annual plant) and were less attacked by a co-migrated specialist enemy.
ABLE2003,phragmites australis,United States of America,N,NA,NA,NA,Y,BOTH,phragmites invasion in brackish marshes may be having deleterious effects on fish populations and possibly on predators that prey on f. heteroclitus
ABOM2015,themeda quadrivalvis,Australia,Y,"invasions by non-native grasses are among the worst threats to natural habitats; because they can rapidly change the ecosystem they invade. non-native annual grasses can often tolerate high variability in resources such as water and nutrients, and can have rapid germination rates, higher seedling vigour and growth rate, and they may grow significantly taller than native perennial grasses.",NA,NA,Y,COORDS,"there were significantly more reptile species, in greater abundances, in native kangaroo and black spear grass than in invasive grader grass."
ABOM2016,themeda quadrivalvis,Australia,Y,invasive grasses can alter ecosystems directly by altering the dominant vegetation,NA,NA,N,NA,to maintain faunal biodiversity in fire-prone systems; we suggest reducing the frequency of prescribed fires; and (if possible) excluding fire from weedy invasions if it allows native grasses to return.
ABRA2012,ambrosia artemisiifolia,Russian Federation,Y,"the most aggressive alien plants, which produce abundant progeny dispersing over long distances from maternal plants and, therefore, can potentially colonize large areas, are named invasive species. they inflict severe economic damage, cause a serious ecological problem referred to as floristic contamination. such plants often evolve into vicious weeds spreading over arable and nonarable lands, and some of them pose a hazard to human health.",NA,NA,N,NA,"the appearance and rapid expansion of new inva sive species in the southern urals is a major ecological problem that requires urgent preventive measures to be taken. these species form practically monodominant communities, displacing native plants; they are hardly eaten by livestock, and their spread reduces the productivity of rangelands. their naturalization leads to the replacement of native phytocenoses by impoverished substitutive communities dominated by alien species, with consequent reduction of biological diversity in the region. moreover, the pollen of many invasive plants (e.g., all ambrosia species, cyclachaena xanthiifolia, etc.) is allergenic, which aggravates the ecological situation in the region and poses a hazard to human health."
ABRA2012,ambrosia psilostachy dc.,Russian Federation,Y,"the most aggressive alien plants, which produce abundant progeny dispersing over long distances from maternal plants and, therefore, can potentially colonize large areas, are named invasive species. they inflict severe economic damage, cause a serious ecological problem referred to as floristic contamination. such plants often evolve into vicious weeds spreading over arable and nonarable lands, and some of them pose a hazard to human health.",NA,NA,N,NA,"the appearance and rapid expansion of new inva sive species in the southern urals is a major ecological problem that requires urgent preventive measures to be taken. these species form practically monodominant communities, displacing native plants; they are hardly eaten by livestock, and their spread reduces the productivity of rangelands. their naturalization leads to the replacement of native phytocenoses by impoverished substitutive communities dominated by alien species, with consequent reduction of biological diversity in the region. moreover, the pollen of many invasive plants (e.g., all ambrosia species, cyclachaena xanthiifolia, etc.) is allergenic, which aggravates the ecological situation in the region and poses a hazard to human health."
ABRA2012,ambrosia trifida l.,Russian Federation,Y,"the most aggressive alien plants, which produce abundant progeny dispersing over long distances from maternal plants and, therefore, can potentially colonize large areas, are named invasive species. they inflict severe economic damage, cause a serious ecological problem referred to as floristic contamination. such plants often evolve into vicious weeds spreading over arable and nonarable lands, and some of them pose a hazard to human health.",NA,NA,N,NA,"the appearance and rapid expansion of new invasive species in the southern urals is a major ecological problem that requires urgent preventive measures to be taken. these species form practically monodominant communities, displacing native plants; they are hardly eaten by livestock, and their spread reduces the productivity of rangelands. their naturalization leads to the replacement of native phytocenoses by impoverished substitutive communities dominated by alien species, with consequent reduction of biological diversity in the region. moreover, the pollen of many invasive plants is allergenic, which aggravates the ecological situation in the region and poses a hazard to human health."
ABRA2012,bidens frondosa l.,Russian Federation,Y,"the most aggressive alien plants, which produce abundant progeny dispersing over long distances from maternal plants and, therefore, can potentially colonize large areas, are named invasive species. they inflict severe economic damage, cause a serious ecological problem referred to as floristic contamination. such plants often evolve into vicious weeds spreading over arable and nonarable lands, and some of them pose a hazard to human health.",NA,NA,N,NA,"the appearance and rapid expansion of new inva sive species in the southern urals is a major ecological problem that requires urgent preventive measures to be taken. these species form practically monodominant communities, displacing native plants; they are hardly eaten by livestock, and their spread reduces the productivity of rangelands. their naturalization leads to the replacement of native phytocenoses by impoverished substitutive communities dominated by alien species, with consequent reduction of biological diversity in the region. moreover, the pollen of many invasive plants (e.g., all ambrosia species, cyclachaena xanthiifolia, etc.) is allergenic, which aggravates the ecological situation in the region and poses a hazard to human health."
