paperid,author,title,year,journal,volume,issue,pages,doi,WoS,type
GABL2013,"gabler, christopher a.; siemann, evan",rapid ontogenetic niche expansions in invasive chinese tallow tree permit establishment in unfavourable but variable environments and can be exploited to streamline restoration,2013,journal of applied ecology,50,3,748–756,10.1111/1365-2664.12071,Y,article
GAER2017,"gaertner, mirijam; novoa, ana; fried, jana; richardson, david m.",managing invasive species in cities: a decision support framework applied to cape town,2017,biological invasions,19,12,3707–3723,10.1007/s10530-017-1587-x,Y,article
GAFF2020,"gaffke, am; sing, se; dudley, tl; bean, dw; russak, ja; mafra-neto, a; peterson, rkd; weaver, dk",establishing diorhabda carinulata: impact of release disturbances on pheromone emission and influence of pheromone lures on establishment,2020,journal of chemical ecology,46,4,378-386,10.1007/s10886-020-01176-4,Y,article
GAGG2017,"gaggini, luca; rusterholz, hans peter; baur, bruno",settlements as a source for the spread of non-native plants into central european suburban forests,2017,acta oecologica,79,,18–25,10.1016/j.actao.2016.12.008,Y,article
GAIR2015,"gaire, r.; astley, c.; upadhyaya, m. k.; clements, d. r.; bargen, m.",the biology of canadian weeds. 154. himalayan blackberry,2015,canadian journal of plant science,95,3,557–570,10.4141/cjps-2014-402,Y,article
GALA1999,"galatowitsch, susan m.; anderson, neil o.; ascher, peter d.",invasiveness in wetland plants in temperate north america,1999,wetlands,19,4,733–755,10.1007/bf03161781,Y,article
GALA2005,"galatowitsch, s.; richardson, d. m.","riparian scrub recovery after clearing of invasive alien trees in headwater streams of the western cape, south africa",2005,biological conservation,122,4,509–521,10.1016/j.biocon.2004.09.008,Y,article
GALA2006,"galatowitsch, susan m",restoring prairie pothole wetlands: does the species pool concept offer decision-making guidance for re-vegetation?,2006,applied vegetation science,9,2,261–270,,Y,article
GALA2014,"galal, tarek m.; shehata, hanaa s.",evaluation of the invasive macrophyte myriophyllum spicatum l. as a bioaccumulator for heavy metals in some watercourses of egypt,2014,ecological indicators,41,,209–214,10.1016/j.ecolind.2014.02.004,Y,article
GALA2015,"galal, tarek m.; farahat, emad a.","the invasive macrophyte pistia stratiotes l. as a bioindicator for water pollution in lake mariut, egypt",2015,environmental monitoring and assessment,187,11,701,10.1007/s10661-015-4941-4,Y,article
GALA2016A,"galatowitsch, susan m.; larson, diane l.; larson, jennifer l.","factors affecting post-control reinvasion by seed of an invasive species, phragmites australis, in the central platte river, nebraska",2016,biological invasions,18,9,2505–2516,10.1007/s10530-015-1048-3,Y,article
GALB2008,"galbraith-kent, shannon l.; handel, steven n.",invasive acer platanoides inhibits native sapling growth in forest understorey communities,2008,journal of ecology,96,2,293–302,10.1111/j.1365-2745.2007.01337.x,Y,article
GALB2012,"galbraith-kent, shannon l.; handel, steven n.","acer rubrum (red maple) growth is negatively affected by soil from forest stands dominated by its invasive congener (acer platanoides, norway maple)",2012,plant ecology,213,1,77–88,10.1007/s11258-011-0008-y,Y,article
GALI2016,"galimberti, a.; spinelli, s.; bruno, a.; mezzasalma, v.; de mattia, f.; cortis, p.; labra, m.",evaluating the efficacy of restoration plantings through dna barcoding of frugivorous bird diets,2016,conservation biology,30,4,763–773,10.1111/cobi.12687,Y,article
GALL1997,"gallagher, kelly g.; schierenbeck, kristina a.; d'antonio, carla m.",hybridization and introgression in carpobrotus spp. (aizoaceae) in california ii. allozyme evidence,1997,american journal of botany,84,7,905–911,10.2307/2446280,Y,article
GALL2010,"gallaher, timothy; merlin, mark","biology and impacts of pacific island invasive species. 6. prosopis pallida and prosopis juliflora (algarroba, mesquite, kiawe) (fabaceae)",2010,pacific science,64,4,489–526,10.2984/64.4.489,N,article
GALL2013,"gallardo, belinda; aldridge, david c.",the 'dirty dozen': socio-economic factors amplify the invasion potential of 12 high-risk aquatic invasive species in great britain and ireland,2013,journal of applied ecology,50,3,757–766,10.1111/1365-2664.12079,Y,article
GALL2015,"gallien, laure; mazel, florent; lavergne, sébastien; renaud, julien; douzet, rolland; thuiller, wilfried","contrasting the effects of environment, dispersal and biotic interactions to explain the distribution of invasive plants in alpine communities",2015,biological invasions,17,5,1407–1423,10.1007/s10530-014-0803-1,Y,article
GALL2016,"gallardo, belinda; zieritz, alexandra; adriaens, tim; bellard, céline; boets, pieter; britton, j. robert; newman, jonathan r.; valkenburg, johan l.c.h.; aldridge, david c.",trans-national horizon scanning for invasive non-native species: a case study in western europe,2016,biological invasions,18,1,17–30,10.1007/s10530-015-0986-0,Y,article
GALL2017A,"gallien, laure; altermatt, florian; wiemers, martin; schweiger, oliver; zimmermann, niklaus e.",invasive plants threaten the least mobile butterflies in switzerland,2017,diversity and distributions,23,2,185–195,10.1111/ddi.12513,Y,article
GALL2017B,"galloway, a. d.; holmes, p. m.; gaertner, m.; esler, k. j.",the impact of pine plantations on fynbos above-ground vegetation and soil seed bank composition,2017,south african journal of botany,113,,300–307,10.1016/j.sajb.2017.09.009,Y,article
GALL2018A,"gallego-tévar, blanca; rubio-casal, alfredo e; de cires, alfonso; figueroa, enrique; grewell, brenda j; castillo, jesús m",phenotypic plasticity of polyploid plant species promotes transgressive behaviour in their hybrids,2018,aob plants,10,5,,10.1093/aobpla/ply055,Y,article
GALL2018B,"gallinat, amanda s.; russo, luca; melaas, eli k.; willis, charles g.; primack, richard b.",herbarium specimens show patterns of fruiting phenology in native and invasive plant species across new england,2018,american journal of botany,105,1,31-41,10.1002/ajb2.1005,Y,article
GALL2019A,"gallardo, belinda; bacher, sven; bradley, bethany; comín, francisco a.; gallien, laure; jeschke, jonathan m.; sorte, cascade j. b.; vilà, montserrat",invasibes: understanding and managing the impacts of invasive alien species on biodiversity and ecosystem services,2019,neobiota,50,,109-122,10.3897/neobiota.50.35466,Y,article
GALL2019B,"gallego-tévar, blanca; grewell, brenda j.; drenovsky, rebecca e.; castillo, jesús m.",transgressivity in key functional traits rather than phenotypic plasticity promotes stress tolerance in a hybrid cordgrass,2019,plants,8,12,594,10.3390/plants8120594,Y,article
GALL2020A,"gallardo, b; aldridge, dc",priority setting for invasive species management by the water industry,2020,water research,178,NA,115771,10.1016/j.watres.2020.115771,Y,article
GALL2020B,"gallinat, as; primack, rb; lloyd-evans, tl",can invasive species replace native species as a resource for birds under climate change? a case study on bird-fruit interactions,2020,biological conservation,241,NA,108268,10.1016/j.biocon.2019.108268,Y,article
GAMM2007,"gammon, melinda a.; grimsby, jonna l.; tsirelson, dina; kesseli, rick","molecular and morphological evidence reveals introgression in swarms of the invasive taxa fallopia japonica, f. sachalinensis, and f. xbohemica (polygonaceae) in the united states",2007,american journal of botany,94,6,948–956,10.3732/ajb.94.6.948,Y,article
GAMM2010,"gammon, melinda a.; baack, eric; orth, jennifer forman; kesseli, rick","viability, growth, and fertility of knotweed cytotypes in north america",2010,invasive plant science and management,3,3,208–218,10.1614/ipsm-d-10-00018.1,Y,article
GAN2009,"gan, xiaojing; cai, yinting; choi, chiyeung; ma, zhijun; chen, jiakuan; li, bo","potential impacts of invasive spartina alterniflora on spring bird communities at chongming dongtan, a chinese wetland of international importance",2009,"estuarine, coastal and shelf science",83,2,211–218,10.1016/j.ecss.2009.03.026,N,article
GANA2010,"ganatsas, petros; thanasis, gerasimos","pinus halepensis invasion in pinus pinea habitat in strofylia forest (site of natura 2000 network), southern greece",2010,journal for nature conservation,18,2,106–117,10.1016/j.jnc.2009.04.006,N,article
GANA2016,"ganaie, sami u.; abbasi, tasneem; abbasi, shahid a.",utilization of the terrestrial weed antigonon leptopus in the rapid and green synthesis of stable gold nanoparticles with shape/size control,2016,environmental progress and sustainable energy,35,1,20–33,10.1002/ep.12181,Y,article
GAND2009,"gandiaga, s.; volin, j. c.; kruger, e. l.; kitajima, k.","effects of hydrology on the growth and physiology of an invasive exotic, lygodium microphyllum (old world climbing fern)",2009,weed research,49,3,283–290,10.1111/j.1365-3180.2009.00698.x,Y,article
GANN1998,"gann, george; gordon, doria r; others",paederia foetida (skunk vine) and p. cruddasiana (sewer vine): threats and management strategies.,1998,natural areas journal,18,2,169–174,,N,article
GANT2011,"gantes, p.; marano, a. v.; rigacci, l.","changes in the decomposition process associated with the invasion of gleditsia triacanthos (honey locust) in pampean streams (buenos aires, argentina)",2011,journal of freshwater ecology,26,4,481–494,10.1080/02705060.2011.578397,N,article
GAO2006,"gao, l.; li, b.",a potential native natural enemy of invasive aquatic weed - water hyacinth,2006,biological invasions,8,8,1689–1692,10.1007/s10530-005-5875-5,Y,article
GAO2009,"gao, yang; tang, long; wang, jinqing; wang, chenghuan; liang, zongsuo; li, bo; chen, jiakuan; zhao, bin",clipping at early florescence is more efficient for controlling the invasive plant spartina alterniflora,2009,ecological research,24,5,1033–1041,10.1007/s11284-008-0577-y,Y,article
GAO2010,"gao, lexuan; geng, yupeng; li, bo; chen, jiakuan; yang, ji",genome-wide dna methylation alterations of alternanthera philoxeroides in natural and manipulated habitats: implications for epigenetic regulation of rapid responses to environmental fluctuation and phenotypic variation,2010,"plant, cell & environment",33,,,,Y,article
GAO2012A,"gao, lei; liu, wen y.; shen, you x.; liu, wen j.",trade-off responses of the clonal plant water lettuce (pistia stratiotes l.) to the allelopathy of crofton weed (eupatorium adenophorum spreng),2012,israel journal of ecology and evolution,58,4,313–324,10.1560/ijee.58.4.313,Y,article
GAO2012B,"gao, jianhua; bai, fenglong; yang, yang; gao, shu; liu, zhiyong; li, jun","influence of spartina colonization on the supply and accumulation of organic carbon in tidal salt marshes of northern jiangsu province, china",2012,journal of coastal research,280,2,486–498,10.2112/jcoastres-d-11-00062.1,Y,article
GAO2013,"gao, lei; li, bo; liu, wen y.; shen, you x.; liu, wen j.",inhibition effects of daughter ramets on parent of clonal plant eichhornia crassipes,2013,aquatic botany,107,,47–53,10.1016/j.aquabot.2013.01.010,Y,article
GAO2014A,"gao, yan; yu, hong wei; he, wei ming",soil space and nutrients differentially promote the growth and competitive advantages of two invasive plants,2014,journal of plant ecology,7,4,396–402,10.1093/jpe/rtt050,Y,article
GAO2014B,"gao, yang; yan, wen long; li, bo; zhao, bin; li, peng; li, zhan bin; tang, long",the substantial influences of non-resource conditions on recovery of plants: a case study of clipped spartina alterniflora asphyxiated by submergence,2014,ecological engineering,73,,345–352,10.1016/j.ecoleng.2014.09.051,Y,article
GAO2016,"gao, l; li, b; jin, l; others",can water hyacinth (eichhornia crassipes) be controlled by reducing nitrogen and phosphorus pollution of water bodies?,2016,applied ecology and environmental research,14,3,77–91,,Y,article
GAO2018,"gao, lei; hou, bin; cai, min l.; zhai, jun j.; li, wei h.; peng, chang l.",general laws of biological invasion based on the sampling of invasive plants in china and the united states,2018,global ecology and conservation,16,,e00448,10.1016/j.gecco.2018.e00448,Y,article
GARA2015,"garayalde, antonio f.; presotto, alejandro; carrera, alicia; poverene, mónica; cantamutto, miguel",characterization of a new male sterility source identified in an invasive biotype of helianthus annuus (l.),2015,euphytica,206,3,579–595,10.1007/s10681-015-1456-6,Y,article
GARC2003,"garcia-rossi, dino; rank, nathan; strong, donald r.",potential for self-defeating biological control? variation in herbivore vulnerability among invasive spartina genotypes,2003,ecological applications,13,6,1640-1649,10.1890/01-5301,Y,article
GARC2004,"garcia-serrano, hèctor; escarré, josep; sans, f. xavier",factors that limit the emergence and establishment of the related aliens senecio inaequidens and senecio pterophorus and the native senecio malacitanus in mediterranean climate,2004,canadian journal of botany,82,9,1346–1355,10.1139/b04-097,Y,article
GARC2005A,"garcía-robledo, carlos a.; murcia, carolina",comparative habitat susceptibility to invasion by chinese ash (fraxinus chinensis: oleaceae) in a tropical andean landscape,2005,biological invasions,7,3,405–415,10.1007/s10530-004-2576-4,Y,article
GARC2005B,"garcia-serrano, hèctor; escarré, josep; garnier, éric; sans, f. xavier",a comparative growth analysis between alien invader and native senecio species with distinct distribution ranges,2005,Écoscience,12,1,35–43,10.2980/i1195-6860-12-1-35.1,Y,article
GARC2010,"garcía-de-lomas, juan; cózar, andrés; dana, elías d.; hernández, ignacio; sánchez-garcía, Íñigo; garcía, carlos m.",invasiveness of galenia pubescens (aizoaceae): a new threat to mediterranean-climate coastal ecosystems,2010,acta oecologica,36,1,39–45,10.1016/j.actao.2009.09.007,Y,article
GARC2012,"garcía, rafael a; fuentes-ramírez, andrés; pauchard, aníbal",effects of two nitrogen-fixing invasive plants species on soil chemical properties in south-central chile,2012,gayana. botánica,69,1,189–192,10.4067/s0717-66432012000100020,Y,article
GARC2014,"garcía, rafael a.; pauchard, aníbal; escudero, adrián",french broom (teline monspessulana) invasion in south-central chile depends on factors operating at different spatial scales,2014,biological invasions,16,1,113–124,10.1007/s10530-013-0507-y,Y,article
GARC2015,"garcía-Álvarez, alberto; leeuwen, casper h. a.; luque, carlos j.; hussner, andreas; vélez-martín, alberto; pérez-vázquez, andrés; green, andy j.; castellanos, eloy m.",internal transport of alien and native plants by geese and ducks: an experimental study,2015,freshwater biology,60,7,1316-1329,10.1111/fwb.12567,Y,article
GARD2001,"gardner, susan c.; grue, christian e.; major, walter w.; conquest, loveday l.","aquatic invertebrate communities associated with purple loosestrife (lythrum salicaria), cattail (typha latifolia), and bulrush (scirpus acutus) in central washington, usa",2001,wetlands,21,4,593–601,10.1672/0277-5212(2001)021[0593:aicawp]2.0.co;2,Y,article
GARD2013A,"gard, b.; bretagnolle, f.; dessaint, f.; laitung, b.",invasive and native populations of common ragweed exhibit strong tolerance to foliar damage,2013,basic and applied ecology,14,1,28–35,10.1016/j.baae.2012.10.007,Y,article
GARD2013B,"gardner, elizabeth; burningham, helene","ecology and conservation of the rare annual petrorhagia nanteuilii (childing pink) on the vegetated shingle spits of pagham harbour, west sussex",2013,journal of coastal conservation,17,3,589–600,10.1007/s11852-013-0257-0,Y,article
GARN1997,"garner, r.d.; witkowski, e.t.f.","variations in seed size and shape in relation to depth of burial in the soil and pre- dispersal predation in acacia nilotica, a. tortilis and dichrostachys cinerea",1997,south african journal of botany,63,6,371-377,10.1016/s0254-6299(15)30788-2,N,article
GARR2009,"garren, julie m.; strauss, sharon y.",population-level compensation by an invasive thistle thwarts biological control from seed predators,2009,ecological applications,19,3,709–721,10.1890/07-0646.1,Y,article
GASK2003,"gaskin, john f.",molecular systematics and the control of invasive plants: a case study of tamarix (tamaricaceae),2003,annals of the missouri botanical garden,90,,109,,Y,article
GASK2006A,"gaskin, john f.",clonal structure of invasive hoary cress (lepidium draba) infestations,2006,weed science,54,3,428–434,10.1614/ws-05-138r.1,Y,article
GASK2006B,"gaskin, john f.; kazmer, david j.","comparison of ornamental and wild saltcedar (tamarix spp.) along eastern montana, usa riverways using chloroplast and nuclear dna sequence markers",2006,wetlands,26,4,939–950,10.1672/0277-5212(2006)26[939:cooaws]2.0.co;2,Y,article
GASK2009A,"gaskin, john f.; kazmer, david j.",introgression between invasive saltcedars (tamarix chinensis and t. ramosissima) in the usa,2009,biological invasions,11,5,1121–1130,10.1007/s10530-008-9384-1,Y,article
GASK2009B,"gaskin, john f.; wheeler, gregory s.; purcell, matthew f.; taylor, gary s.",molecular evidence of hybridization in florida's sheoak (casuarina spp.) invasion,2009,molecular ecology,18,15,3216–3226,10.1111/j.1365-294x.2009.04282.x,Y,article
GASK2012A,"gaskin, john f.; schwarzländer, mark; williams, livy; gerber, esther; hinz, hariet l.",minimal genetic diversity in the facultatively outcrossing perennial pepperweed (lepidium latifolium) invasion,2012,biological invasions,14,9,1797–1807,10.1007/s10530-012-0190-4,Y,article
GASK2012B,"gaskin, john f.; birken, adam s.; cooper, david j.",levels of novel hybridization in the saltcedar invasion compared over seven decades,2012,biological invasions,14,3,693–699,10.1007/s10530-011-0110-z,Y,article
GASK2013A,"gaskin, john f.; schwarzländer, mark; kinter, c. lynn; smith, james f.; novak, stephen j.","propagule pressure, genetic structure, and geographic origins of chondrilla juncea (asteraceae): an apomictic invader on three continents",2013,american journal of botany,100,9,1871–1882,10.3732/ajb.1200621,Y,article
GASK2013B,"gaskin, john f.; schwarzländer, mark; hinz, hariet l.; williams, livy; gerber, esther; rector, brian g.; zhang, daoyuan",genetic identity and diversity of perennial pepperweed (lepidium latifolium) in its native and invaded ranges,2013,invasive plant science and management,6,2,268–280,10.1614/ipsm-d-12-00075.1,Y,article
GASK2014,"gaskin, john f.; schwarzländer, mark; grevstad, fritzi s.; haverhals, marijka a.; bourchier, robert s.; miller, timothy w.",extreme differences in population structure and genetic diversity for three invasive congeners: knotweeds in western north america,2014,biological invasions,16,10,2127–2136,10.1007/s10530-014-0652-y,Y,article
GASK2016,"gaskin, john f.; pokorny, monica l.; mangold, jane m.",an unusual case of seed dispersal in an invasive aquatic; yellow flag iris (iris pseudacorus),2016,biological invasions,18,7,2067–2075,10.1007/s10530-016-1151-0,Y,article
GAUD2011,"gaudio, noémie; balandier, philippe; dumas, yann; ginisty, christian","growth and morphology of three forest understorey species (calluna vulgaris, molinia caerulea and pteridium aquilinum) according to light availability",2011,forest ecology and management,261,3,489–498,10.1016/j.foreco.2010.10.034,N,article
GAUT2018,"gautam, meenu; pandey, bhanu; agrawal, madhoolika","identification of indicator species at abandoned red mud dumps in comparison to residential and forest sites, accredited to soil properties",2018,ecological indicators,88,,88-102,10.1016/j.ecolind.2017.12.062,Y,article
GAVI2012,"gavier-pizarro, gregorio i.; kuemmerle, tobias; hoyos, laura e.; stewart, susan i.; huebner, cynthia d.; keuler, nicholas s.; radeloff, volker c.","monitoring the invasion of an exotic tree (ligustrum lucidum) from 1983 to 2006 with landsat tm/etm+ satellite data and support vector machines in córdoba, argentina",2012,remote sensing of environment,122,,134–145,10.1016/j.rse.2011.09.023,Y,article
GAVI2016,"gavilán, rosario g.; sánchez-mata, daniel; gaudencio, mylena; gutiérrez-girón, alba; vilches, beatriz",impact of the non-indigenous shrub species spartium junceum (fabaceae) on native vegetation in central spain,2016,journal of plant ecology,9,2,132–143,10.1093/jpe/rtv039,Y,article
GAZD2002,"gazda, randall j.; meidinger, randell r.; ball, i. j.; connelly, john w.",relationships between russian olive and duck nest success in southeastern idaho,2002,wildlife society bulletin,30,2,337–344,,Y,article
GE2006,"ge, shaokui; carruthers, raymond; gong, peng; herrera, angelica","texture analysis for mapping tamarix parviflora using aerial photographs along the cache creek, california",2006,environmental monitoring and assessment,114,20200103,65–83,10.1007/s10661-006-1071-z,Y,article
GE2013,"ge, zhenming; cao, haobin; zhang, liquan",a process-based grid model for the simulation of range expansion of spartina alterniflora on the coastal saltmarshes in the yangtze estuary,2013,ecological engineering,58,,105–112,10.1016/j.ecoleng.2013.06.024,Y,article
GE2014,"ge, z. m.; zhang, l. q.; yuan, l.; zhang, c.","effects of salinity on temperature-dependent photosynthetic parameters of a native c3 and a non-native c4 marsh grass in the yangtze estuary, china",2014,photosynthetica,52,4,484–492,10.1007/s11099-014-0055-4,Y,article
GE2016,"ge, zhen ming; guo, hai qiang; zhao, bin; zhang, chao; peltola, heli; zhang, li quan",spatiotemporal patterns of the gross primary production in the salt marshes with rapid community change: a coupled modeling approach,2016,ecological modelling,321,,110–120,10.1016/j.ecolmodel.2015.11.003,Y,article
GEBA2016,"gebauer, adam d.; brown, rebecca; schwab, suzanne; nezat, carmen; mcneely, camille",effects of an invasive grass (phalaris arundinacea) on water availability in semi-arid riparian zones,2016,wetlands,36,1,59–72,10.1007/s13157-015-0716-5,Y,article
GEER2009,"geerts, sjirk; pauw, anton",african sunbirds hover to pollinate an invasive hummingbird-pollinated plant,2009,oikos,118,4,573–579,10.1111/j.1600-0706.2008.17167.x,Y,article
GEER2013A,"geerts, sjirk; moodley, desika; gaertner, mirijam; le roux, johannes j.; mcgeoch, melodie a.; muofhe, cedric; richardson, david m.; wilson, john r.u.",the absence of fire can cause a lag phase: the invasion dynamics of banksia ericifolia (proteaceae),2013,austral ecology,38,8,931–941,10.1111/aec.12035,Y,article
GEER2013B,"geerts, sjirk; botha, pieter w.; visser, vernon; richardson, david m.; wilson, john r.u.",montpellier broom (genista monspessulana) and spanish broom (spartium junceum) in south africa: an assessment of invasiveness and options for management,2013,south african journal of botany,87,,134–145,10.1016/j.sajb.2013.03.019,Y,article
GEER2016,"geerts, sjirk; mashele, bongani v.; visser, vernon; wilson, john r.u.",lack of human-assisted dispersal means pueraria montana var. lobata (kudzu vine) could still be eradicated from south africa,2016,biological invasions,18,11,3119–3126,10.1007/s10530-016-1226-y,Y,article
GEHR2016,"gehring, catherine a.; hayer, michaela; flores-rentería, lluvia; krohn, andrew f.; schwartz, egbert; dijkstra, paul",cheatgrass invasion alters the abundance and composition of dark septate fungal communities in sagebrush steppe,2016,botany,94,6,481–491,10.1139/cjb-2015-0237,Y,article
GEIG2011,"geiger, john h.; pratt, paul d.; wheeler, gregory s.; williams, dean a.","hybrid vigor for the invasive exotic brazilian peppertree (schinus terebinthifolius raddi., anacardiaceae) in florida",2011,international journal of plant sciences,172,5,655–663,10.1086/659457,Y,article
GELB2003,"gelbard, jonathan l.; belnap, jayne",roads as conduits for exotic plant invasions in a semiarid landscape,2003,conservation biology,17,2,420–432,10.1046/j.1523-1739.2003.01408.x,Y,article
GELB2005,"gelbard, jonathan l.; harrison, susan",invasibility of roadless grasslands: an experimental study of yellow starthistle,2005,ecological applications,15,5,1570–1580,10.1890/03-5362,Y,article
GENG2006,"geng, yu peng; pan, xiao yun; xu, cheng yuan; zhang, wen ju; li, bo; chen, jia kuan","phenotypic plasticity of invasive alternanthera philoxeroides in relation to different water availability, compared to its native congener",2006,acta oecologica,30,3,380–385,10.1016/j.actao.2006.07.002,Y,article
GENG2007,"geng, yu peng; pan, xiao yun; xu, cheng yuan; zhang, wen ju; li, bo; chen, jia kuan; lu, bao rong; song, zhi ping",phenotypic plasticity rather than locally adapted ecotypes allows the invasive alligator weed to colonize a wide range of habitats,2007,biological invasions,9,3,245–256,10.1007/s10530-006-9029-1,Y,article
GENG2016,"geng, yupeng; klinken, rieks d.; sosa, alejandro; li, bo; chen, jiakuan; xu, cheng yuan",the relative importance of genetic diversity and phenotypic plasticity in determining invasion success of a clonal weed in the usa and china,2016,frontiers in plant science,7,20200216,213,10.3389/fpls.2016.00213,Y,article
GENT1997A,"gentle, c. b.; duggin, j. a.",lantana camara l. invasions in dry rainforest - open forest ecotones: the role of disturbances associated with fire and cattle grazing,1997,austral ecology,22,3,298–306,10.1111/j.1442-9993.1997.tb00675.x,Y,article
GENT1998,"gentle, c. b.; duggin, j. a.",interference of choricarpia leptopetala by lantana camara with nutrient enrichment in mesic forests on the central coast of nsw,1998,plant ecology,136,2,205,10.1023/a:1009784706714,Y,article
GENT2005A,"genton, b. j.; shykoff, j. a.; giraud, t.","high genetic diversity in french invasive populations of common ragweed, ambrosia artemisiifolia, as a result of multiple sources of introduction",2005,molecular ecology,14,14,4275–4285,10.1111/j.1365-294x.2005.02750.x,Y,article
GENT2005B,"genton, b. j.; jonot, o.; thévenet, d.; fournier, e.; blatrix, r.; vautrin, d.; solignac, m.; giraud, t.",isolation of five polymorphic microsatellite loci in the invasive weed ambrosia artemisiifolia (asteraceae) using an enrichment protocol,2005,molecular ecology notes,5,2,381–383,10.1111/j.1471-8286.2005.00934.x,Y,article
GEOR2016,"georgiou, dimos; alexandre, ana; luis, joaquim; santos, rui",temperature is not a limiting factor for the expansion of halophila stipulacea throughout the mediterranean sea,2016,marine ecology progress series,544,,159–167,10.3354/meps11582,Y,article
GERA2014,"gérard, joëlle; brion, natacha; triest, ludwig","effect of water column phosphorus reduction on competitive outcome and traits of ludwigia grandiflora and l. peploides, invasive species in europe",2014,aquatic invasions,9,2,157–166,10.3391/ai.2014.9.2.04,Y,article
GERB2008,"gerber, esther; krebs, christine; murrell, craig; moretti, marco; rocklin, remy; schaffner, urs",exotic invasive knotweeds (fallopia spp.) negatively affect native plant and invertebrate assemblages in european riparian habitats,2008,biological conservation,141,3,646–654,10.1016/j.biocon.2007.12.009,Y,article
GERM2013,"germain, rachel m.; caruso, christina m.; maherali, hafiz",mechanisms and consequences of water stress-induced parental effects in an invasive annual grass,2013,international journal of plant sciences,174,6,886–895,10.1086/670691,Y,article
GERM2016,"germino, matthew j.; belnap, jayne; stark, john m.; allen, edith b.; rau, benjamin m.",ecosystem impacts of exotic annual invaders in the genus bromus,2016,exotic brome-grasses in arid and semiarid ecosystems of the western us,,,,,Y,booksection
GERM2019,"germain, rachel m.; jones, natalie t.; grainger, tess nahanni",cryptic dispersal networks shape biodiversity in an invaded landscape,2019,ecology,100,8,,10.1002/ecy.2738,Y,article
GETS2003,"getsinger, kurt d.; sprecher, susan l.; smagula, amy p.",effects of triclopyr on variable-leaf watermilfoil,2003,journal of aquatic plant management,41,2,124–126,,N,article
GETZ2008,"getz, hilary l.; baker, william l.",initial invasion of cheatgrass (bromus tectorum) into burned piñon-juniper woodlands in western colorado,2008,the american midland naturalist,159,2,489–497,10.1674/0003-0031(2008)159[489:iiocbt]2.0.co;2,N,article
GHAH2013,"ghahramanzadeh, r.; esselink, g.; kodde, l. p.; duistermaat, h.; valkenburg, j. l.c.h.; marashi, s. h.; smulders, m. j.m.; wiel, c. c.m.",efficient distinction of invasive aquatic plant species from non-invasive related species using dna barcoding,2013,molecular ecology resources,13,1,21–31,10.1111/1755-0998.12020,Y,article
GHAZ2004,"ghazoul, jaboury",alien abduction: disruption of native plant-pollinator interactions by invasive species,2004,biotropica,36,2,156-164,10.1111/j.1744-7429.2004.tb00308.x,N,article
GIAC2017,"giaccio, gustavo carlos maria; laterra, p.; cabria, f.",floristic associations and filtering ability of riparian vegetation strips,2017,phyton-international journal of experimental botany,86,,,,Y,article
GIAN2008,"giantomasi, alejandra; tecco, paula a.; funes, guillermo; gurvich, diego e.; cabido, marcelo","canopy effects of the invasive shrub pyracantha angustifolia on seed bank composition, richness and density in a montane shrubland (córdoba, argentina)",2008,austral ecology,33,1,68–77,10.1111/j.1442-9993.2007.01791.x,Y,article
GIBS2002,"gibson, david j.; spyreas, greg; benedict, jennifer","life history of microstegium vimineum (poaceae), an invasive grass in southern illinois",2002,journal of the torrey botanical society,129,3,207,10.2307/3088771,Y,article
GIBS2012,"gibson, michelle r.; richardson, david m.; pauw, anton",can floral traits predict an invasive plant's impact on native plant-pollinator communities?,2012,journal of ecology,100,5,1216-1223,10.1111/j.1365-2745.2012.02004.x,Y,article
GIBS2013,"gibson, michelle r.; pauw, anton; richardson, david m.",decreased insect visitation to a native species caused by an invasive tree in the cape floristic region,2013,biological conservation,157,,196–203,10.1016/j.biocon.2012.07.011,Y,article
GIBS2014A,"gibson, david j.; dewey, justin; goossens, hélène; dodd, misty m.","intraspecific variation among clones of a naïve rare grass affects competition with a nonnative, invasive forb",2014,ecology and evolution,4,2,186–199,10.1002/ece3.919,Y,article
GIBS2014B,"gibson, donna m.; vaughan, richard h.; biazzo, jeromy; milbrath, lindsey r.",exploring the feasibility of sclerotium rolfsii vrny as a potential bioherbicide for control of swallowworts (vincetoxicum spp.),2014,invasive plant science and management,7,2,320–327,10.1614/ipsm-d-13-00086.1,Y,article
GIBS2015,"gibson, donna m.; vaughan, richard h.; milbrath, lindsey r.",invasive swallow-worts: an allelopathic role for -(−) antofine remains unclear,2015,journal of chemical ecology,41,2,202-211,10.1007/s10886-015-0552-3,Y,article
GIBS2020,"gibson, mjs; torres, md; moyle, lc",local extirpation is pervasive among historical populations of galapagos endemic tomatoes,2020,evolutionary ecology,34,2,289-307,10.1007/s10682-020-10035-3,Y,article
GIFF2002,"gifford, amy l.s.; ferdy, jean baptiste; molofsky, jane","genetic composition and morphological variation among populations of the invasive grass, phalaris arundinacea",2002,canadian journal of botany,80,7,779–785,10.1139/b02-063,Y,article
GIGO1999,"gigord, luc; picot, frédéric; shykoff, jacqui a.","effects of habitat fragmentation on dombeya acutangula (sterculiaceae), a native tree on la reunion (indian ocean)",1999,biological conservation,88,1,43–51,10.1016/s0006-3207(98)00092-5,Y,article
